,time,2dmu,2dmv
0,0.0,0.491,0.458
1,0.0,0.491,0.458
2,0.0,0.491,0.458
3,0.0,0.491,0.458
4,0.0,0.491,0.458
5,0.0,0.491,0.458
6,0.0,0.491,0.458
7,0.0,0.491,0.458
8,0.0,0.491,0.458
9,0.0,0.491,0.458
10,0.0,0.491,0.458
11,0.0,0.491,0.458
12,0.0,0.491,0.458
13,0.0,0.491,0.458
14,0.0,0.4920000000000001,0.458
15,0.0,0.4920000000000001,0.458
16,0.0,0.4920000000000001,0.458
17,0.0,0.4920000000000001,0.458
18,0.0,0.4920000000000001,0.458
19,0.0,0.4920000000000001,0.458
20,0.0,0.493,0.458
21,0.0,0.493,0.458
22,0.0,0.493,0.458
23,0.0,0.493,0.458
24,0.0,0.493,0.458
25,0.0,0.493,0.458
26,0.0,0.494,0.458
27,0.0,0.494,0.458
28,0.0,0.494,0.458
29,0.0,0.494,0.458
30,0.0,0.494,0.459
31,0.0,0.494,0.459
32,0.0,0.494,0.459
33,0.0,0.494,0.459
34,0.0,0.495,0.459
35,0.0,0.495,0.459
36,0.0,0.495,0.459
37,0.0,0.495,0.459
38,0.0,0.495,0.459
39,0.0,0.495,0.459
40,0.0,0.495,0.459
41,0.0,0.495,0.459
42,0.0,0.496,0.458
43,0.0,0.496,0.458
44,0.0,0.496,0.458
45,0.0,0.496,0.458
46,0.0,0.4970000000000001,0.458
47,0.0,0.4970000000000001,0.458
48,0.0,0.4970000000000001,0.458
49,0.0,0.4970000000000001,0.458
50,0.0,0.498,0.458
51,0.0,0.498,0.458
52,0.0,0.498,0.458
53,0.0,0.498,0.458
54,0.0,0.498,0.458
55,0.0,0.498,0.458
56,0.0,0.498,0.458
57,0.0,0.498,0.458
58,0.0,0.499,0.458
59,0.0,0.499,0.458
60,0.0,0.499,0.458
61,0.0,0.499,0.458
62,0.02,0.499,0.458
63,0.02,0.499,0.458
64,0.02,0.5,0.458
65,0.02,0.5,0.458
66,0.02,0.5,0.458
67,0.02,0.5,0.458
68,0.061,0.501,0.458
69,0.061,0.501,0.458
70,0.061,0.501,0.458
71,0.061,0.501,0.458
72,0.101,0.501,0.458
