,time,2dmu,2dmv
0,0.0,0.486,0.503
1,0.0,0.486,0.503
2,0.0,0.488,0.504
3,0.0,0.488,0.504
4,0.0,0.488,0.505
5,0.0,0.488,0.505
6,0.0,0.489,0.506
7,0.0,0.489,0.506
8,0.0,0.489,0.506
9,0.0,0.489,0.506
10,0.0,0.491,0.508
11,0.0,0.491,0.508
12,0.0,0.493,0.509
13,0.0,0.493,0.509
14,0.0,0.493,0.509
15,0.0,0.493,0.509
16,0.0,0.493,0.509
17,0.0,0.493,0.509
18,0.0,0.493,0.509
19,0.0,0.493,0.509
20,0.0,0.493,0.509
21,0.0,0.493,0.509
22,0.0,0.493,0.509
23,0.0,0.493,0.509
24,0.0,0.493,0.508
25,0.0,0.493,0.508
26,0.0,0.493,0.508
27,0.0,0.493,0.508
28,0.0,0.4920000000000001,0.507
29,0.0,0.4920000000000001,0.507
30,0.0,0.4920000000000001,0.507
31,0.0,0.4920000000000001,0.507
32,0.0,0.4920000000000001,0.507
33,0.0,0.4920000000000001,0.507
34,0.0,0.4920000000000001,0.506
35,0.0,0.4920000000000001,0.506
36,0.0,0.4920000000000001,0.506
37,0.0,0.4920000000000001,0.506
38,0.0,0.491,0.506
39,0.0,0.491,0.506
40,0.0,0.491,0.506
41,0.0,0.491,0.506
42,0.0,0.491,0.506
43,0.0,0.491,0.506
44,0.0,0.491,0.506
45,0.0,0.491,0.506
46,0.0,0.491,0.506
47,0.0,0.491,0.506
48,0.0,0.491,0.506
49,0.0,0.491,0.506
50,0.0,0.491,0.505
51,0.0,0.491,0.505
52,0.017,0.491,0.505
53,0.017,0.491,0.505
54,0.017,0.491,0.504
55,0.017,0.491,0.504
56,0.058,0.491,0.504
57,0.058,0.491,0.504
58,0.058,0.491,0.504
59,0.058,0.491,0.504
60,0.058,0.491,0.504
61,0.058,0.491,0.504
62,0.099,0.491,0.504
63,0.099,0.491,0.504
64,0.099,0.49,0.504
65,0.099,0.49,0.504
66,0.139,0.491,0.504
67,0.139,0.491,0.504
68,0.139,0.491,0.504
69,0.139,0.491,0.504
70,0.179,0.49,0.504
71,0.179,0.49,0.504
72,0.179,0.49,0.504
73,0.179,0.49,0.504
74,0.179,0.49,0.504
75,0.179,0.49,0.504
76,0.218,0.49,0.504
77,0.218,0.49,0.504
78,0.218,0.49,0.504
79,0.218,0.49,0.504
80,0.258,0.49,0.504
81,0.258,0.49,0.504
82,0.258,0.49,0.504
83,0.258,0.49,0.504
84,0.258,0.49,0.503
85,0.258,0.49,0.503
86,0.3,0.49,0.503
87,0.3,0.49,0.503
88,0.3,0.49,0.503
89,0.3,0.49,0.503
90,0.34,0.49,0.503
91,0.34,0.49,0.503
92,0.34,0.49,0.503
93,0.34,0.49,0.503
94,0.38,0.49,0.503
95,0.38,0.49,0.503
96,0.38,0.49,0.503
97,0.38,0.49,0.503
98,0.38,0.49,0.503
99,0.38,0.49,0.503
100,0.419,0.49,0.503
101,0.419,0.49,0.503
102,0.419,0.489,0.502
103,0.419,0.489,0.502
104,0.459,0.489,0.502
105,0.459,0.489,0.502
106,0.459,0.489,0.502
107,0.459,0.489,0.502
108,0.459,0.489,0.502
109,0.459,0.489,0.502
110,0.501,0.489,0.502
111,0.501,0.489,0.502
112,0.501,0.489,0.501
113,0.501,0.489,0.501
114,0.541,0.488,0.501
115,0.541,0.488,0.501
116,0.541,0.488,0.501
117,0.541,0.488,0.501
118,0.541,0.488,0.501
119,0.541,0.488,0.501
120,0.581,0.488,0.501
121,0.581,0.488,0.501
122,0.581,0.488,0.501
123,0.581,0.488,0.501
124,0.621,0.488,0.501
125,0.621,0.488,0.501
126,0.621,0.488,0.501
127,0.621,0.488,0.501
128,0.662,0.488,0.501
129,0.662,0.488,0.501
130,0.662,0.488,0.501
131,0.662,0.488,0.501
132,0.662,0.488,0.501
133,0.662,0.488,0.501
134,0.7020000000000001,0.488,0.501
135,0.7020000000000001,0.488,0.501
136,0.7020000000000001,0.488,0.501
137,0.7020000000000001,0.488,0.501
138,0.741,0.488,0.501
139,0.741,0.488,0.501
140,0.741,0.488,0.501
141,0.741,0.488,0.501
142,0.7809999999999999,0.488,0.501
143,0.7809999999999999,0.488,0.501
144,0.7809999999999999,0.488,0.501
145,0.7809999999999999,0.488,0.501
146,0.821,0.488,0.501
147,0.821,0.488,0.501
148,0.821,0.487,0.501
149,0.821,0.487,0.501
150,0.861,0.487,0.501
151,0.861,0.487,0.501
152,0.861,0.487,0.501
153,0.861,0.487,0.501
154,0.861,0.487,0.501
155,0.861,0.487,0.501
156,0.902,0.486,0.5
157,0.902,0.486,0.5
