,time,2dmu,2dmv
0,0.0,0.486,0.445
1,0.0,0.486,0.445
2,0.0,0.486,0.445
3,0.0,0.486,0.445
4,0.0,0.485,0.444
5,0.0,0.485,0.444
6,0.0,0.485,0.444
7,0.0,0.485,0.444
8,0.0,0.484,0.442
9,0.0,0.484,0.442
10,0.0,0.484,0.442
11,0.0,0.484,0.442
12,0.0,0.484,0.443
13,0.0,0.484,0.443
14,0.0,0.484,0.443
15,0.0,0.484,0.443
16,0.0,0.485,0.444
17,0.0,0.485,0.444
18,0.0,0.485,0.444
19,0.0,0.485,0.444
20,0.0,0.486,0.445
21,0.0,0.486,0.445
22,0.0,0.486,0.445
23,0.0,0.486,0.445
24,0.0,0.486,0.445
25,0.0,0.486,0.445
26,0.0,0.486,0.445
27,0.0,0.486,0.445
28,0.0,0.486,0.445
29,0.0,0.486,0.445
30,0.0,0.486,0.445
31,0.0,0.486,0.445
32,0.0,0.486,0.444
33,0.0,0.486,0.444
34,0.0,0.486,0.444
35,0.0,0.486,0.444
36,0.0,0.486,0.444
37,0.0,0.486,0.444
38,0.0,0.485,0.444
39,0.0,0.485,0.444
40,0.0,0.485,0.444
41,0.0,0.485,0.444
42,0.0,0.485,0.443
43,0.0,0.485,0.443
44,0.0,0.485,0.443
45,0.0,0.485,0.443
46,0.0,0.485,0.444
47,0.0,0.485,0.444
48,0.0,0.486,0.444
49,0.0,0.486,0.444
50,0.0,0.486,0.444
51,0.0,0.486,0.444
52,0.0,0.486,0.446
53,0.0,0.486,0.446
54,0.013,0.486,0.447
55,0.013,0.486,0.447
56,0.013,0.486,0.448
57,0.013,0.486,0.448
58,0.053,0.486,0.448
59,0.053,0.486,0.448
60,0.053,0.486,0.448
61,0.053,0.486,0.448
62,0.094,0.486,0.449
63,0.094,0.486,0.449
64,0.094,0.486,0.449
65,0.094,0.486,0.449
66,0.134,0.486,0.449
67,0.134,0.486,0.449
68,0.134,0.486,0.449
69,0.134,0.486,0.449
70,0.174,0.487,0.449
71,0.174,0.487,0.449
72,0.174,0.487,0.449
73,0.174,0.487,0.449
74,0.174,0.487,0.449
75,0.174,0.487,0.449
76,0.213,0.487,0.449
77,0.213,0.487,0.449
78,0.213,0.487,0.449
79,0.213,0.487,0.449
80,0.253,0.487,0.449
81,0.253,0.487,0.449
82,0.253,0.486,0.449
83,0.253,0.486,0.449
84,0.293,0.486,0.449
85,0.293,0.486,0.449
86,0.293,0.486,0.449
87,0.293,0.486,0.449
88,0.293,0.486,0.449
89,0.293,0.486,0.449
90,0.334,0.485,0.449
91,0.334,0.485,0.449
92,0.334,0.485,0.449
93,0.334,0.485,0.449
94,0.374,0.485,0.449
95,0.374,0.485,0.449
96,0.374,0.485,0.449
97,0.374,0.485,0.449
98,0.374,0.485,0.449
99,0.374,0.485,0.449
100,0.414,0.486,0.45
101,0.414,0.486,0.45
102,0.414,0.486,0.45
103,0.414,0.486,0.45
104,0.455,0.486,0.45
105,0.455,0.486,0.45
106,0.455,0.487,0.45
107,0.455,0.487,0.45
108,0.455,0.487,0.45
109,0.455,0.487,0.45
110,0.495,0.487,0.449
111,0.495,0.487,0.449
112,0.495,0.487,0.448
113,0.495,0.487,0.448
114,0.536,0.487,0.447
115,0.536,0.487,0.447
116,0.536,0.487,0.444
117,0.536,0.487,0.444
118,0.5760000000000001,0.486,0.442
119,0.5760000000000001,0.486,0.442
120,0.5760000000000001,0.486,0.442
121,0.5760000000000001,0.486,0.442
122,0.5760000000000001,0.486,0.439
123,0.5760000000000001,0.486,0.439
124,0.616,0.485,0.4370000000000001
125,0.616,0.485,0.4370000000000001
126,0.616,0.485,0.436
127,0.616,0.485,0.436
128,0.6559999999999999,0.485,0.436
129,0.6559999999999999,0.485,0.436
130,0.6559999999999999,0.485,0.435
131,0.6559999999999999,0.485,0.435
132,0.6559999999999999,0.485,0.434
133,0.6559999999999999,0.485,0.434
134,0.6970000000000001,0.485,0.434
135,0.6970000000000001,0.485,0.434
136,0.6970000000000001,0.485,0.4320000000000001
137,0.6970000000000001,0.485,0.4320000000000001
138,0.738,0.485,0.43
139,0.738,0.485,0.43
140,0.738,0.485,0.43
141,0.738,0.485,0.43
142,0.738,0.485,0.428
143,0.738,0.485,0.428
144,0.778,0.485,0.4270000000000001
145,0.778,0.485,0.4270000000000001
146,0.818,0.486,0.424
147,0.818,0.486,0.424
148,0.818,0.486,0.424
149,0.818,0.486,0.424
150,0.8590000000000001,0.486,0.423
151,0.8590000000000001,0.486,0.423
152,0.8590000000000001,0.487,0.419
153,0.8590000000000001,0.487,0.419
154,0.899,0.487,0.419
155,0.899,0.487,0.419
156,0.899,0.487,0.418
157,0.899,0.487,0.418
