,time,2dmu,2dmv
0,0.0,0.5,0.508
1,0.0,0.5,0.508
2,0.0,0.5,0.508
3,0.0,0.5,0.508
4,0.0,0.5,0.508
5,0.0,0.5,0.508
6,0.0,0.499,0.508
7,0.0,0.499,0.508
8,0.0,0.499,0.508
9,0.0,0.499,0.508
10,0.0,0.498,0.507
11,0.0,0.498,0.507
12,0.0,0.4970000000000001,0.507
13,0.0,0.4970000000000001,0.507
14,0.0,0.4970000000000001,0.507
15,0.0,0.4970000000000001,0.507
16,0.0,0.496,0.507
17,0.0,0.496,0.507
18,0.0,0.496,0.507
19,0.0,0.495,0.507
20,0.0,0.496,0.507
21,0.0,0.495,0.507
22,0.0,0.494,0.507
23,0.0,0.494,0.507
24,0.0,0.493,0.507
25,0.0,0.493,0.507
26,0.0,0.493,0.507
27,0.0,0.493,0.507
28,0.0,0.4920000000000001,0.508
29,0.0,0.4920000000000001,0.508
30,0.0,0.4920000000000001,0.508
31,0.0,0.4920000000000001,0.508
32,0.0,0.491,0.509
33,0.0,0.491,0.509
34,0.0,0.491,0.509
35,0.0,0.491,0.509
36,0.0,0.49,0.509
37,0.0,0.49,0.509
38,0.0,0.49,0.509
39,0.0,0.49,0.509
40,0.0,0.49,0.509
41,0.0,0.49,0.509
42,0.0,0.49,0.509
43,0.0,0.49,0.509
44,0.0,0.489,0.508
45,0.0,0.489,0.508
46,0.0,0.488,0.509
47,0.0,0.488,0.509
48,0.0,0.488,0.509
49,0.0,0.488,0.509
50,0.0,0.488,0.508
51,0.0,0.488,0.508
52,0.0,0.488,0.508
53,0.0,0.488,0.508
54,0.0,0.487,0.508
55,0.0,0.487,0.508
56,0.0,0.487,0.508
57,0.0,0.487,0.508
58,0.0,0.486,0.508
59,0.0,0.486,0.508
60,0.0,0.486,0.508
61,0.0,0.486,0.508
62,0.0,0.485,0.508
63,0.0,0.485,0.508
64,0.0,0.485,0.508
65,0.0,0.485,0.508
66,0.0,0.485,0.508
67,0.0,0.485,0.508
68,0.0,0.485,0.508
69,0.0,0.485,0.508
70,0.0,0.485,0.508
71,0.0,0.485,0.508
72,0.02,0.484,0.508
73,0.02,0.484,0.508
74,0.02,0.484,0.508
75,0.02,0.484,0.508
76,0.02,0.484,0.508
77,0.02,0.484,0.508
78,0.061,0.484,0.508
79,0.061,0.484,0.508
80,0.061,0.484,0.508
81,0.061,0.484,0.508
82,0.101,0.483,0.508
83,0.101,0.483,0.508
84,0.101,0.483,0.508
85,0.101,0.483,0.508
86,0.101,0.483,0.508
87,0.101,0.483,0.508
88,0.142,0.483,0.508
89,0.142,0.483,0.508
90,0.142,0.483,0.508
91,0.142,0.483,0.508
92,0.182,0.482,0.508
93,0.182,0.482,0.508
94,0.182,0.482,0.508
95,0.182,0.482,0.508
96,0.222,0.482,0.508
97,0.222,0.482,0.508
98,0.222,0.482,0.508
99,0.222,0.482,0.508
100,0.222,0.482,0.508
101,0.222,0.482,0.508
102,0.262,0.482,0.508
103,0.262,0.482,0.508
104,0.262,0.482,0.509
105,0.262,0.482,0.509
106,0.302,0.482,0.509
107,0.302,0.482,0.509
108,0.302,0.482,0.509
109,0.302,0.482,0.509
110,0.302,0.481,0.509
111,0.302,0.481,0.509
112,0.343,0.481,0.509
113,0.343,0.481,0.509
114,0.343,0.481,0.509
115,0.343,0.481,0.509
116,0.383,0.481,0.508
117,0.383,0.481,0.508
118,0.383,0.481,0.508
119,0.383,0.481,0.508
120,0.422,0.481,0.508
121,0.422,0.481,0.508
122,0.422,0.481,0.508
123,0.422,0.481,0.508
124,0.422,0.481,0.508
125,0.422,0.481,0.508
126,0.463,0.481,0.508
127,0.463,0.481,0.508
128,0.463,0.48,0.508
129,0.463,0.48,0.508
130,0.503,0.48,0.508
131,0.503,0.48,0.508
132,0.503,0.48,0.508
133,0.503,0.48,0.508
134,0.503,0.48,0.508
135,0.503,0.48,0.508
136,0.545,0.48,0.508
137,0.545,0.48,0.508
138,0.545,0.48,0.508
139,0.545,0.48,0.508
140,0.585,0.48,0.508
141,0.585,0.48,0.508
142,0.585,0.48,0.508
143,0.585,0.48,0.508
144,0.585,0.48,0.508
145,0.585,0.48,0.508
146,0.625,0.48,0.508
147,0.625,0.48,0.508
148,0.625,0.48,0.508
149,0.625,0.48,0.508
150,0.665,0.48,0.508
151,0.665,0.48,0.508
152,0.665,0.48,0.508
153,0.665,0.48,0.508
154,0.705,0.479,0.508
155,0.705,0.479,0.508
156,0.705,0.479,0.507
157,0.705,0.479,0.507
158,0.705,0.479,0.507
159,0.705,0.479,0.507
160,0.745,0.479,0.507
161,0.745,0.479,0.507
162,0.745,0.478,0.507
163,0.745,0.478,0.507
164,0.785,0.478,0.507
165,0.785,0.478,0.507
166,0.785,0.478,0.507
167,0.785,0.478,0.507
168,0.785,0.478,0.508
169,0.785,0.478,0.508
170,0.826,0.477,0.508
171,0.826,0.477,0.508
172,0.826,0.477,0.508
173,0.826,0.477,0.508
174,0.867,0.477,0.508
175,0.867,0.477,0.508
176,0.867,0.476,0.509
177,0.867,0.476,0.509
178,0.907,0.476,0.509
179,0.907,0.476,0.509
180,0.907,0.475,0.51
181,0.907,0.475,0.51
182,0.907,0.475,0.51
183,0.907,0.475,0.51
184,0.947,0.475,0.51
185,0.947,0.475,0.51
186,0.947,0.475,0.51
187,0.947,0.475,0.51
188,0.988,0.474,0.51
189,0.988,0.474,0.51
190,0.988,0.473,0.509
191,0.988,0.473,0.509
192,0.988,0.473,0.509
193,0.988,0.473,0.509
194,1.028,0.473,0.509
195,1.028,0.473,0.509
196,1.028,0.472,0.509
197,1.028,0.472,0.509
198,1.069,0.471,0.509
199,1.069,0.471,0.509
200,1.069,0.47,0.508
201,1.069,0.47,0.508
202,1.069,0.47,0.508
203,1.069,0.47,0.508
204,1.109,0.47,0.508
205,1.109,0.47,0.508
206,1.109,0.469,0.508
207,1.109,0.469,0.508
208,1.149,0.468,0.508
209,1.149,0.468,0.508
210,1.149,0.468,0.507
211,1.149,0.468,0.507
212,1.19,0.467,0.506
213,1.19,0.467,0.506
214,1.19,0.467,0.506
215,1.19,0.467,0.506
216,1.19,0.467,0.506
217,1.19,0.467,0.506
218,1.231,0.467,0.505
219,1.231,0.467,0.505
220,1.231,0.467,0.505
221,1.231,0.467,0.505
222,1.271,0.466,0.504
223,1.271,0.466,0.504
224,1.271,0.466,0.504
225,1.271,0.466,0.504
226,1.271,0.466,0.503
227,1.271,0.466,0.503
228,1.311,0.466,0.503
229,1.311,0.466,0.503
230,1.311,0.465,0.502
231,1.311,0.465,0.502
232,1.352,0.465,0.5
233,1.352,0.465,0.5
234,1.352,0.465,0.5
235,1.352,0.465,0.5
236,1.352,0.464,0.498
237,1.352,0.464,0.498
238,1.393,0.463,0.496
239,1.393,0.463,0.496
240,1.393,0.463,0.494
241,1.393,0.463,0.494
242,1.4340000000000002,0.462,0.4920000000000001
243,1.4340000000000002,0.462,0.4920000000000001
244,1.4340000000000002,0.462,0.4920000000000001
245,1.4340000000000002,0.462,0.4920000000000001
246,1.475,0.461,0.49
247,1.475,0.461,0.49
248,1.475,0.46,0.489
249,1.475,0.46,0.489
250,1.475,0.46,0.488
251,1.475,0.46,0.488
252,1.514,0.46,0.488
253,1.514,0.46,0.488
254,1.514,0.459,0.488
255,1.514,0.459,0.488
256,1.554,0.458,0.488
257,1.554,0.458,0.488
258,1.554,0.458,0.489
259,1.554,0.458,0.489
260,1.554,0.458,0.488
261,1.554,0.458,0.488
262,1.594,0.458,0.488
263,1.594,0.458,0.488
264,1.594,0.457,0.487
265,1.594,0.457,0.487
266,1.635,0.457,0.487
267,1.635,0.457,0.487
268,1.635,0.457,0.486
269,1.635,0.457,0.486
270,1.635,0.457,0.486
271,1.635,0.457,0.486
272,1.676,0.457,0.486
273,1.676,0.457,0.486
274,1.676,0.457,0.486
275,1.676,0.457,0.486
276,1.717,0.457,0.486
277,1.717,0.457,0.486
278,1.717,0.457,0.485
279,1.717,0.457,0.485
280,1.757,0.457,0.485
281,1.757,0.457,0.485
282,1.757,0.458,0.484
283,1.757,0.458,0.484
284,1.757,0.458,0.484
285,1.757,0.458,0.484
286,1.798,0.459,0.482
287,1.798,0.459,0.482
288,1.798,0.46,0.481
289,1.798,0.46,0.481
290,1.838,0.46,0.481
291,1.838,0.46,0.481
292,1.838,0.462,0.48
293,1.838,0.462,0.48
294,1.838,0.462,0.48
295,1.838,0.462,0.48
296,1.879,0.462,0.48
297,1.879,0.462,0.48
298,1.879,0.463,0.479
299,1.879,0.463,0.479
300,1.919,0.465,0.478
301,1.919,0.465,0.478
302,1.919,0.466,0.478
303,1.919,0.466,0.478
304,1.919,0.466,0.478
305,1.919,0.466,0.478
306,1.961,0.467,0.478
307,1.961,0.467,0.478
308,1.961,0.469,0.478
309,1.961,0.469,0.478
310,2.001,0.471,0.478
311,2.001,0.471,0.478
312,2.001,0.472,0.478
313,2.001,0.472,0.478
314,2.041,0.472,0.478
315,2.041,0.472,0.478
316,2.041,0.474,0.478
317,2.041,0.474,0.478
318,2.041,0.476,0.478
319,2.041,0.476,0.478
320,2.08,0.477,0.477
321,2.08,0.477,0.477
322,2.08,0.479,0.477
323,2.08,0.479,0.477
324,2.121,0.479,0.477
325,2.121,0.479,0.477
326,2.121,0.481,0.476
327,2.121,0.481,0.476
328,2.121,0.483,0.475
329,2.121,0.483,0.475
330,2.162,0.485,0.475
331,2.162,0.485,0.475
332,2.162,0.487,0.476
333,2.162,0.487,0.476
334,2.202,0.487,0.476
335,2.202,0.487,0.476
336,2.202,0.487,0.476
337,2.202,0.487,0.476
338,2.202,0.489,0.476
339,2.202,0.489,0.476
340,2.2430000000000003,0.49,0.476
341,2.2430000000000003,0.49,0.476
342,2.2430000000000003,0.493,0.477
343,2.2430000000000003,0.493,0.477
344,2.283,0.493,0.477
345,2.283,0.493,0.477
346,2.283,0.495,0.477
347,2.283,0.495,0.477
348,2.324,0.4970000000000001,0.477
349,2.324,0.4970000000000001,0.477
350,2.324,0.499,0.477
351,2.324,0.499,0.477
352,2.324,0.501,0.477
353,2.324,0.501,0.477
354,2.364,0.501,0.477
355,2.364,0.501,0.477
356,2.364,0.503,0.478
357,2.364,0.503,0.478
358,2.405,0.506,0.478
359,2.405,0.506,0.478
360,2.405,0.507,0.478
361,2.405,0.507,0.478
362,2.405,0.509,0.478
363,2.405,0.509,0.478
364,2.445,0.509,0.478
365,2.445,0.509,0.478
366,2.445,0.512,0.479
367,2.445,0.512,0.479
368,2.485,0.513,0.479
369,2.485,0.513,0.479
370,2.485,0.515,0.478
371,2.485,0.515,0.478
372,2.485,0.515,0.478
373,2.485,0.515,0.478
374,2.525,0.517,0.479
375,2.525,0.517,0.479
376,2.525,0.519,0.479
377,2.525,0.519,0.479
378,2.5660000000000003,0.519,0.479
379,2.5660000000000003,0.519,0.479
380,2.5660000000000003,0.52,0.479
381,2.5660000000000003,0.52,0.479
382,2.6060000000000003,0.52,0.479
383,2.6060000000000003,0.52,0.479
384,2.6060000000000003,0.522,0.48
385,2.6060000000000003,0.522,0.48
386,2.6060000000000003,0.523,0.481
387,2.6060000000000003,0.523,0.481
388,2.6460000000000004,0.525,0.481
389,2.6460000000000004,0.525,0.481
390,2.6460000000000004,0.527,0.482
391,2.6460000000000004,0.527,0.482
392,2.687,0.527,0.482
393,2.687,0.527,0.482
394,2.687,0.528,0.482
395,2.687,0.528,0.482
396,2.687,0.529,0.483
397,2.687,0.529,0.483
398,2.728,0.531,0.483
399,2.728,0.531,0.483
400,2.728,0.532,0.482
401,2.728,0.532,0.482
402,2.769,0.5329999999999999,0.482
403,2.769,0.5329999999999999,0.482
404,2.769,0.5329999999999999,0.482
405,2.769,0.5329999999999999,0.482
406,2.769,0.534,0.482
407,2.769,0.534,0.482
408,2.809,0.535,0.482
409,2.809,0.535,0.482
410,2.809,0.536,0.482
411,2.809,0.536,0.482
412,2.849,0.536,0.482
413,2.849,0.536,0.482
414,2.849,0.536,0.482
415,2.849,0.536,0.482
416,2.889,0.536,0.482
417,2.889,0.536,0.482
418,2.889,0.537,0.482
419,2.889,0.537,0.482
420,2.889,0.537,0.482
421,2.889,0.537,0.482
422,2.93,0.537,0.482
423,2.93,0.537,0.482
424,2.93,0.537,0.482
425,2.93,0.537,0.482
426,2.972,0.537,0.482
427,2.972,0.537,0.482
428,2.972,0.537,0.482
429,2.972,0.537,0.482
430,2.972,0.5379999999999999,0.483
431,2.972,0.5379999999999999,0.483
432,3.012,0.5379999999999999,0.483
433,3.012,0.5379999999999999,0.483
434,3.012,0.5379999999999999,0.483
435,3.012,0.5379999999999999,0.483
436,3.052,0.5379999999999999,0.483
437,3.052,0.5379999999999999,0.483
438,3.052,0.5379999999999999,0.483
439,3.052,0.5379999999999999,0.483
440,3.052,0.5379999999999999,0.483
441,3.052,0.5379999999999999,0.483
442,3.094,0.5379999999999999,0.483
443,3.094,0.5379999999999999,0.483
444,3.094,0.5379999999999999,0.483
445,3.094,0.5379999999999999,0.483
446,3.134,0.5379999999999999,0.483
447,3.134,0.5379999999999999,0.483
448,3.134,0.5379999999999999,0.483
449,3.134,0.5379999999999999,0.483
450,3.134,0.5379999999999999,0.483
451,3.134,0.5379999999999999,0.483
452,3.176,0.5379999999999999,0.483
453,3.176,0.5379999999999999,0.483
454,3.176,0.5379999999999999,0.482
455,3.176,0.5379999999999999,0.482
456,3.216,0.539,0.482
457,3.216,0.539,0.482
458,3.216,0.539,0.482
459,3.216,0.539,0.482
460,3.257,0.54,0.482
461,3.257,0.54,0.482
462,3.257,0.54,0.482
463,3.257,0.54,0.482
464,3.257,0.54,0.482
465,3.257,0.54,0.482
466,3.298,0.54,0.482
467,3.298,0.54,0.482
468,3.298,0.54,0.482
469,3.298,0.54,0.482
470,3.338,0.54,0.482
471,3.338,0.54,0.482
472,3.338,0.54,0.482
473,3.338,0.54,0.482
474,3.338,0.54,0.482
475,3.338,0.54,0.482
476,3.378,0.54,0.481
477,3.378,0.54,0.481
478,3.378,0.539,0.481
479,3.378,0.539,0.481
480,3.419,0.539,0.481
481,3.419,0.539,0.481
482,3.419,0.5379999999999999,0.481
483,3.419,0.5379999999999999,0.481
484,3.419,0.537,0.48
485,3.419,0.537,0.48
486,3.459,0.537,0.48
487,3.459,0.537,0.48
488,3.459,0.536,0.48
489,3.459,0.536,0.48
490,3.5,0.536,0.48
491,3.5,0.536,0.48
492,3.5,0.535,0.479
493,3.5,0.535,0.479
494,3.5410000000000004,0.534,0.479
495,3.5410000000000004,0.534,0.479
496,3.5410000000000004,0.534,0.479
497,3.5410000000000004,0.534,0.479
498,3.5410000000000004,0.532,0.478
499,3.5410000000000004,0.532,0.478
500,3.582,0.532,0.478
501,3.582,0.532,0.478
502,3.582,0.532,0.477
503,3.582,0.532,0.477
504,3.621,0.531,0.477
505,3.621,0.531,0.477
506,3.621,0.53,0.476
507,3.621,0.53,0.476
508,3.621,0.529,0.476
509,3.621,0.529,0.476
510,3.662,0.529,0.476
511,3.662,0.529,0.476
512,3.662,0.529,0.476
513,3.662,0.529,0.476
514,3.702,0.528,0.476
515,3.702,0.528,0.476
516,3.702,0.526,0.475
517,3.702,0.526,0.475
518,3.702,0.525,0.475
519,3.702,0.525,0.475
520,3.743,0.525,0.475
521,3.743,0.525,0.475
522,3.743,0.524,0.474
523,3.743,0.524,0.474
524,3.783,0.523,0.474
525,3.783,0.523,0.474
526,3.783,0.522,0.474
527,3.783,0.522,0.474
528,3.823,0.521,0.474
529,3.823,0.521,0.474
530,3.823,0.521,0.474
531,3.823,0.521,0.474
532,3.823,0.52,0.474
533,3.823,0.52,0.474
534,3.864,0.519,0.474
535,3.864,0.519,0.474
536,3.864,0.517,0.474
537,3.864,0.517,0.474
538,3.905,0.516,0.475
539,3.905,0.516,0.475
540,3.905,0.516,0.475
541,3.905,0.516,0.475
542,3.905,0.514,0.476
543,3.905,0.514,0.476
544,3.946,0.513,0.477
545,3.946,0.513,0.477
546,3.946,0.512,0.477
547,3.946,0.512,0.477
548,3.986,0.512,0.477
549,3.986,0.512,0.477
550,3.986,0.51,0.478
551,3.986,0.51,0.478
552,3.986,0.509,0.478
553,3.986,0.509,0.478
554,4.025,0.507,0.479
555,4.025,0.507,0.479
556,4.025,0.507,0.48
557,4.025,0.507,0.48
558,4.066,0.507,0.48
559,4.066,0.507,0.48
560,4.066,0.506,0.48
561,4.066,0.506,0.48
562,4.106,0.504,0.481
563,4.106,0.504,0.481
564,4.106,0.503,0.482
565,4.106,0.503,0.482
566,4.106,0.501,0.482
567,4.106,0.501,0.482
568,4.147,0.501,0.482
569,4.147,0.501,0.482
570,4.147,0.499,0.483
571,4.147,0.499,0.483
572,4.187,0.4970000000000001,0.484
573,4.187,0.4970000000000001,0.484
574,4.187,0.496,0.484
575,4.187,0.496,0.484
576,4.187,0.494,0.485
577,4.187,0.494,0.485
578,4.228,0.491,0.486
579,4.228,0.491,0.486
580,4.228,0.491,0.486
581,4.228,0.491,0.486
582,4.269,0.489,0.487
583,4.269,0.489,0.487
584,4.269,0.486,0.488
585,4.269,0.486,0.488
586,4.269,0.483,0.49
587,4.269,0.483,0.49
588,4.309,0.483,0.49
589,4.309,0.483,0.49
590,4.309,0.48,0.4920000000000001
591,4.309,0.48,0.4920000000000001
592,4.35,0.477,0.493
593,4.35,0.477,0.493
594,4.35,0.474,0.495
595,4.35,0.474,0.495
596,4.391,0.47,0.4970000000000001
597,4.391,0.47,0.4970000000000001
598,4.391,0.47,0.4970000000000001
599,4.391,0.47,0.4970000000000001
600,4.391,0.47,0.498
601,4.391,0.47,0.498
602,4.432,0.467,0.499
603,4.432,0.467,0.499
604,4.432,0.466,0.5
605,4.432,0.466,0.5
606,4.473,0.463,0.502
607,4.473,0.463,0.502
608,4.473,0.461,0.503
609,4.473,0.461,0.503
610,4.473,0.458,0.504
611,4.473,0.458,0.504
612,4.513,0.455,0.505
613,4.513,0.455,0.505
614,4.513,0.451,0.506
615,4.513,0.451,0.506
616,4.553,0.448,0.507
617,4.553,0.448,0.507
618,4.553,0.448,0.507
619,4.553,0.448,0.507
620,4.553,0.445,0.508
621,4.553,0.445,0.508
622,4.5939999999999985,0.442,0.509
623,4.5939999999999985,0.442,0.509
624,4.5939999999999985,0.439,0.51
625,4.5939999999999985,0.439,0.51
626,4.635,0.439,0.51
627,4.635,0.439,0.51
628,4.635,0.436,0.511
629,4.635,0.436,0.511
630,4.675,0.433,0.511
631,4.675,0.433,0.511
632,4.675,0.43,0.512
633,4.675,0.43,0.512
634,4.675,0.428,0.513
635,4.675,0.428,0.513
636,4.716,0.428,0.513
637,4.716,0.428,0.513
638,4.716,0.425,0.513
639,4.716,0.425,0.513
640,4.756,0.422,0.514
641,4.756,0.422,0.514
642,4.756,0.419,0.513
643,4.756,0.419,0.513
644,4.756,0.419,0.513
645,4.756,0.419,0.513
646,4.797,0.416,0.514
647,4.797,0.416,0.514
648,4.797,0.413,0.514
649,4.797,0.413,0.514
650,4.838,0.41,0.514
651,4.838,0.41,0.514
652,4.838,0.411,0.514
653,4.838,0.411,0.514
654,4.838,0.408,0.514
655,4.838,0.408,0.514
656,4.879,0.408,0.514
657,4.879,0.408,0.514
658,4.879,0.405,0.514
659,4.879,0.405,0.514
660,4.919,0.403,0.513
661,4.919,0.403,0.513
662,4.919,0.4,0.513
