,time,2dmu,2dmv
0,0.0,0.504,0.523
1,0.0,0.504,0.523
2,0.0,0.505,0.524
3,0.0,0.505,0.524
4,0.0,0.505,0.524
5,0.0,0.505,0.524
6,0.0,0.504,0.525
7,0.0,0.504,0.525
8,0.0,0.504,0.525
9,0.0,0.504,0.525
10,0.0,0.505,0.526
11,0.0,0.505,0.526
12,0.0,0.505,0.526
13,0.0,0.505,0.526
14,0.0,0.504,0.528
15,0.0,0.504,0.528
16,0.0,0.504,0.528
17,0.0,0.504,0.528
18,0.0,0.504,0.53
19,0.0,0.504,0.53
20,0.0,0.504,0.531
21,0.0,0.504,0.531
22,0.0,0.504,0.531
23,0.0,0.504,0.531
24,0.0,0.504,0.532
25,0.0,0.504,0.532
26,0.0,0.504,0.532
27,0.0,0.504,0.532
28,0.0,0.504,0.532
29,0.0,0.504,0.532
30,0.0,0.504,0.532
31,0.0,0.504,0.532
32,0.0,0.504,0.532
33,0.0,0.504,0.532
34,0.0,0.504,0.532
35,0.0,0.504,0.532
36,0.0,0.504,0.5329999999999999
37,0.0,0.504,0.5329999999999999
38,0.0,0.504,0.5329999999999999
39,0.0,0.504,0.5329999999999999
40,0.0,0.504,0.5329999999999999
41,0.0,0.504,0.5329999999999999
42,0.0,0.504,0.5329999999999999
43,0.0,0.504,0.5329999999999999
44,0.0,0.504,0.5329999999999999
45,0.0,0.504,0.5329999999999999
46,0.0,0.504,0.534
47,0.0,0.504,0.534
48,0.0,0.504,0.534
49,0.0,0.504,0.534
50,0.0,0.504,0.534
51,0.0,0.503,0.534
52,0.0,0.503,0.534
53,0.0,0.504,0.534
54,0.0,0.503,0.534
55,0.0,0.503,0.534
56,0.0,0.503,0.534
57,0.0,0.503,0.534
58,0.0,0.503,0.534
59,0.0,0.503,0.534
60,0.0,0.503,0.534
61,0.0,0.503,0.534
62,0.0,0.503,0.534
63,0.0,0.503,0.534
64,0.0,0.503,0.534
65,0.0,0.503,0.534
66,0.0,0.503,0.534
67,0.0,0.503,0.534
68,0.016,0.503,0.534
69,0.016,0.503,0.534
70,0.016,0.503,0.534
71,0.016,0.503,0.534
72,0.058,0.503,0.534
73,0.058,0.503,0.534
74,0.058,0.503,0.534
75,0.058,0.503,0.534
76,0.058,0.503,0.534
77,0.058,0.503,0.534
78,0.098,0.503,0.534
79,0.098,0.503,0.534
80,0.098,0.503,0.534
81,0.098,0.503,0.534
82,0.139,0.503,0.534
83,0.139,0.503,0.534
84,0.139,0.503,0.534
85,0.139,0.503,0.534
86,0.179,0.503,0.534
87,0.179,0.503,0.534
88,0.179,0.503,0.534
89,0.179,0.503,0.534
90,0.179,0.503,0.534
91,0.179,0.503,0.534
92,0.221,0.503,0.534
93,0.221,0.503,0.534
94,0.221,0.503,0.534
95,0.221,0.503,0.534
96,0.262,0.503,0.5329999999999999
97,0.262,0.503,0.5329999999999999
98,0.262,0.503,0.5329999999999999
99,0.262,0.503,0.5329999999999999
100,0.262,0.503,0.5329999999999999
101,0.262,0.503,0.5329999999999999
102,0.302,0.503,0.5329999999999999
103,0.302,0.503,0.5329999999999999
104,0.302,0.503,0.5329999999999999
105,0.302,0.503,0.5329999999999999
106,0.342,0.503,0.5329999999999999
107,0.342,0.503,0.5329999999999999
108,0.342,0.503,0.5329999999999999
109,0.342,0.503,0.5329999999999999
110,0.342,0.503,0.5329999999999999
111,0.342,0.503,0.5329999999999999
112,0.384,0.503,0.5329999999999999
113,0.384,0.503,0.5329999999999999
114,0.384,0.503,0.5329999999999999
115,0.384,0.503,0.5329999999999999
116,0.424,0.503,0.5329999999999999
117,0.424,0.503,0.5329999999999999
118,0.424,0.503,0.5329999999999999
119,0.424,0.503,0.5329999999999999
120,0.464,0.503,0.5329999999999999
121,0.464,0.503,0.5329999999999999
122,0.464,0.503,0.5329999999999999
123,0.464,0.503,0.5329999999999999
124,0.464,0.503,0.5329999999999999
125,0.464,0.503,0.5329999999999999
126,0.505,0.503,0.5329999999999999
127,0.505,0.503,0.5329999999999999
128,0.505,0.503,0.5329999999999999
129,0.505,0.503,0.5329999999999999
130,0.547,0.503,0.5329999999999999
131,0.547,0.503,0.5329999999999999
132,0.547,0.503,0.5329999999999999
133,0.547,0.503,0.5329999999999999
134,0.547,0.503,0.5329999999999999
135,0.547,0.503,0.5329999999999999
136,0.588,0.503,0.5329999999999999
137,0.588,0.503,0.5329999999999999
138,0.588,0.503,0.5329999999999999
139,0.588,0.503,0.5329999999999999
140,0.629,0.503,0.5329999999999999
141,0.629,0.503,0.5329999999999999
142,0.629,0.503,0.5329999999999999
143,0.629,0.503,0.5329999999999999
144,0.629,0.503,0.5329999999999999
145,0.629,0.503,0.5329999999999999
146,0.67,0.503,0.5329999999999999
147,0.67,0.503,0.5329999999999999
148,0.67,0.503,0.5329999999999999
149,0.67,0.503,0.5329999999999999
150,0.71,0.503,0.532
151,0.71,0.503,0.532
152,0.71,0.503,0.532
153,0.71,0.503,0.532
154,0.71,0.503,0.532
155,0.71,0.503,0.532
156,0.75,0.503,0.532
157,0.75,0.503,0.532
158,0.75,0.503,0.532
159,0.75,0.503,0.532
160,0.7909999999999999,0.503,0.532
161,0.7909999999999999,0.503,0.532
162,0.7909999999999999,0.503,0.532
163,0.7909999999999999,0.503,0.532
164,0.831,0.503,0.532
165,0.831,0.503,0.532
166,0.831,0.503,0.532
167,0.831,0.503,0.532
168,0.831,0.503,0.532
169,0.831,0.503,0.532
170,0.871,0.503,0.532
171,0.871,0.503,0.532
172,0.871,0.503,0.531
173,0.911,0.503,0.531
174,0.911,0.503,0.531
175,0.871,0.503,0.531
176,0.911,0.503,0.531
177,0.911,0.503,0.531
178,0.911,0.503,0.531
179,0.911,0.503,0.531
180,0.952,0.503,0.531
181,0.952,0.503,0.531
182,0.952,0.503,0.531
183,0.952,0.503,0.531
184,0.992,0.503,0.531
185,0.992,0.503,0.531
186,0.992,0.503,0.531
187,0.992,0.503,0.531
188,0.992,0.503,0.531
189,0.992,0.503,0.531
190,1.032,0.503,0.531
191,1.032,0.503,0.531
192,1.032,0.503,0.531
193,1.032,0.503,0.531
194,1.073,0.501,0.531
195,1.073,0.501,0.531
196,1.073,0.501,0.531
197,1.073,0.501,0.531
198,1.114,0.5,0.53
199,1.114,0.5,0.53
200,1.114,0.498,0.529
201,1.114,0.498,0.529
202,1.114,0.496,0.527
203,1.114,0.496,0.527
204,1.156,0.493,0.525
205,1.156,0.493,0.525
206,1.156,0.493,0.525
207,1.156,0.493,0.525
208,1.197,0.489,0.522
209,1.197,0.489,0.522
210,1.197,0.485,0.519
211,1.197,0.485,0.519
212,1.197,0.481,0.515
213,1.197,0.481,0.515
214,1.239,0.476,0.511
215,1.239,0.476,0.511
216,1.239,0.476,0.511
217,1.239,0.476,0.511
218,1.28,0.476,0.511
219,1.28,0.476,0.511
220,1.28,0.472,0.507
221,1.28,0.472,0.507
222,1.28,0.468,0.502
223,1.28,0.468,0.502
224,1.319,0.465,0.498
225,1.319,0.465,0.498
226,1.319,0.465,0.498
227,1.319,0.465,0.498
228,1.361,0.462,0.494
229,1.361,0.462,0.494
230,1.361,0.46,0.489
231,1.361,0.46,0.489
232,1.361,0.458,0.485
233,1.361,0.458,0.485
234,1.402,0.455,0.482
235,1.402,0.455,0.482
236,1.402,0.453,0.48
237,1.402,0.453,0.48
238,1.442,0.453,0.48
239,1.442,0.453,0.48
240,1.442,0.451,0.479
241,1.442,0.451,0.479
242,1.442,0.449,0.478
243,1.442,0.449,0.478
244,1.484,0.447,0.479
245,1.484,0.447,0.479
246,1.484,0.445,0.48
247,1.484,0.445,0.48
248,1.525,0.445,0.48
249,1.525,0.445,0.48
250,1.525,0.445,0.481
251,1.525,0.445,0.481
252,1.525,0.443,0.482
253,1.525,0.443,0.482
254,1.5659999999999998,0.441,0.483
255,1.5659999999999998,0.441,0.483
256,1.5659999999999998,0.439,0.484
257,1.5659999999999998,0.439,0.484
258,1.607,0.4370000000000001,0.485
259,1.607,0.4370000000000001,0.485
260,1.607,0.4370000000000001,0.485
261,1.607,0.4370000000000001,0.485
262,1.6469999999999998,0.435,0.485
263,1.6469999999999998,0.435,0.485
264,1.6469999999999998,0.433,0.486
265,1.6469999999999998,0.433,0.486
266,1.6469999999999998,0.431,0.486
267,1.6469999999999998,0.431,0.486
268,1.6880000000000002,0.429,0.487
269,1.6880000000000002,0.429,0.487
270,1.6880000000000002,0.429,0.487
271,1.6880000000000002,0.429,0.487
272,1.73,0.428,0.487
273,1.73,0.428,0.487
274,1.73,0.426,0.488
275,1.73,0.426,0.488
276,1.73,0.424,0.488
277,1.73,0.424,0.488
278,1.77,0.422,0.488
279,1.77,0.422,0.488
280,1.77,0.422,0.488
281,1.77,0.422,0.488
282,1.811,0.422,0.488
283,1.811,0.422,0.488
284,1.811,0.42,0.487
285,1.811,0.42,0.487
286,1.811,0.42,0.487
287,1.811,0.42,0.487
288,1.851,0.418,0.486
289,1.851,0.418,0.486
290,1.851,0.418,0.486
291,1.851,0.418,0.486
292,1.892,0.415,0.486
293,1.892,0.415,0.486
294,1.892,0.413,0.485
295,1.892,0.413,0.485
296,1.892,0.411,0.485
297,1.892,0.411,0.485
298,1.932,0.409,0.484
299,1.932,0.409,0.484
300,1.932,0.407,0.485
301,1.932,0.407,0.485
302,1.972,0.407,0.485
303,1.972,0.407,0.485
304,1.972,0.405,0.485
305,1.972,0.405,0.485
306,2.012,0.403,0.486
307,2.012,0.403,0.486
308,2.012,0.4,0.486
309,2.012,0.4,0.486
310,2.012,0.398,0.486
311,2.012,0.398,0.486
312,2.0540000000000003,0.398,0.486
313,2.0540000000000003,0.398,0.486
314,2.0540000000000003,0.397,0.486
315,2.0540000000000003,0.397,0.486
316,2.094,0.395,0.487
317,2.094,0.395,0.487
318,2.094,0.392,0.487
319,2.094,0.392,0.487
320,2.094,0.389,0.488
321,2.094,0.389,0.488
322,2.135,0.389,0.488
323,2.135,0.389,0.488
324,2.135,0.386,0.488
325,2.135,0.386,0.488
326,2.176,0.383,0.489
327,2.176,0.383,0.489
328,2.176,0.38,0.489
329,2.176,0.38,0.489
330,2.176,0.377,0.489
331,2.176,0.377,0.489
332,2.217,0.374,0.489
333,2.217,0.374,0.489
334,2.217,0.374,0.489
335,2.217,0.374,0.489
336,2.257,0.37,0.489
337,2.257,0.37,0.489
338,2.257,0.3670000000000001,0.489
339,2.257,0.3670000000000001,0.489
340,2.298,0.364,0.489
341,2.298,0.364,0.489
342,2.298,0.361,0.49
343,2.298,0.361,0.49
344,2.298,0.361,0.49
345,2.298,0.361,0.49
346,2.338,0.361,0.49
347,2.338,0.361,0.49
348,2.338,0.358,0.489
349,2.338,0.358,0.489
350,2.378,0.355,0.489
351,2.378,0.355,0.489
352,2.378,0.35200000000000004,0.489
353,2.378,0.35200000000000004,0.489
354,2.378,0.349,0.489
355,2.378,0.349,0.489
356,2.419,0.349,0.489
357,2.419,0.349,0.489
358,2.419,0.34700000000000003,0.489
359,2.419,0.34700000000000003,0.489
360,2.458,0.344,0.489
361,2.458,0.344,0.489
362,2.458,0.341,0.489
363,2.458,0.341,0.489
364,2.458,0.339,0.489
365,2.458,0.339,0.489
366,2.499,0.339,0.489
367,2.499,0.339,0.489
368,2.499,0.336,0.489
369,2.499,0.336,0.489
370,2.54,0.334,0.489
371,2.54,0.334,0.489
372,2.54,0.332,0.49
373,2.54,0.332,0.49
374,2.579,0.33,0.49
375,2.579,0.33,0.49
376,2.579,0.33,0.49
377,2.579,0.33,0.49
378,2.579,0.33,0.49
379,2.579,0.33,0.49
380,2.62,0.329,0.491
381,2.62,0.329,0.491
382,2.62,0.327,0.491
383,2.62,0.327,0.491
384,2.661,0.326,0.4920000000000001
385,2.661,0.326,0.4920000000000001
386,2.661,0.326,0.4920000000000001
387,2.661,0.326,0.4920000000000001
388,2.661,0.324,0.4920000000000001
389,2.661,0.324,0.4920000000000001
390,2.702,0.32299999999999995,0.493
391,2.702,0.32299999999999995,0.493
392,2.702,0.321,0.493
393,2.702,0.321,0.493
394,2.741,0.32,0.494
395,2.741,0.32,0.494
396,2.741,0.319,0.495
