,time,2dmu,2dmv
0,0.0,0.509,0.555
1,0.0,0.509,0.555
2,0.0,0.509,0.555
3,0.0,0.509,0.555
4,0.0,0.51,0.556
5,0.0,0.51,0.556
6,0.0,0.51,0.556
7,0.0,0.51,0.556
8,0.0,0.509,0.556
9,0.0,0.509,0.556
10,0.0,0.509,0.556
11,0.0,0.509,0.556
12,0.0,0.509,0.557
13,0.0,0.509,0.557
14,0.0,0.509,0.557
15,0.0,0.509,0.557
16,0.0,0.509,0.5579999999999999
17,0.0,0.509,0.5579999999999999
18,0.0,0.509,0.5579999999999999
19,0.0,0.509,0.5579999999999999
20,0.0,0.508,0.5589999999999999
21,0.0,0.508,0.5589999999999999
22,0.0,0.508,0.5589999999999999
23,0.0,0.508,0.5589999999999999
24,0.0,0.508,0.5589999999999999
25,0.0,0.508,0.5589999999999999
26,0.0,0.508,0.5589999999999999
27,0.0,0.508,0.5589999999999999
28,0.0,0.508,0.56
29,0.0,0.508,0.56
30,0.0,0.508,0.56
31,0.0,0.508,0.56
32,0.0,0.508,0.56
33,0.0,0.508,0.56
34,0.0,0.508,0.56
35,0.0,0.508,0.56
36,0.0,0.509,0.561
37,0.0,0.509,0.561
38,0.0,0.509,0.561
39,0.0,0.509,0.561
40,0.0,0.509,0.561
41,0.0,0.509,0.561
42,0.041,0.509,0.561
43,0.041,0.509,0.561
44,0.041,0.509,0.561
45,0.041,0.509,0.561
46,0.041,0.509,0.561
47,0.041,0.509,0.561
48,0.083,0.509,0.561
49,0.083,0.509,0.561
50,0.083,0.509,0.561
51,0.083,0.509,0.561
52,0.124,0.509,0.561
53,0.124,0.509,0.561
54,0.124,0.509,0.561
55,0.124,0.509,0.561
56,0.16399999999999998,0.509,0.561
57,0.16399999999999998,0.509,0.561
58,0.16399999999999998,0.509,0.561
59,0.16399999999999998,0.509,0.561
60,0.16399999999999998,0.509,0.561
61,0.16399999999999998,0.509,0.561
62,0.204,0.509,0.561
63,0.204,0.509,0.561
64,0.204,0.508,0.56
65,0.204,0.508,0.56
66,0.245,0.508,0.56
67,0.245,0.508,0.56
68,0.245,0.508,0.56
69,0.245,0.508,0.56
70,0.245,0.508,0.56
71,0.245,0.508,0.56
72,0.28600000000000003,0.508,0.5589999999999999
73,0.28600000000000003,0.508,0.5589999999999999
74,0.28600000000000003,0.508,0.5589999999999999
75,0.28600000000000003,0.508,0.5589999999999999
76,0.326,0.508,0.5579999999999999
77,0.326,0.508,0.5579999999999999
78,0.326,0.508,0.5579999999999999
79,0.326,0.508,0.5579999999999999
80,0.326,0.508,0.5579999999999999
81,0.326,0.508,0.5579999999999999
82,0.3670000000000001,0.507,0.557
83,0.3670000000000001,0.507,0.557
84,0.3670000000000001,0.506,0.557
85,0.3670000000000001,0.506,0.557
86,0.407,0.504,0.556
87,0.407,0.504,0.556
88,0.407,0.503,0.556
89,0.407,0.503,0.556
90,0.447,0.503,0.556
91,0.447,0.503,0.556
92,0.447,0.501,0.555
93,0.447,0.501,0.555
94,0.447,0.498,0.555
95,0.447,0.498,0.555
96,0.487,0.496,0.555
97,0.487,0.496,0.555
98,0.487,0.494,0.5539999999999999
99,0.487,0.494,0.5539999999999999
100,0.528,0.494,0.5539999999999999
101,0.528,0.494,0.5539999999999999
102,0.528,0.491,0.5529999999999999
103,0.528,0.491,0.5529999999999999
104,0.528,0.488,0.551
105,0.528,0.488,0.551
106,0.569,0.486,0.5489999999999999
107,0.569,0.486,0.5489999999999999
108,0.569,0.483,0.5479999999999999
109,0.569,0.483,0.5479999999999999
110,0.609,0.483,0.5479999999999999
111,0.609,0.483,0.5479999999999999
112,0.609,0.481,0.546
113,0.609,0.481,0.546
114,0.609,0.478,0.5429999999999999
115,0.609,0.478,0.5429999999999999
116,0.649,0.475,0.541
117,0.649,0.475,0.541
118,0.649,0.475,0.541
119,0.649,0.475,0.541
120,0.69,0.471,0.539
121,0.69,0.471,0.539
122,0.69,0.468,0.537
123,0.69,0.468,0.537
124,0.731,0.467,0.536
125,0.731,0.467,0.536
126,0.731,0.463,0.534
127,0.731,0.463,0.534
128,0.731,0.463,0.534
129,0.731,0.463,0.534
130,0.772,0.459,0.531
131,0.772,0.459,0.531
132,0.772,0.455,0.529
133,0.772,0.455,0.529
134,0.8109999999999999,0.451,0.526
135,0.8109999999999999,0.451,0.526
136,0.8109999999999999,0.446,0.523
137,0.8109999999999999,0.446,0.523
138,0.8109999999999999,0.446,0.523
139,0.8109999999999999,0.446,0.523
140,0.852,0.442,0.52
141,0.852,0.442,0.52
142,0.852,0.438,0.517
143,0.852,0.438,0.517
144,0.893,0.434,0.515
145,0.893,0.434,0.515
146,0.893,0.43,0.511
147,0.893,0.43,0.511
148,0.893,0.4270000000000001,0.508
149,0.893,0.4270000000000001,0.508
150,0.933,0.4270000000000001,0.508
151,0.933,0.4270000000000001,0.508
152,0.933,0.423,0.505
