,time,2dmu,2dmv
0,0.0,0.51,0.465
1,0.0,0.51,0.465
2,0.0,0.51,0.466
3,0.0,0.51,0.466
4,0.0,0.51,0.466
5,0.0,0.51,0.466
6,0.0,0.51,0.466
7,0.0,0.51,0.466
8,0.0,0.51,0.466
9,0.0,0.51,0.466
10,0.0,0.51,0.466
11,0.0,0.51,0.466
12,0.0,0.51,0.466
13,0.0,0.51,0.466
14,0.0,0.51,0.466
15,0.0,0.51,0.466
16,0.0,0.51,0.466
17,0.0,0.51,0.466
18,0.0,0.51,0.466
19,0.0,0.51,0.466
20,0.0,0.51,0.466
21,0.0,0.51,0.466
22,0.0,0.51,0.466
23,0.0,0.51,0.466
24,0.0,0.51,0.467
25,0.0,0.51,0.467
26,0.0,0.509,0.467
27,0.0,0.509,0.467
28,0.0,0.509,0.467
29,0.0,0.509,0.467
30,0.0,0.509,0.467
31,0.0,0.509,0.467
32,0.0,0.509,0.467
33,0.0,0.509,0.467
34,0.0,0.509,0.467
35,0.0,0.509,0.467
36,0.0,0.509,0.467
37,0.0,0.509,0.467
38,0.0,0.509,0.467
39,0.0,0.509,0.467
40,0.0,0.509,0.467
41,0.0,0.509,0.467
42,0.0,0.509,0.467
43,0.0,0.509,0.467
44,0.0,0.509,0.467
45,0.0,0.509,0.467
46,0.0,0.509,0.467
47,0.0,0.509,0.467
48,0.0,0.509,0.466
49,0.0,0.509,0.466
50,0.0,0.509,0.466
51,0.0,0.509,0.466
52,0.0,0.509,0.466
53,0.0,0.509,0.466
54,0.0,0.509,0.466
55,0.0,0.509,0.466
56,0.019,0.509,0.466
57,0.019,0.509,0.466
58,0.019,0.509,0.466
59,0.019,0.509,0.466
60,0.019,0.508,0.466
61,0.019,0.508,0.466
62,0.059,0.508,0.465
63,0.059,0.508,0.465
64,0.059,0.508,0.465
65,0.059,0.508,0.465
66,0.1,0.508,0.465
67,0.1,0.508,0.465
68,0.1,0.508,0.465
69,0.1,0.508,0.465
70,0.1,0.507,0.464
71,0.1,0.507,0.464
72,0.141,0.506,0.463
73,0.141,0.506,0.463
74,0.141,0.504,0.461
75,0.141,0.504,0.461
76,0.181,0.501,0.46
77,0.181,0.501,0.46
78,0.181,0.501,0.46
79,0.181,0.501,0.46
80,0.22,0.501,0.46
81,0.22,0.501,0.46
82,0.22,0.498,0.459
83,0.22,0.498,0.459
84,0.22,0.495,0.457
85,0.22,0.495,0.457
86,0.261,0.491,0.455
87,0.261,0.491,0.455
88,0.261,0.491,0.455
89,0.261,0.491,0.455
90,0.301,0.488,0.454
91,0.301,0.488,0.454
92,0.301,0.484,0.453
93,0.301,0.484,0.453
94,0.301,0.481,0.452
95,0.301,0.481,0.452
96,0.342,0.477,0.45
