,time,2dmu,2dmv
0,0.0,0.528,0.514
1,0.0,0.528,0.514
2,0.0,0.528,0.514
3,0.0,0.528,0.514
4,0.0,0.528,0.514
5,0.0,0.528,0.514
6,0.0,0.528,0.514
7,0.0,0.528,0.514
8,0.0,0.529,0.513
9,0.0,0.529,0.513
10,0.0,0.529,0.513
11,0.0,0.529,0.513
12,0.0,0.529,0.513
13,0.0,0.529,0.513
14,0.0,0.53,0.511
15,0.0,0.53,0.511
16,0.0,0.53,0.511
17,0.0,0.53,0.511
18,0.0,0.53,0.509
19,0.0,0.53,0.509
20,0.0,0.53,0.509
21,0.0,0.53,0.509
22,0.0,0.53,0.509
23,0.0,0.53,0.509
24,0.0,0.53,0.507
25,0.0,0.53,0.507
26,0.0,0.529,0.506
27,0.0,0.529,0.506
28,0.0,0.529,0.506
29,0.0,0.529,0.506
30,0.0,0.529,0.506
31,0.0,0.529,0.506
32,0.0,0.528,0.505
33,0.0,0.528,0.505
34,0.0,0.528,0.505
35,0.0,0.528,0.505
36,0.0,0.526,0.505
37,0.0,0.526,0.505
38,0.0,0.526,0.505
39,0.0,0.526,0.505
40,0.041,0.523,0.507
41,0.041,0.523,0.507
42,0.08,0.521,0.508
43,0.08,0.521,0.508
44,0.08,0.519,0.508
45,0.08,0.519,0.508
46,0.08,0.519,0.508
47,0.08,0.519,0.508
48,0.121,0.516,0.509
49,0.121,0.516,0.509
50,0.121,0.516,0.509
51,0.121,0.516,0.509
52,0.162,0.515,0.509
53,0.162,0.515,0.509
54,0.162,0.513,0.509
55,0.162,0.513,0.509
56,0.162,0.512,0.509
57,0.162,0.512,0.509
58,0.203,0.511,0.509
59,0.203,0.511,0.509
60,0.203,0.511,0.509
61,0.203,0.511,0.509
62,0.243,0.511,0.51
63,0.243,0.511,0.51
64,0.243,0.511,0.51
65,0.243,0.511,0.51
66,0.28300000000000003,0.512,0.51
67,0.28300000000000003,0.512,0.51
68,0.28300000000000003,0.512,0.51
69,0.28300000000000003,0.512,0.51
70,0.28300000000000003,0.512,0.51
