,time,2dmu,2dmv
0,0.0,0.036000000000000004,0.5
1,0.0,0.036000000000000004,0.5
2,0.0,0.047,0.502
3,0.0,0.047,0.502
4,0.0,0.05,0.503
5,0.0,0.05,0.503
6,0.0,0.05,0.503
7,0.0,0.05,0.503
8,0.0,0.085,0.51
9,0.0,0.085,0.51
10,0.0,0.11,0.514
11,0.0,0.11,0.514
12,0.0,0.11,0.513
13,0.0,0.11,0.513
14,0.0,0.122,0.514
15,0.0,0.122,0.514
16,0.0,0.122,0.514
17,0.0,0.122,0.514
18,0.0,0.133,0.515
19,0.0,0.133,0.515
20,0.0,0.133,0.515
21,0.0,0.133,0.515
22,0.0,0.133,0.515
23,0.0,0.133,0.515
24,0.0,0.19,0.515
25,0.0,0.19,0.515
26,0.0,0.19,0.515
27,0.0,0.19,0.515
28,0.0,0.201,0.52
29,0.0,0.201,0.52
30,0.0,0.201,0.52
31,0.0,0.201,0.52
32,0.0,0.203,0.52
33,0.0,0.203,0.52
34,0.0,0.203,0.52
35,0.0,0.203,0.52
36,0.04,0.203,0.518
37,0.04,0.203,0.518
38,0.081,0.203,0.517
39,0.081,0.203,0.517
40,0.081,0.203,0.517
41,0.081,0.203,0.517
42,0.122,0.204,0.516
43,0.122,0.204,0.516
44,0.122,0.203,0.515
45,0.122,0.203,0.515
46,0.122,0.203,0.513
47,0.122,0.203,0.513
48,0.163,0.203,0.513
49,0.163,0.203,0.513
50,0.163,0.201,0.51
51,0.163,0.201,0.51
52,0.203,0.199,0.506
53,0.203,0.199,0.506
54,0.203,0.198,0.502
55,0.203,0.198,0.502
56,0.203,0.196,0.498
57,0.203,0.196,0.498
58,0.244,0.196,0.498
59,0.244,0.196,0.498
60,0.244,0.194,0.494
61,0.244,0.194,0.494
62,0.284,0.193,0.488
63,0.284,0.193,0.488
64,0.284,0.192,0.484
65,0.284,0.192,0.484
66,0.284,0.192,0.484
67,0.284,0.192,0.484
68,0.325,0.192,0.481
69,0.325,0.192,0.481
70,0.325,0.192,0.478
71,0.325,0.192,0.478
72,0.366,0.192,0.479
73,0.366,0.192,0.479
74,0.366,0.193,0.477
75,0.366,0.193,0.477
76,0.366,0.193,0.477
77,0.366,0.193,0.477
78,0.407,0.194,0.476
79,0.407,0.194,0.476
80,0.407,0.196,0.475
81,0.407,0.196,0.475
82,0.448,0.197,0.474
83,0.448,0.197,0.474
84,0.448,0.199,0.472
85,0.448,0.199,0.472
86,0.488,0.199,0.472
87,0.488,0.199,0.472
88,0.488,0.201,0.47
89,0.488,0.201,0.47
90,0.488,0.202,0.466
91,0.488,0.202,0.466
92,0.529,0.204,0.461
93,0.529,0.204,0.461
94,0.529,0.205,0.454
95,0.529,0.205,0.454
96,0.57,0.205,0.454
97,0.57,0.205,0.454
98,0.57,0.206,0.447
99,0.57,0.206,0.447
100,0.57,0.208,0.442
101,0.57,0.208,0.442
102,0.611,0.209,0.436
103,0.611,0.209,0.436
104,0.611,0.211,0.429
105,0.611,0.211,0.429
106,0.652,0.211,0.429
107,0.652,0.211,0.429
108,0.652,0.213,0.422
109,0.652,0.213,0.422
110,0.652,0.21600000000000005,0.417
111,0.652,0.21600000000000005,0.417
112,0.691,0.218,0.414
113,0.691,0.218,0.414
114,0.691,0.218,0.414
115,0.691,0.218,0.414
116,0.731,0.221,0.411
117,0.731,0.221,0.411
118,0.731,0.224,0.408
119,0.731,0.224,0.408
120,0.7709999999999999,0.224,0.408
121,0.7709999999999999,0.224,0.408
122,0.7709999999999999,0.224,0.408
123,0.7709999999999999,0.224,0.408
124,0.7709999999999999,0.227,0.404
125,0.7709999999999999,0.227,0.404
126,0.8109999999999999,0.23,0.399
127,0.8109999999999999,0.23,0.399
128,0.8109999999999999,0.233,0.394
129,0.8109999999999999,0.233,0.394
130,0.852,0.236,0.39
131,0.852,0.236,0.39
132,0.852,0.236,0.39
133,0.852,0.236,0.39
134,0.852,0.239,0.386
135,0.852,0.239,0.386
136,0.892,0.242,0.383
137,0.892,0.242,0.383
138,0.892,0.244,0.381
139,0.892,0.244,0.381
140,0.931,0.244,0.381
141,0.931,0.244,0.381
142,0.931,0.247,0.379
143,0.931,0.247,0.379
144,0.972,0.249,0.378
145,0.972,0.249,0.378
146,0.972,0.252,0.378
147,0.972,0.252,0.378
148,0.972,0.255,0.379
149,0.972,0.255,0.379
150,1.012,0.255,0.379
151,1.012,0.255,0.379
152,1.012,0.258,0.38
153,1.012,0.258,0.38
154,1.053,0.262,0.381
155,1.053,0.262,0.381
156,1.053,0.265,0.382
157,1.053,0.265,0.382
158,1.053,0.269,0.383
159,1.053,0.269,0.383
160,1.094,0.269,0.383
161,1.094,0.269,0.383
162,1.094,0.273,0.384
163,1.094,0.273,0.384
164,1.134,0.278,0.385
165,1.134,0.278,0.385
166,1.134,0.28300000000000003,0.386
167,1.134,0.28300000000000003,0.386
168,1.134,0.28800000000000003,0.387
169,1.134,0.28800000000000003,0.387
170,1.173,0.28800000000000003,0.387
171,1.173,0.28800000000000003,0.387
172,1.173,0.293,0.388
173,1.173,0.293,0.388
174,1.213,0.298,0.389
175,1.213,0.298,0.389
176,1.213,0.303,0.39
177,1.213,0.303,0.39
178,1.254,0.303,0.39
179,1.254,0.303,0.39
180,1.254,0.308,0.39
181,1.254,0.308,0.39
182,1.254,0.312,0.39
183,1.254,0.312,0.39
184,1.295,0.311,0.39
185,1.295,0.311,0.39
186,1.295,0.311,0.39
187,1.295,0.311,0.39
188,1.335,0.315,0.39
189,1.335,0.315,0.39
190,1.335,0.318,0.391
191,1.335,0.318,0.391
192,1.335,0.321,0.391
193,1.335,0.321,0.391
194,1.376,0.32299999999999995,0.392
195,1.376,0.32299999999999995,0.392
196,1.376,0.32299999999999995,0.392
197,1.376,0.32299999999999995,0.392
198,1.415,0.325,0.393
199,1.415,0.325,0.393
200,1.415,0.327,0.394
