,time,2dmu,2dmv
0,0.0,0.496,0.482
1,0.0,0.496,0.482
2,0.0,0.496,0.482
3,0.0,0.496,0.482
4,0.0,0.496,0.482
5,0.0,0.496,0.482
6,0.0,0.495,0.482
7,0.0,0.495,0.482
8,0.0,0.495,0.482
9,0.0,0.495,0.482
10,0.0,0.495,0.482
11,0.0,0.495,0.482
12,0.0,0.496,0.482
13,0.0,0.496,0.482
14,0.0,0.496,0.482
15,0.0,0.496,0.482
16,0.0,0.496,0.482
17,0.0,0.496,0.482
18,0.0,0.496,0.482
19,0.0,0.496,0.482
20,0.0,0.496,0.482
21,0.0,0.496,0.482
22,0.0,0.496,0.482
23,0.0,0.496,0.482
24,0.0,0.496,0.482
25,0.0,0.496,0.482
26,0.0,0.496,0.482
27,0.0,0.496,0.482
28,0.0,0.496,0.482
29,0.0,0.496,0.482
30,0.0,0.496,0.482
31,0.0,0.496,0.482
32,0.0,0.495,0.482
33,0.0,0.495,0.482
34,0.0,0.495,0.482
35,0.0,0.495,0.482
36,0.0,0.495,0.482
37,0.0,0.495,0.482
38,0.0,0.495,0.482
39,0.0,0.495,0.482
40,0.0,0.495,0.482
41,0.0,0.495,0.482
42,0.0,0.495,0.482
43,0.0,0.495,0.482
44,0.0,0.495,0.482
45,0.0,0.495,0.482
46,0.013,0.495,0.481
47,0.013,0.495,0.481
48,0.013,0.495,0.481
49,0.013,0.495,0.481
50,0.013,0.495,0.481
51,0.013,0.495,0.481
52,0.054000000000000006,0.495,0.481
53,0.054000000000000006,0.495,0.481
54,0.054000000000000006,0.495,0.481
55,0.054000000000000006,0.495,0.481
56,0.095,0.495,0.481
57,0.095,0.495,0.481
58,0.095,0.495,0.481
59,0.095,0.495,0.481
60,0.136,0.495,0.481
61,0.136,0.495,0.481
62,0.136,0.495,0.481
63,0.136,0.495,0.481
64,0.136,0.495,0.481
65,0.136,0.495,0.481
66,0.177,0.495,0.481
67,0.177,0.495,0.481
68,0.177,0.495,0.481
69,0.177,0.495,0.481
70,0.217,0.495,0.481
71,0.217,0.495,0.481
72,0.217,0.495,0.481
73,0.217,0.495,0.481
74,0.217,0.495,0.481
75,0.217,0.495,0.481
76,0.258,0.495,0.481
77,0.258,0.495,0.481
78,0.258,0.495,0.481
79,0.258,0.495,0.481
80,0.298,0.495,0.481
81,0.298,0.495,0.481
82,0.298,0.494,0.481
83,0.298,0.494,0.481
84,0.298,0.493,0.48
85,0.298,0.493,0.48
86,0.339,0.493,0.48
87,0.339,0.493,0.48
88,0.339,0.4920000000000001,0.48
89,0.339,0.4920000000000001,0.48
90,0.379,0.491,0.479
91,0.379,0.491,0.479
92,0.379,0.489,0.479
93,0.379,0.489,0.479
94,0.418,0.488,0.478
95,0.418,0.488,0.478
96,0.418,0.486,0.477
97,0.418,0.486,0.477
98,0.418,0.486,0.477
99,0.418,0.486,0.477
100,0.459,0.484,0.475
101,0.459,0.484,0.475
102,0.459,0.483,0.473
103,0.459,0.483,0.473
104,0.5,0.48,0.471
