,time,2dmu,2dmv
0,0.0,0.502,0.487
1,0.0,0.502,0.487
2,0.0,0.502,0.487
3,0.0,0.502,0.487
4,0.0,0.502,0.488
5,0.0,0.502,0.488
6,0.0,0.502,0.488
7,0.0,0.502,0.488
8,0.0,0.501,0.488
9,0.0,0.501,0.488
10,0.0,0.501,0.487
11,0.0,0.501,0.487
12,0.0,0.501,0.487
13,0.0,0.501,0.487
14,0.0,0.501,0.487
15,0.0,0.501,0.487
16,0.0,0.501,0.487
17,0.0,0.501,0.487
18,0.0,0.501,0.488
19,0.0,0.501,0.488
20,0.0,0.501,0.488
21,0.0,0.501,0.488
22,0.0,0.501,0.488
23,0.0,0.501,0.488
24,0.0,0.501,0.488
25,0.0,0.501,0.488
26,0.0,0.5,0.487
27,0.0,0.5,0.487
28,0.0,0.5,0.487
29,0.0,0.5,0.487
30,0.0,0.501,0.486
31,0.0,0.501,0.486
32,0.0,0.501,0.486
33,0.0,0.501,0.486
34,0.0,0.501,0.485
35,0.0,0.501,0.485
36,0.0,0.501,0.485
37,0.0,0.501,0.485
38,0.0,0.502,0.485
39,0.0,0.502,0.485
40,0.0,0.502,0.485
41,0.0,0.502,0.485
42,0.0,0.502,0.485
43,0.0,0.502,0.485
44,0.0,0.502,0.485
45,0.0,0.502,0.485
46,0.0,0.502,0.484
47,0.0,0.502,0.484
48,0.0,0.502,0.484
49,0.0,0.502,0.484
50,0.0,0.502,0.484
51,0.0,0.502,0.484
52,0.0,0.502,0.484
53,0.0,0.502,0.484
54,0.0,0.502,0.483
55,0.0,0.502,0.483
56,0.019,0.502,0.483
57,0.019,0.502,0.483
58,0.019,0.502,0.483
59,0.019,0.502,0.483
60,0.06,0.502,0.483
61,0.06,0.502,0.483
62,0.06,0.502,0.482
63,0.06,0.502,0.482
64,0.06,0.502,0.482
65,0.06,0.502,0.482
66,0.1,0.502,0.481
67,0.1,0.502,0.481
68,0.1,0.502,0.481
69,0.1,0.502,0.481
70,0.141,0.502,0.479
71,0.141,0.502,0.479
72,0.141,0.503,0.478
73,0.141,0.503,0.478
74,0.181,0.503,0.476
75,0.181,0.503,0.476
76,0.181,0.503,0.475
77,0.181,0.503,0.475
78,0.181,0.503,0.475
79,0.181,0.503,0.475
80,0.221,0.503,0.474
81,0.221,0.503,0.474
82,0.221,0.503,0.473
83,0.221,0.503,0.473
84,0.262,0.503,0.472
85,0.262,0.503,0.472
86,0.262,0.503,0.471
87,0.262,0.503,0.471
88,0.262,0.502,0.469
89,0.262,0.502,0.469
90,0.302,0.502,0.469
91,0.302,0.502,0.469
92,0.302,0.502,0.468
93,0.302,0.502,0.468
94,0.342,0.502,0.465
95,0.342,0.502,0.465
96,0.342,0.502,0.462
97,0.342,0.502,0.462
98,0.382,0.502,0.462
99,0.382,0.502,0.462
100,0.382,0.502,0.46
