,time,2dmu,2dmv
0,0.0,0.741,0.514
1,0.0,0.741,0.514
2,0.0,0.741,0.514
3,0.0,0.741,0.514
4,0.0,0.741,0.514
5,0.0,0.741,0.514
6,0.0,0.741,0.514
7,0.0,0.741,0.514
8,0.0,0.741,0.514
9,0.0,0.741,0.514
10,0.0,0.741,0.514
11,0.0,0.741,0.514
12,0.0,0.741,0.514
13,0.0,0.741,0.514
14,0.0,0.741,0.514
15,0.0,0.741,0.514
16,0.0,0.741,0.514
17,0.0,0.741,0.514
18,0.0,0.741,0.514
19,0.0,0.741,0.514
20,0.0,0.741,0.514
21,0.0,0.741,0.514
22,0.0,0.741,0.514
23,0.0,0.741,0.514
24,0.0,0.741,0.514
25,0.0,0.741,0.514
26,0.0,0.741,0.514
27,0.0,0.741,0.514
28,0.0,0.741,0.514
29,0.0,0.741,0.514
30,0.0,0.741,0.514
31,0.0,0.741,0.514
32,0.0,0.741,0.514
33,0.0,0.741,0.514
34,0.0,0.741,0.514
35,0.0,0.741,0.514
36,0.0,0.741,0.514
37,0.0,0.741,0.514
38,0.0,0.741,0.514
39,0.0,0.741,0.514
40,0.0,0.741,0.514
41,0.0,0.741,0.514
42,0.0,0.741,0.514
43,0.0,0.741,0.514
44,0.0,0.741,0.514
45,0.0,0.741,0.514
46,0.0,0.741,0.514
47,0.0,0.741,0.514
48,0.0,0.741,0.514
49,0.0,0.741,0.514
50,0.0,0.741,0.514
51,0.0,0.741,0.514
52,0.0,0.741,0.514
53,0.0,0.741,0.514
54,0.024,0.741,0.514
55,0.024,0.741,0.514
56,0.024,0.741,0.514
57,0.024,0.741,0.514
58,0.024,0.741,0.514
59,0.024,0.741,0.514
60,0.064,0.741,0.514
61,0.064,0.741,0.514
62,0.064,0.741,0.514
63,0.064,0.741,0.514
64,0.106,0.741,0.514
65,0.106,0.741,0.514
66,0.106,0.741,0.514
67,0.106,0.741,0.514
68,0.106,0.741,0.514
69,0.106,0.741,0.514
70,0.146,0.741,0.514
71,0.146,0.741,0.514
72,0.146,0.741,0.514
73,0.146,0.741,0.514
74,0.187,0.741,0.514
75,0.187,0.741,0.514
76,0.187,0.741,0.514
77,0.187,0.741,0.514
78,0.227,0.741,0.514
79,0.227,0.741,0.514
80,0.227,0.741,0.514
81,0.227,0.741,0.514
82,0.227,0.741,0.514
83,0.227,0.741,0.514
84,0.267,0.741,0.514
85,0.267,0.741,0.514
86,0.267,0.741,0.514
87,0.267,0.741,0.514
88,0.307,0.741,0.514
89,0.307,0.741,0.514
90,0.307,0.741,0.514
91,0.307,0.741,0.514
92,0.307,0.741,0.514
93,0.307,0.741,0.514
94,0.34700000000000003,0.741,0.514
95,0.34700000000000003,0.741,0.514
96,0.34700000000000003,0.741,0.514
97,0.34700000000000003,0.741,0.514
98,0.387,0.741,0.514
99,0.387,0.741,0.514
100,0.387,0.741,0.514
101,0.387,0.741,0.514
102,0.387,0.741,0.514
103,0.387,0.741,0.514
104,0.428,0.741,0.514
105,0.428,0.741,0.514
106,0.428,0.741,0.514
107,0.428,0.741,0.514
108,0.469,0.741,0.514
109,0.469,0.741,0.514
110,0.469,0.741,0.514
111,0.469,0.741,0.514
112,0.508,0.741,0.514
113,0.508,0.741,0.514
114,0.508,0.741,0.514
115,0.508,0.741,0.514
116,0.508,0.741,0.514
117,0.508,0.741,0.514
118,0.5479999999999999,0.741,0.514
119,0.5479999999999999,0.741,0.514
120,0.5479999999999999,0.741,0.514
121,0.5479999999999999,0.741,0.514
122,0.588,0.741,0.514
123,0.588,0.741,0.514
124,0.588,0.741,0.514
125,0.588,0.741,0.514
126,0.588,0.741,0.514
127,0.588,0.741,0.514
128,0.629,0.741,0.514
129,0.629,0.741,0.514
130,0.629,0.741,0.514
131,0.629,0.741,0.514
132,0.67,0.741,0.514
133,0.67,0.741,0.514
134,0.67,0.741,0.514
135,0.67,0.741,0.514
136,0.71,0.741,0.514
137,0.71,0.741,0.514
138,0.71,0.741,0.514
139,0.71,0.741,0.514
140,0.71,0.741,0.514
141,0.71,0.741,0.514
142,0.7509999999999999,0.741,0.514
143,0.7509999999999999,0.741,0.514
144,0.7509999999999999,0.741,0.514
145,0.7509999999999999,0.741,0.514
146,0.7909999999999999,0.741,0.514
147,0.7909999999999999,0.741,0.514
148,0.7909999999999999,0.741,0.514
149,0.7909999999999999,0.741,0.514
150,0.7909999999999999,0.741,0.514
151,0.7909999999999999,0.741,0.514
152,0.831,0.741,0.514
153,0.831,0.741,0.514
154,0.831,0.741,0.514
155,0.831,0.741,0.514
156,0.872,0.741,0.514
157,0.872,0.741,0.514
158,0.872,0.741,0.514
159,0.872,0.741,0.514
160,0.872,0.741,0.514
161,0.872,0.741,0.514
162,0.912,0.741,0.514
163,0.912,0.741,0.514
164,0.912,0.741,0.514
165,0.912,0.741,0.514
166,0.952,0.741,0.514
167,0.952,0.741,0.514
168,0.952,0.741,0.514
169,0.952,0.741,0.514
170,0.992,0.741,0.514
171,0.992,0.741,0.514
172,0.992,0.741,0.514
173,0.992,0.741,0.514
174,0.992,0.741,0.514
175,0.992,0.741,0.514
176,1.032,0.741,0.514
177,1.032,0.741,0.514
178,1.032,0.741,0.514
179,1.032,0.741,0.514
180,1.073,0.741,0.514
181,1.073,0.741,0.514
182,1.073,0.741,0.514
183,1.073,0.741,0.514
184,1.073,0.741,0.514
185,1.073,0.741,0.514
186,1.114,0.741,0.514
187,1.114,0.741,0.514
188,1.114,0.741,0.514
189,1.114,0.741,0.514
190,1.154,0.741,0.514
191,1.154,0.741,0.514
192,1.154,0.741,0.514
193,1.154,0.741,0.514
194,1.154,0.741,0.514
195,1.154,0.741,0.514
196,1.194,0.741,0.514
197,1.194,0.741,0.514
198,1.194,0.741,0.514
199,1.194,0.741,0.514
200,1.236,0.741,0.514
201,1.236,0.741,0.514
202,1.236,0.741,0.514
203,1.236,0.741,0.514
204,1.276,0.741,0.514
205,1.276,0.741,0.514
206,1.276,0.741,0.514
207,1.276,0.741,0.514
208,1.276,0.741,0.514
209,1.276,0.741,0.514
210,1.3159999999999998,0.741,0.514
211,1.3159999999999998,0.741,0.514
212,1.3159999999999998,0.741,0.514
213,1.3159999999999998,0.741,0.514
214,1.357,0.741,0.514
215,1.357,0.741,0.514
216,1.357,0.741,0.514
217,1.357,0.741,0.514
218,1.357,0.741,0.514
219,1.357,0.741,0.514
220,1.3969999999999998,0.741,0.514
221,1.3969999999999998,0.741,0.514
222,1.3969999999999998,0.741,0.514
223,1.3969999999999998,0.741,0.514
224,1.4369999999999998,0.741,0.514
225,1.4369999999999998,0.741,0.514
226,1.4369999999999998,0.741,0.514
227,1.4369999999999998,0.741,0.514
228,1.4369999999999998,0.741,0.514
229,1.4369999999999998,0.741,0.514
230,1.477,0.741,0.514
231,1.477,0.741,0.514
232,1.477,0.741,0.514
233,1.477,0.741,0.514
234,1.518,0.741,0.514
235,1.518,0.741,0.514
236,1.518,0.741,0.514
237,1.518,0.741,0.514
238,1.558,0.741,0.514
239,1.558,0.741,0.514
240,1.558,0.741,0.514
241,1.558,0.741,0.514
242,1.558,0.741,0.514
243,1.558,0.741,0.514
244,1.598,0.741,0.514
245,1.598,0.741,0.514
246,1.598,0.741,0.514
247,1.598,0.741,0.514
248,1.638,0.741,0.514
249,1.638,0.741,0.514
250,1.638,0.741,0.514
251,1.638,0.741,0.514
252,1.638,0.741,0.514
253,1.638,0.741,0.514
254,1.6780000000000002,0.741,0.514
255,1.6780000000000002,0.741,0.514
256,1.6780000000000002,0.741,0.514
257,1.6780000000000002,0.741,0.514
258,1.719,0.741,0.514
259,1.719,0.741,0.514
260,1.719,0.741,0.514
261,1.719,0.741,0.514
262,1.76,0.741,0.514
263,1.76,0.741,0.514
264,1.76,0.741,0.514
265,1.76,0.741,0.514
266,1.76,0.741,0.514
267,1.76,0.741,0.514
268,1.8,0.741,0.514
269,1.8,0.741,0.514
270,1.8,0.741,0.514
271,1.8,0.741,0.514
272,1.84,0.741,0.514
273,1.84,0.741,0.514
274,1.84,0.741,0.514
275,1.84,0.741,0.514
276,1.84,0.741,0.514
277,1.88,0.741,0.514
278,1.84,0.741,0.514
279,1.88,0.741,0.514
280,1.88,0.741,0.514
281,1.88,0.741,0.514
282,1.922,0.741,0.514
283,1.922,0.741,0.514
284,1.922,0.741,0.514
285,1.922,0.741,0.514
286,1.922,0.741,0.514
287,1.922,0.741,0.514
288,1.962,0.741,0.514
289,1.962,0.741,0.514
290,1.962,0.741,0.514
291,1.962,0.741,0.514
292,2.003,0.741,0.514
293,2.003,0.741,0.514
294,2.003,0.741,0.514
295,2.003,0.741,0.514
296,2.042,0.741,0.514
297,2.042,0.741,0.514
298,2.042,0.741,0.514
299,2.042,0.741,0.514
300,2.042,0.741,0.514
301,2.042,0.741,0.514
302,2.083,0.741,0.514
303,2.083,0.741,0.514
304,2.083,0.741,0.514
305,2.083,0.741,0.514
306,2.124,0.741,0.514
307,2.124,0.741,0.514
308,2.124,0.741,0.514
309,2.124,0.741,0.514
310,2.124,0.741,0.514
311,2.124,0.741,0.514
312,2.164,0.741,0.514
313,2.164,0.741,0.514
314,2.164,0.741,0.514
315,2.164,0.741,0.514
316,2.204,0.741,0.514
317,2.204,0.741,0.514
318,2.204,0.741,0.514
319,2.204,0.741,0.514
320,2.204,0.741,0.514
321,2.204,0.741,0.514
322,2.245,0.741,0.514
323,2.245,0.741,0.514
324,2.245,0.741,0.514
325,2.245,0.741,0.514
326,2.286,0.741,0.514
327,2.286,0.741,0.514
328,2.286,0.741,0.514
329,2.286,0.741,0.514
330,2.326,0.741,0.514
