,time,2dmu,2dmv
0,0.0,0.495,0.547
1,0.0,0.495,0.547
2,0.0,0.495,0.547
3,0.0,0.495,0.547
4,0.0,0.495,0.547
5,0.0,0.495,0.547
6,0.0,0.495,0.547
7,0.0,0.495,0.547
8,0.0,0.495,0.547
9,0.0,0.495,0.547
10,0.0,0.495,0.547
11,0.0,0.495,0.547
12,0.0,0.495,0.547
13,0.0,0.495,0.547
14,0.0,0.495,0.547
15,0.0,0.495,0.547
16,0.0,0.495,0.547
17,0.0,0.495,0.547
18,0.0,0.495,0.547
19,0.0,0.495,0.547
20,0.0,0.495,0.547
21,0.0,0.495,0.547
22,0.0,0.495,0.547
23,0.0,0.495,0.547
24,0.0,0.495,0.547
25,0.0,0.495,0.547
26,0.0,0.495,0.547
27,0.0,0.495,0.547
28,0.0,0.495,0.547
29,0.0,0.495,0.547
30,0.0,0.495,0.547
31,0.0,0.495,0.547
32,0.0,0.495,0.547
33,0.0,0.495,0.547
34,0.0,0.495,0.547
35,0.0,0.495,0.547
36,0.0,0.495,0.547
37,0.0,0.495,0.547
38,0.0,0.495,0.547
39,0.0,0.495,0.547
40,0.0,0.495,0.547
41,0.0,0.495,0.547
42,0.0,0.495,0.547
43,0.0,0.495,0.547
44,0.0,0.495,0.547
45,0.0,0.495,0.547
46,0.017,0.495,0.547
47,0.017,0.495,0.547
48,0.017,0.495,0.547
49,0.017,0.495,0.547
50,0.017,0.495,0.547
51,0.017,0.495,0.547
52,0.057,0.495,0.547
53,0.057,0.495,0.547
54,0.057,0.495,0.547
55,0.057,0.495,0.547
56,0.097,0.495,0.547
57,0.097,0.495,0.547
58,0.097,0.495,0.547
59,0.097,0.495,0.547
60,0.097,0.495,0.547
61,0.097,0.495,0.547
62,0.138,0.495,0.547
63,0.138,0.495,0.547
64,0.138,0.495,0.547
65,0.138,0.495,0.547
66,0.17800000000000002,0.495,0.547
67,0.17800000000000002,0.495,0.547
68,0.17800000000000002,0.495,0.547
69,0.17800000000000002,0.495,0.547
70,0.219,0.495,0.547
71,0.219,0.495,0.547
72,0.219,0.495,0.547
73,0.219,0.495,0.547
74,0.219,0.495,0.547
75,0.219,0.495,0.547
76,0.259,0.495,0.547
77,0.259,0.495,0.547
78,0.259,0.495,0.547
79,0.259,0.495,0.547
80,0.3,0.495,0.5479999999999999
81,0.3,0.495,0.5479999999999999
82,0.3,0.495,0.5479999999999999
83,0.3,0.495,0.5479999999999999
84,0.3,0.495,0.547
85,0.3,0.495,0.547
86,0.341,0.495,0.547
87,0.341,0.495,0.547
88,0.341,0.495,0.547
89,0.341,0.495,0.547
90,0.382,0.495,0.547
91,0.382,0.495,0.547
92,0.382,0.495,0.547
93,0.382,0.495,0.547
94,0.382,0.495,0.547
95,0.382,0.495,0.547
96,0.422,0.495,0.547
97,0.422,0.495,0.547
98,0.422,0.495,0.547
99,0.422,0.495,0.547
100,0.463,0.495,0.547
101,0.463,0.495,0.547
102,0.463,0.495,0.547
103,0.463,0.495,0.547
104,0.463,0.495,0.546
105,0.463,0.495,0.546
106,0.503,0.495,0.546
107,0.503,0.495,0.546
108,0.503,0.495,0.546
109,0.503,0.495,0.546
110,0.544,0.495,0.546
111,0.544,0.495,0.546
112,0.544,0.494,0.546
113,0.544,0.494,0.546
114,0.584,0.494,0.546
115,0.584,0.494,0.546
116,0.584,0.494,0.546
117,0.584,0.494,0.546
118,0.584,0.493,0.545
119,0.584,0.493,0.545
120,0.624,0.4920000000000001,0.544
121,0.624,0.4920000000000001,0.544
122,0.624,0.491,0.544
123,0.624,0.491,0.544
