,time,2dmu,2dmv
0,0.0,0.494,0.474
1,0.0,0.494,0.474
2,0.0,0.494,0.474
3,0.0,0.494,0.474
4,0.0,0.494,0.474
5,0.0,0.494,0.474
6,0.0,0.494,0.474
7,0.0,0.494,0.474
8,0.0,0.494,0.474
9,0.0,0.494,0.474
10,0.0,0.494,0.474
11,0.0,0.494,0.474
12,0.0,0.494,0.474
13,0.0,0.494,0.474
14,0.0,0.494,0.474
15,0.0,0.494,0.474
16,0.0,0.494,0.474
17,0.0,0.494,0.474
18,0.0,0.494,0.474
19,0.0,0.494,0.474
20,0.0,0.494,0.474
21,0.0,0.494,0.474
22,0.0,0.494,0.474
23,0.0,0.494,0.474
24,0.0,0.494,0.474
25,0.0,0.494,0.474
26,0.0,0.494,0.474
27,0.0,0.494,0.474
28,0.0,0.494,0.474
29,0.0,0.494,0.474
30,0.0,0.494,0.474
31,0.0,0.494,0.474
32,0.0,0.494,0.474
33,0.0,0.494,0.474
34,0.0,0.494,0.474
35,0.0,0.494,0.474
36,0.0,0.494,0.474
37,0.0,0.494,0.474
38,0.0,0.494,0.474
39,0.0,0.494,0.474
40,0.0,0.494,0.474
41,0.0,0.494,0.474
42,0.0,0.494,0.474
43,0.0,0.494,0.474
44,0.0,0.494,0.474
45,0.0,0.494,0.474
46,0.04,0.494,0.474
47,0.04,0.494,0.474
48,0.04,0.494,0.474
49,0.04,0.494,0.474
50,0.081,0.494,0.474
51,0.081,0.494,0.474
52,0.081,0.494,0.474
53,0.081,0.494,0.474
54,0.081,0.494,0.474
55,0.081,0.494,0.474
56,0.121,0.494,0.474
57,0.121,0.494,0.474
58,0.121,0.494,0.473
59,0.121,0.494,0.473
60,0.162,0.494,0.473
61,0.162,0.494,0.473
62,0.162,0.494,0.473
63,0.162,0.494,0.473
64,0.162,0.494,0.473
65,0.162,0.494,0.473
66,0.203,0.494,0.473
67,0.203,0.494,0.473
68,0.203,0.494,0.473
69,0.203,0.494,0.473
70,0.244,0.494,0.473
71,0.244,0.494,0.473
72,0.244,0.494,0.473
73,0.244,0.494,0.473
74,0.244,0.494,0.473
75,0.244,0.494,0.473
76,0.285,0.494,0.473
77,0.285,0.494,0.473
78,0.285,0.494,0.473
79,0.285,0.494,0.473
80,0.326,0.494,0.473
81,0.326,0.494,0.473
82,0.326,0.494,0.473
83,0.326,0.494,0.473
84,0.326,0.494,0.473
85,0.326,0.494,0.473
86,0.366,0.494,0.473
87,0.366,0.494,0.473
88,0.366,0.494,0.472
89,0.366,0.494,0.472
