,time,2dmu,2dmv
0,0.0,0.479,0.491
1,0.0,0.479,0.491
2,0.0,0.479,0.491
3,0.0,0.479,0.491
4,0.0,0.479,0.49
5,0.0,0.479,0.49
6,0.0,0.479,0.49
7,0.0,0.479,0.49
8,0.0,0.479,0.49
9,0.0,0.479,0.49
10,0.0,0.479,0.49
11,0.0,0.479,0.49
12,0.0,0.479,0.49
13,0.0,0.479,0.49
14,0.0,0.479,0.489
15,0.0,0.479,0.489
16,0.0,0.479,0.489
17,0.0,0.479,0.489
18,0.0,0.479,0.489
19,0.0,0.479,0.489
20,0.0,0.479,0.489
21,0.0,0.479,0.489
22,0.0,0.479,0.489
23,0.0,0.479,0.489
24,0.0,0.479,0.489
25,0.0,0.479,0.489
26,0.0,0.478,0.488
27,0.0,0.478,0.488
28,0.0,0.478,0.488
29,0.0,0.478,0.488
30,0.0,0.478,0.488
31,0.0,0.478,0.488
32,0.0,0.478,0.487
33,0.0,0.478,0.487
34,0.0,0.478,0.487
35,0.0,0.478,0.487
36,0.0,0.478,0.486
37,0.0,0.478,0.486
38,0.0,0.478,0.486
39,0.0,0.478,0.486
40,0.0,0.478,0.486
41,0.0,0.478,0.486
42,0.0,0.478,0.486
43,0.0,0.478,0.486
44,0.0,0.478,0.486
45,0.0,0.478,0.486
46,0.0,0.478,0.486
47,0.0,0.478,0.486
48,0.02,0.478,0.486
49,0.02,0.478,0.486
50,0.02,0.478,0.486
51,0.02,0.478,0.486
52,0.06,0.478,0.486
53,0.06,0.478,0.486
54,0.06,0.478,0.486
55,0.06,0.478,0.486
56,0.101,0.478,0.486
57,0.101,0.478,0.486
58,0.101,0.478,0.486
59,0.101,0.478,0.486
60,0.101,0.478,0.486
61,0.101,0.478,0.486
62,0.141,0.478,0.486
63,0.141,0.478,0.486
64,0.141,0.478,0.486
65,0.141,0.478,0.486
66,0.181,0.478,0.486
67,0.181,0.478,0.486
68,0.181,0.478,0.486
69,0.181,0.478,0.486
70,0.222,0.479,0.486
71,0.222,0.479,0.486
72,0.222,0.479,0.486
73,0.222,0.479,0.486
74,0.222,0.479,0.486
75,0.222,0.479,0.486
76,0.263,0.481,0.487
77,0.263,0.481,0.487
78,0.263,0.483,0.488
79,0.263,0.483,0.488
80,0.303,0.485,0.488
81,0.303,0.485,0.488
82,0.303,0.489,0.489
83,0.303,0.489,0.489
84,0.303,0.489,0.489
85,0.303,0.489,0.489
86,0.343,0.494,0.489
87,0.343,0.494,0.489
88,0.343,0.5,0.489
89,0.343,0.5,0.489
90,0.383,0.507,0.489
91,0.383,0.507,0.489
92,0.383,0.514,0.488
93,0.383,0.514,0.488
94,0.424,0.514,0.488
95,0.424,0.514,0.488
96,0.424,0.522,0.489
97,0.424,0.522,0.489
98,0.424,0.529,0.49
99,0.424,0.529,0.49
100,0.463,0.537,0.4920000000000001
101,0.463,0.537,0.4920000000000001
102,0.463,0.546,0.494
