,time,2dmu,2dmv
0,0.0,0.489,0.556
1,0.0,0.489,0.556
2,0.0,0.489,0.556
3,0.0,0.489,0.556
4,0.0,0.489,0.557
5,0.0,0.489,0.557
6,0.0,0.489,0.556
7,0.0,0.489,0.556
8,0.0,0.489,0.556
9,0.0,0.489,0.556
10,0.0,0.489,0.551
11,0.0,0.489,0.551
12,0.0,0.489,0.551
13,0.0,0.489,0.551
14,0.0,0.489,0.544
15,0.0,0.489,0.544
16,0.0,0.489,0.544
17,0.0,0.489,0.544
18,0.0,0.489,0.541
19,0.0,0.489,0.541
20,0.0,0.489,0.5379999999999999
21,0.0,0.489,0.5379999999999999
22,0.0,0.489,0.5379999999999999
23,0.0,0.489,0.5379999999999999
24,0.0,0.489,0.536
25,0.0,0.489,0.536
26,0.0,0.489,0.536
27,0.0,0.489,0.536
28,0.0,0.491,0.535
29,0.0,0.491,0.535
30,0.0,0.491,0.535
31,0.0,0.491,0.535
32,0.0,0.4920000000000001,0.5329999999999999
33,0.0,0.4920000000000001,0.5329999999999999
34,0.0,0.4920000000000001,0.5329999999999999
35,0.0,0.4920000000000001,0.5329999999999999
36,0.0,0.4920000000000001,0.531
37,0.0,0.4920000000000001,0.531
38,0.041,0.4920000000000001,0.531
39,0.041,0.4920000000000001,0.531
40,0.041,0.493,0.53
41,0.041,0.493,0.53
42,0.081,0.493,0.529
43,0.081,0.493,0.529
44,0.081,0.494,0.529
45,0.081,0.494,0.529
46,0.121,0.494,0.529
47,0.121,0.494,0.529
48,0.121,0.494,0.529
49,0.121,0.494,0.529
50,0.121,0.495,0.529
51,0.121,0.495,0.529
52,0.161,0.495,0.529
53,0.161,0.495,0.529
54,0.161,0.496,0.53
55,0.161,0.496,0.53
56,0.202,0.496,0.53
57,0.202,0.496,0.53
58,0.202,0.496,0.529
59,0.202,0.496,0.529
60,0.202,0.4970000000000001,0.529
61,0.202,0.4970000000000001,0.529
62,0.243,0.498,0.528
63,0.243,0.498,0.528
64,0.243,0.498,0.527
65,0.243,0.498,0.527
66,0.285,0.499,0.527
67,0.285,0.499,0.527
68,0.285,0.499,0.527
69,0.285,0.499,0.527
70,0.285,0.5,0.525
71,0.285,0.5,0.525
72,0.324,0.501,0.523
73,0.324,0.501,0.523
74,0.324,0.501,0.522
75,0.324,0.501,0.522
76,0.365,0.502,0.522
77,0.365,0.502,0.522
78,0.365,0.503,0.52
79,0.365,0.503,0.52
80,0.365,0.504,0.519
81,0.365,0.504,0.519
82,0.405,0.505,0.517
83,0.405,0.505,0.517
84,0.405,0.508,0.515
85,0.405,0.508,0.515
86,0.445,0.508,0.516
87,0.445,0.508,0.516
88,0.445,0.51,0.516
89,0.445,0.51,0.516
90,0.486,0.511,0.516
91,0.486,0.511,0.516
92,0.486,0.513,0.516
93,0.486,0.513,0.516
94,0.486,0.513,0.516
95,0.486,0.513,0.516
96,0.526,0.514,0.517
97,0.526,0.514,0.517
98,0.526,0.515,0.518
99,0.526,0.515,0.518
100,0.5660000000000001,0.516,0.518
101,0.5660000000000001,0.516,0.518
102,0.5660000000000001,0.516,0.518
103,0.5660000000000001,0.516,0.518
104,0.5660000000000001,0.516,0.518
105,0.5660000000000001,0.516,0.518
106,0.606,0.516,0.517
107,0.606,0.516,0.517
108,0.606,0.517,0.517
109,0.606,0.517,0.517
110,0.6459999999999999,0.517,0.517
111,0.6459999999999999,0.517,0.517
112,0.6459999999999999,0.517,0.517
113,0.6459999999999999,0.517,0.517
114,0.6859999999999999,0.517,0.517
115,0.6859999999999999,0.517,0.517
116,0.6859999999999999,0.517,0.516
117,0.6859999999999999,0.517,0.516
