,time,2dmu,2dmv
0,0.0,0.509,0.522
1,0.0,0.509,0.522
2,0.0,0.509,0.522
3,0.0,0.509,0.522
4,0.0,0.509,0.522
5,0.0,0.509,0.522
6,0.0,0.509,0.522
7,0.0,0.509,0.522
8,0.0,0.51,0.522
9,0.0,0.51,0.522
10,0.0,0.51,0.522
11,0.0,0.51,0.522
12,0.0,0.51,0.522
13,0.0,0.51,0.522
14,0.0,0.51,0.522
15,0.0,0.51,0.522
16,0.0,0.51,0.522
17,0.0,0.51,0.522
18,0.0,0.51,0.522
19,0.0,0.51,0.522
20,0.0,0.51,0.522
21,0.0,0.51,0.522
22,0.0,0.51,0.522
23,0.0,0.51,0.522
24,0.0,0.51,0.522
25,0.0,0.51,0.522
26,0.0,0.51,0.522
27,0.0,0.51,0.522
28,0.0,0.51,0.522
29,0.0,0.51,0.522
30,0.0,0.51,0.522
31,0.0,0.51,0.522
32,0.0,0.51,0.522
33,0.0,0.51,0.522
34,0.0,0.51,0.522
35,0.0,0.51,0.522
36,0.0,0.51,0.522
37,0.0,0.51,0.522
38,0.0,0.51,0.522
39,0.0,0.51,0.522
40,0.0,0.51,0.522
41,0.0,0.51,0.522
42,0.0,0.51,0.522
43,0.0,0.51,0.522
44,0.0,0.51,0.522
45,0.0,0.51,0.522
46,0.0,0.51,0.523
47,0.0,0.51,0.523
48,0.0,0.51,0.523
49,0.0,0.51,0.523
50,0.0,0.509,0.523
51,0.0,0.509,0.523
52,0.0,0.509,0.523
53,0.0,0.509,0.523
54,0.041,0.509,0.523
55,0.041,0.509,0.523
56,0.041,0.509,0.523
57,0.041,0.509,0.523
58,0.081,0.51,0.523
59,0.081,0.51,0.523
60,0.081,0.51,0.523
61,0.081,0.51,0.523
62,0.121,0.51,0.523
63,0.121,0.51,0.523
64,0.121,0.51,0.523
65,0.121,0.51,0.523
66,0.121,0.51,0.523
67,0.121,0.51,0.523
68,0.161,0.51,0.524
69,0.161,0.51,0.524
70,0.161,0.51,0.524
71,0.161,0.51,0.524
72,0.202,0.51,0.524
73,0.202,0.51,0.524
74,0.202,0.51,0.524
75,0.202,0.51,0.524
76,0.202,0.51,0.524
77,0.202,0.51,0.524
78,0.242,0.51,0.524
79,0.242,0.51,0.524
80,0.242,0.51,0.523
81,0.242,0.51,0.523
82,0.28300000000000003,0.51,0.523
83,0.28300000000000003,0.51,0.523
84,0.28300000000000003,0.51,0.523
85,0.28300000000000003,0.51,0.523
86,0.28300000000000003,0.51,0.523
87,0.28300000000000003,0.51,0.523
88,0.324,0.51,0.523
89,0.324,0.51,0.523
90,0.324,0.51,0.523
91,0.324,0.51,0.523
92,0.364,0.51,0.523
93,0.364,0.51,0.523
94,0.364,0.51,0.523
95,0.364,0.51,0.523
96,0.404,0.51,0.523
97,0.404,0.51,0.523
98,0.404,0.51,0.523
99,0.404,0.51,0.523
100,0.404,0.51,0.523
101,0.404,0.51,0.523
102,0.446,0.51,0.523
103,0.446,0.51,0.523
104,0.446,0.51,0.523
105,0.446,0.51,0.523
106,0.487,0.51,0.523
107,0.487,0.51,0.523
108,0.487,0.51,0.523
109,0.487,0.51,0.523
110,0.487,0.51,0.523
111,0.487,0.51,0.523
112,0.527,0.51,0.523
113,0.527,0.51,0.523
114,0.527,0.51,0.523
115,0.527,0.51,0.523
116,0.5670000000000001,0.51,0.523
117,0.5670000000000001,0.51,0.523
118,0.5670000000000001,0.51,0.523
119,0.5670000000000001,0.51,0.523
120,0.5670000000000001,0.51,0.523
121,0.5670000000000001,0.51,0.523
122,0.608,0.51,0.522
123,0.608,0.51,0.522
124,0.608,0.51,0.522
125,0.608,0.51,0.522
126,0.649,0.51,0.522
127,0.649,0.51,0.522
128,0.649,0.51,0.523
129,0.649,0.51,0.523
130,0.649,0.51,0.523
131,0.649,0.51,0.523
132,0.69,0.51,0.523
133,0.69,0.51,0.523
134,0.69,0.51,0.523
135,0.69,0.51,0.523
136,0.732,0.51,0.523
137,0.732,0.51,0.523
138,0.732,0.51,0.523
139,0.732,0.51,0.523
140,0.772,0.51,0.523
141,0.772,0.51,0.523
142,0.772,0.51,0.523
143,0.772,0.51,0.523
144,0.772,0.51,0.523
145,0.772,0.51,0.523
146,0.812,0.51,0.523
147,0.812,0.51,0.523
148,0.812,0.51,0.523
149,0.812,0.51,0.523
150,0.852,0.51,0.523
151,0.852,0.51,0.523
152,0.852,0.51,0.523
153,0.852,0.51,0.523
154,0.852,0.51,0.523
155,0.852,0.51,0.523
156,0.892,0.51,0.523
157,0.892,0.51,0.523
158,0.892,0.51,0.523
159,0.892,0.51,0.523
160,0.933,0.51,0.523
161,0.933,0.51,0.523
162,0.933,0.51,0.523
163,0.933,0.51,0.523
164,0.933,0.51,0.523
165,0.933,0.51,0.523
166,0.974,0.51,0.523
167,0.974,0.51,0.523
168,0.974,0.51,0.523
169,0.974,0.51,0.523
170,1.014,0.51,0.523
171,1.014,0.51,0.523
172,1.014,0.51,0.523
173,1.014,0.51,0.523
174,1.014,0.51,0.523
175,1.014,0.51,0.523
176,1.056,0.51,0.523
177,1.056,0.51,0.523
178,1.056,0.51,0.523
179,1.056,0.51,0.523
180,1.096,0.51,0.523
181,1.096,0.51,0.523
182,1.096,0.51,0.523
183,1.096,0.51,0.523
184,1.136,0.51,0.524
185,1.136,0.51,0.524
186,1.136,0.51,0.524
187,1.136,0.51,0.524
188,1.136,0.51,0.525
189,1.136,0.51,0.525
190,1.176,0.509,0.527
191,1.176,0.509,0.527
192,1.176,0.509,0.5329999999999999
193,1.176,0.509,0.5329999999999999
194,1.216,0.509,0.539
195,1.216,0.509,0.539
196,1.216,0.509,0.542
197,1.216,0.509,0.542
198,1.216,0.509,0.542
199,1.216,0.509,0.542
200,1.256,0.508,0.5489999999999999
201,1.256,0.508,0.5489999999999999
202,1.256,0.508,0.555
203,1.256,0.508,0.555
204,1.297,0.507,0.56
205,1.297,0.507,0.56
206,1.297,0.507,0.5660000000000001
207,1.297,0.507,0.5660000000000001
208,1.338,0.506,0.5710000000000001
209,1.338,0.506,0.5710000000000001
210,1.338,0.506,0.5710000000000001
211,1.338,0.506,0.5710000000000001
212,1.338,0.506,0.5760000000000001
213,1.338,0.506,0.5760000000000001
214,1.378,0.505,0.58
215,1.378,0.505,0.58
216,1.378,0.505,0.585
217,1.378,0.505,0.585
218,1.419,0.505,0.591
