,time,2dmu,2dmv
0,0.0,0.517,0.49
1,0.0,0.517,0.49
2,0.0,0.517,0.49
3,0.0,0.517,0.49
4,0.0,0.517,0.49
5,0.0,0.517,0.49
6,0.0,0.517,0.49
7,0.0,0.517,0.49
8,0.0,0.517,0.49
9,0.0,0.517,0.49
10,0.0,0.517,0.49
11,0.0,0.517,0.49
12,0.0,0.517,0.49
13,0.0,0.517,0.49
14,0.0,0.517,0.49
15,0.0,0.517,0.49
16,0.0,0.517,0.49
17,0.0,0.517,0.49
18,0.0,0.517,0.491
19,0.0,0.517,0.491
20,0.0,0.517,0.491
21,0.0,0.517,0.491
22,0.0,0.517,0.491
23,0.0,0.517,0.491
24,0.0,0.517,0.491
25,0.0,0.517,0.491
26,0.0,0.517,0.491
27,0.0,0.517,0.491
28,0.0,0.517,0.491
29,0.0,0.517,0.491
30,0.0,0.517,0.491
31,0.0,0.517,0.491
32,0.0,0.518,0.49
33,0.0,0.518,0.49
34,0.0,0.518,0.49
35,0.0,0.518,0.49
36,0.0,0.518,0.49
37,0.0,0.518,0.49
38,0.0,0.518,0.49
39,0.0,0.518,0.49
40,0.0,0.518,0.49
41,0.0,0.518,0.49
42,0.0,0.518,0.49
43,0.0,0.518,0.49
44,0.0,0.518,0.49
45,0.0,0.518,0.49
46,0.0,0.518,0.489
47,0.0,0.518,0.489
48,0.016,0.518,0.489
49,0.016,0.518,0.489
50,0.016,0.518,0.489
51,0.016,0.518,0.489
52,0.056,0.518,0.489
53,0.056,0.518,0.489
54,0.056,0.517,0.489
55,0.056,0.517,0.489
56,0.096,0.517,0.488
57,0.096,0.517,0.488
58,0.096,0.517,0.488
59,0.096,0.517,0.488
60,0.096,0.517,0.488
61,0.096,0.517,0.488
62,0.13699999999999998,0.517,0.487
63,0.13699999999999998,0.517,0.487
64,0.13699999999999998,0.518,0.486
65,0.13699999999999998,0.518,0.486
66,0.17800000000000002,0.518,0.485
67,0.17800000000000002,0.518,0.485
68,0.17800000000000002,0.517,0.483
69,0.17800000000000002,0.517,0.483
70,0.17800000000000002,0.517,0.483
71,0.17800000000000002,0.517,0.483
72,0.218,0.517,0.481
73,0.218,0.517,0.481
74,0.218,0.517,0.478
75,0.218,0.517,0.478
76,0.259,0.515,0.477
77,0.259,0.515,0.477
78,0.259,0.515,0.477
79,0.259,0.515,0.477
80,0.259,0.513,0.473
81,0.259,0.513,0.473
82,0.299,0.51,0.469
83,0.299,0.51,0.469
84,0.299,0.506,0.465
85,0.299,0.506,0.465
86,0.34,0.503,0.461
87,0.34,0.503,0.461
88,0.34,0.502,0.461
89,0.34,0.502,0.461
90,0.34,0.502,0.461
91,0.34,0.502,0.461
92,0.381,0.499,0.458
93,0.381,0.499,0.458
94,0.381,0.496,0.455
95,0.381,0.496,0.455
96,0.422,0.494,0.452
97,0.422,0.494,0.452
98,0.422,0.491,0.449
99,0.422,0.491,0.449
100,0.422,0.491,0.449
101,0.422,0.491,0.449
102,0.463,0.489,0.446
103,0.463,0.489,0.446
104,0.463,0.487,0.443
105,0.463,0.487,0.443
106,0.504,0.485,0.44
107,0.504,0.485,0.44
108,0.504,0.482,0.4370000000000001
109,0.504,0.482,0.4370000000000001
110,0.544,0.482,0.4370000000000001
111,0.544,0.482,0.4370000000000001
112,0.544,0.48,0.434
113,0.544,0.48,0.434
114,0.544,0.477,0.43
115,0.544,0.477,0.43
116,0.584,0.474,0.4270000000000001
117,0.584,0.474,0.4270000000000001
118,0.584,0.47,0.425
119,0.584,0.47,0.425
120,0.625,0.469,0.426
121,0.625,0.469,0.426
122,0.625,0.469,0.426
123,0.625,0.469,0.426
124,0.625,0.466,0.424
125,0.625,0.466,0.424
126,0.6659999999999999,0.462,0.422
127,0.6659999999999999,0.462,0.422
128,0.6659999999999999,0.458,0.42
129,0.6659999999999999,0.458,0.42
130,0.7070000000000001,0.454,0.418
131,0.7070000000000001,0.454,0.418
132,0.7070000000000001,0.454,0.418
133,0.7070000000000001,0.454,0.418
134,0.7070000000000001,0.45,0.417
135,0.7070000000000001,0.45,0.417
136,0.747,0.446,0.415
137,0.747,0.446,0.415
138,0.747,0.443,0.413
139,0.747,0.443,0.413
140,0.7879999999999999,0.439,0.412
141,0.7879999999999999,0.439,0.412
142,0.7879999999999999,0.439,0.412
143,0.7879999999999999,0.439,0.412
144,0.828,0.436,0.41
145,0.828,0.436,0.41
146,0.828,0.433,0.408
147,0.828,0.433,0.408
148,0.828,0.431,0.407
149,0.828,0.431,0.407
150,0.867,0.428,0.405
151,0.867,0.428,0.405
152,0.867,0.428,0.405
153,0.867,0.428,0.405
154,0.908,0.429,0.405
155,0.908,0.429,0.405
156,0.908,0.4270000000000001,0.403
157,0.908,0.4270000000000001,0.403
158,0.908,0.425,0.401
159,0.908,0.425,0.401
160,0.948,0.423,0.399
161,0.948,0.423,0.399
162,0.948,0.423,0.399
163,0.948,0.423,0.399
164,0.989,0.423,0.398
165,0.989,0.423,0.398
166,0.989,0.422,0.397
167,0.989,0.422,0.397
168,1.029,0.421,0.397
169,1.029,0.421,0.397
170,1.029,0.421,0.396
171,1.029,0.421,0.396
172,1.029,0.422,0.397
173,1.029,0.422,0.397
174,1.069,0.422,0.397
175,1.069,0.422,0.397
176,1.069,0.422,0.397
177,1.069,0.422,0.397
178,1.11,0.422,0.397
179,1.11,0.422,0.397
180,1.11,0.422,0.397
181,1.11,0.422,0.397
182,1.11,0.424,0.397
183,1.11,0.424,0.397
184,1.15,0.424,0.397
185,1.15,0.424,0.397
186,1.15,0.425,0.397
187,1.15,0.425,0.397
188,1.19,0.4270000000000001,0.397
189,1.19,0.4270000000000001,0.397
190,1.19,0.43,0.398
191,1.19,0.43,0.398
192,1.19,0.435,0.398
193,1.19,0.435,0.398
194,1.23,0.442,0.399
195,1.23,0.442,0.399
196,1.23,0.442,0.399
197,1.23,0.442,0.399
198,1.271,0.449,0.4
199,1.271,0.449,0.4
200,1.271,0.457,0.401
201,1.271,0.457,0.401
202,1.311,0.467,0.403
203,1.311,0.467,0.403
204,1.311,0.477,0.404
205,1.311,0.477,0.404
206,1.311,0.477,0.404
207,1.311,0.477,0.404
208,1.352,0.488,0.406
209,1.352,0.488,0.406
210,1.352,0.498,0.408
211,1.352,0.498,0.408
212,1.392,0.509,0.41
213,1.392,0.509,0.41
214,1.392,0.509,0.41
215,1.392,0.509,0.41
216,1.392,0.519,0.411
217,1.392,0.519,0.411
218,1.432,0.529,0.412
219,1.432,0.529,0.412
220,1.432,0.539,0.413
221,1.432,0.539,0.413
222,1.473,0.5489999999999999,0.413
223,1.473,0.5489999999999999,0.413
224,1.473,0.5479999999999999,0.412
225,1.473,0.5479999999999999,0.412
226,1.513,0.5479999999999999,0.412
227,1.513,0.5479999999999999,0.412
228,1.513,0.5579999999999999,0.412
229,1.513,0.5579999999999999,0.412
230,1.513,0.568,0.411
231,1.513,0.568,0.411
232,1.5530000000000002,0.5770000000000001,0.411
233,1.5530000000000002,0.5770000000000001,0.411
