,time,2dmu,2dmv
0,0.0,0.494,0.448
1,0.0,0.494,0.448
2,0.0,0.494,0.448
3,0.0,0.494,0.448
4,0.0,0.494,0.448
5,0.0,0.494,0.448
6,0.0,0.494,0.448
7,0.0,0.494,0.448
8,0.0,0.494,0.448
9,0.0,0.494,0.448
10,0.0,0.494,0.449
11,0.0,0.494,0.449
12,0.0,0.494,0.449
13,0.0,0.494,0.449
14,0.0,0.494,0.449
15,0.0,0.494,0.449
16,0.0,0.494,0.449
17,0.0,0.494,0.449
18,0.0,0.494,0.449
19,0.0,0.494,0.449
20,0.0,0.494,0.449
21,0.0,0.494,0.449
22,0.0,0.494,0.449
23,0.0,0.494,0.449
24,0.0,0.494,0.449
25,0.0,0.494,0.449
26,0.0,0.494,0.449
27,0.0,0.494,0.449
28,0.0,0.494,0.449
29,0.0,0.494,0.449
30,0.0,0.494,0.449
31,0.0,0.494,0.449
32,0.0,0.494,0.449
33,0.0,0.494,0.449
34,0.0,0.494,0.449
35,0.0,0.494,0.449
36,0.0,0.494,0.449
37,0.0,0.494,0.449
38,0.0,0.494,0.449
39,0.0,0.494,0.449
40,0.0,0.494,0.449
41,0.0,0.494,0.449
42,0.0,0.494,0.449
43,0.0,0.494,0.449
44,0.0,0.494,0.449
45,0.0,0.494,0.449
46,0.0,0.494,0.449
47,0.0,0.494,0.449
48,0.0,0.494,0.449
49,0.0,0.494,0.449
50,0.0,0.494,0.449
51,0.0,0.494,0.449
52,0.0,0.494,0.449
53,0.0,0.494,0.449
54,0.0,0.494,0.449
55,0.0,0.494,0.449
56,0.013,0.494,0.449
57,0.013,0.494,0.449
58,0.013,0.494,0.449
59,0.013,0.494,0.449
60,0.013,0.494,0.449
61,0.013,0.494,0.449
62,0.055,0.494,0.449
63,0.055,0.494,0.449
64,0.055,0.494,0.449
65,0.055,0.494,0.449
66,0.094,0.494,0.449
67,0.094,0.494,0.449
68,0.094,0.494,0.449
69,0.094,0.494,0.449
70,0.094,0.494,0.449
71,0.094,0.494,0.449
72,0.134,0.494,0.449
73,0.134,0.494,0.449
74,0.134,0.494,0.449
75,0.134,0.494,0.449
76,0.175,0.494,0.448
77,0.175,0.494,0.448
78,0.175,0.494,0.448
79,0.175,0.494,0.448
80,0.215,0.494,0.448
81,0.215,0.494,0.448
82,0.215,0.494,0.448
83,0.215,0.494,0.448
84,0.215,0.494,0.448
85,0.215,0.494,0.448
86,0.255,0.494,0.448
87,0.255,0.494,0.448
88,0.255,0.494,0.448
89,0.255,0.494,0.448
90,0.297,0.494,0.448
91,0.297,0.494,0.448
92,0.297,0.494,0.448
93,0.297,0.494,0.448
94,0.297,0.494,0.449
95,0.297,0.494,0.449
96,0.338,0.494,0.449
97,0.338,0.494,0.449
98,0.338,0.494,0.449
99,0.338,0.494,0.449
100,0.379,0.494,0.449
101,0.379,0.494,0.449
102,0.379,0.494,0.449
103,0.379,0.494,0.449
104,0.379,0.494,0.449
105,0.379,0.494,0.449
106,0.419,0.494,0.449
107,0.419,0.494,0.449
108,0.419,0.494,0.449
109,0.419,0.494,0.449
110,0.459,0.494,0.448
111,0.459,0.494,0.448
112,0.459,0.494,0.448
113,0.459,0.494,0.448
114,0.499,0.494,0.448
115,0.499,0.494,0.448
