,time,2dmu,2dmv
0,0.0,0.493,0.485
1,0.0,0.493,0.485
2,0.0,0.493,0.484
3,0.0,0.493,0.484
4,0.0,0.493,0.484
5,0.0,0.493,0.484
6,0.0,0.493,0.484
7,0.0,0.493,0.484
8,0.0,0.493,0.484
9,0.0,0.493,0.484
10,0.0,0.493,0.484
11,0.0,0.493,0.484
12,0.0,0.493,0.484
13,0.0,0.493,0.484
14,0.0,0.493,0.484
15,0.0,0.493,0.484
16,0.0,0.493,0.484
17,0.0,0.493,0.484
18,0.0,0.493,0.484
19,0.0,0.493,0.484
20,0.0,0.493,0.484
21,0.0,0.493,0.484
22,0.0,0.493,0.484
23,0.0,0.493,0.484
24,0.0,0.493,0.485
25,0.0,0.493,0.485
26,0.0,0.493,0.485
27,0.0,0.493,0.485
28,0.0,0.493,0.485
29,0.0,0.493,0.485
30,0.0,0.4920000000000001,0.485
31,0.0,0.4920000000000001,0.485
32,0.0,0.4920000000000001,0.485
33,0.0,0.4920000000000001,0.485
34,0.0,0.4920000000000001,0.485
35,0.0,0.4920000000000001,0.485
36,0.0,0.4920000000000001,0.485
37,0.0,0.4920000000000001,0.485
38,0.0,0.4920000000000001,0.485
39,0.0,0.4920000000000001,0.485
40,0.0,0.4920000000000001,0.485
41,0.0,0.4920000000000001,0.485
42,0.0,0.4920000000000001,0.485
43,0.0,0.4920000000000001,0.485
44,0.0,0.4920000000000001,0.485
45,0.0,0.4920000000000001,0.485
46,0.0,0.4920000000000001,0.485
47,0.0,0.4920000000000001,0.485
48,0.0,0.493,0.485
49,0.0,0.493,0.485
50,0.017,0.493,0.485
51,0.017,0.493,0.485
52,0.017,0.493,0.485
53,0.017,0.493,0.485
54,0.017,0.493,0.485
55,0.017,0.493,0.485
56,0.057,0.493,0.485
57,0.057,0.493,0.485
58,0.057,0.493,0.485
59,0.057,0.493,0.485
60,0.098,0.493,0.485
61,0.098,0.493,0.485
62,0.098,0.493,0.485
63,0.098,0.493,0.485
64,0.098,0.493,0.485
65,0.098,0.493,0.485
66,0.139,0.493,0.485
67,0.139,0.493,0.485
68,0.139,0.493,0.485
69,0.139,0.493,0.485
70,0.18,0.493,0.485
71,0.18,0.493,0.485
72,0.18,0.493,0.485
73,0.18,0.493,0.485
74,0.18,0.493,0.485
75,0.18,0.493,0.485
76,0.221,0.493,0.485
77,0.221,0.493,0.485
78,0.221,0.493,0.485
79,0.221,0.493,0.485
80,0.261,0.493,0.485
81,0.261,0.493,0.485
82,0.261,0.493,0.485
83,0.261,0.493,0.485
84,0.261,0.493,0.485
85,0.261,0.493,0.485
86,0.302,0.493,0.485
87,0.302,0.493,0.485
88,0.302,0.493,0.484
89,0.302,0.493,0.484
90,0.343,0.493,0.484
91,0.343,0.493,0.484
92,0.343,0.493,0.484
93,0.343,0.493,0.484
94,0.383,0.493,0.484
95,0.383,0.493,0.484
96,0.383,0.493,0.484
97,0.383,0.493,0.484
98,0.383,0.493,0.484
99,0.383,0.493,0.484
100,0.424,0.493,0.484
101,0.424,0.493,0.484
102,0.424,0.493,0.484
103,0.424,0.493,0.484
104,0.464,0.493,0.484
105,0.464,0.493,0.484
106,0.464,0.493,0.484
107,0.464,0.493,0.484
108,0.464,0.493,0.484
109,0.464,0.493,0.484
110,0.505,0.493,0.484
111,0.505,0.493,0.484
112,0.505,0.493,0.484
113,0.505,0.493,0.484
114,0.546,0.493,0.484
115,0.546,0.493,0.484
116,0.546,0.493,0.484
117,0.546,0.493,0.484
118,0.546,0.493,0.484
119,0.546,0.493,0.484
120,0.5870000000000001,0.493,0.484
121,0.5870000000000001,0.493,0.484
122,0.5870000000000001,0.493,0.484
123,0.5870000000000001,0.493,0.484
124,0.627,0.493,0.484
125,0.627,0.493,0.484
126,0.627,0.493,0.484
127,0.627,0.493,0.484
128,0.667,0.493,0.484
129,0.667,0.493,0.484
130,0.667,0.493,0.484
131,0.667,0.493,0.484
132,0.667,0.493,0.484
133,0.667,0.493,0.484
134,0.708,0.493,0.484
135,0.708,0.493,0.484
136,0.708,0.493,0.484
137,0.708,0.493,0.484
138,0.748,0.493,0.484
139,0.748,0.493,0.484
140,0.748,0.493,0.484
141,0.748,0.493,0.484
142,0.748,0.493,0.484
143,0.748,0.493,0.484
144,0.79,0.493,0.484
145,0.79,0.493,0.484
146,0.79,0.493,0.484
147,0.79,0.493,0.484
148,0.831,0.493,0.484
149,0.831,0.493,0.484
150,0.831,0.493,0.484
151,0.831,0.493,0.484
152,0.831,0.493,0.484
153,0.831,0.493,0.484
154,0.872,0.493,0.484
155,0.872,0.493,0.484
156,0.872,0.493,0.484
157,0.872,0.493,0.484
158,0.912,0.493,0.484
159,0.912,0.493,0.484
160,0.912,0.493,0.484
161,0.912,0.493,0.484
162,0.912,0.493,0.484
163,0.912,0.493,0.484
164,0.953,0.493,0.484
165,0.953,0.493,0.484
166,0.953,0.493,0.484
167,0.953,0.493,0.484
168,0.993,0.493,0.484
169,0.993,0.493,0.484
170,0.993,0.493,0.484
171,0.993,0.493,0.484
172,1.033,0.493,0.484
173,1.033,0.493,0.484
174,1.033,0.493,0.484
175,1.033,0.493,0.484
176,1.033,0.493,0.483
177,1.033,0.493,0.483
178,1.074,0.493,0.483
179,1.074,0.493,0.483
180,1.074,0.493,0.483
181,1.074,0.493,0.483
182,1.114,0.493,0.483
183,1.114,0.493,0.483
184,1.114,0.493,0.483
185,1.114,0.493,0.483
186,1.114,0.493,0.483
187,1.114,0.493,0.483
188,1.153,0.493,0.483
189,1.153,0.493,0.483
190,1.153,0.493,0.483
191,1.153,0.493,0.483
192,1.193,0.493,0.483
193,1.193,0.493,0.483
194,1.193,0.493,0.483
195,1.193,0.493,0.483
196,1.234,0.493,0.483
197,1.234,0.493,0.483
198,1.234,0.493,0.483
199,1.234,0.493,0.483
200,1.234,0.493,0.483
201,1.234,0.493,0.483
202,1.274,0.493,0.483
203,1.274,0.493,0.483
204,1.274,0.493,0.483
205,1.274,0.493,0.483
206,1.315,0.493,0.483
207,1.315,0.493,0.483
208,1.315,0.493,0.483
209,1.315,0.493,0.483
210,1.315,0.493,0.483
211,1.315,0.493,0.483
212,1.355,0.493,0.483
213,1.355,0.493,0.483
214,1.355,0.493,0.483
215,1.355,0.493,0.483
216,1.396,0.493,0.483
217,1.396,0.493,0.483
218,1.396,0.493,0.483
219,1.396,0.493,0.483
220,1.396,0.493,0.483
221,1.396,0.493,0.483
222,1.4369999999999998,0.493,0.483
223,1.4369999999999998,0.493,0.483
224,1.4369999999999998,0.493,0.483
225,1.4369999999999998,0.493,0.483
226,1.4780000000000002,0.493,0.483
227,1.4780000000000002,0.493,0.483
228,1.4780000000000002,0.493,0.483
229,1.4780000000000002,0.493,0.483
230,1.4780000000000002,0.493,0.483
231,1.4780000000000002,0.493,0.483
232,1.519,0.493,0.483
233,1.519,0.493,0.483
234,1.519,0.493,0.483
235,1.519,0.493,0.483
236,1.56,0.493,0.483
237,1.56,0.493,0.483
238,1.56,0.493,0.483
239,1.56,0.493,0.483
240,1.6,0.493,0.483
241,1.6,0.493,0.483
242,1.6,0.493,0.483
243,1.6,0.493,0.483
244,1.6,0.493,0.483
245,1.6,0.493,0.483
246,1.641,0.493,0.483
247,1.641,0.493,0.483
248,1.641,0.493,0.483
249,1.641,0.493,0.483
250,1.681,0.493,0.483
251,1.681,0.493,0.483
252,1.681,0.493,0.483
253,1.681,0.493,0.483
254,1.681,0.493,0.483
255,1.681,0.493,0.483
256,1.721,0.493,0.483
257,1.721,0.493,0.483
258,1.721,0.493,0.483
259,1.721,0.493,0.483
260,1.7619999999999998,0.493,0.483
261,1.7619999999999998,0.493,0.483
262,1.7619999999999998,0.493,0.483
263,1.7619999999999998,0.493,0.483
264,1.7619999999999998,0.493,0.483
265,1.7619999999999998,0.493,0.483
266,1.802,0.493,0.483
267,1.802,0.493,0.483
268,1.802,0.493,0.483
269,1.802,0.493,0.483
