,time,2dmu,2dmv
0,0.0,0.498,0.506
1,0.0,0.498,0.506
2,0.0,0.498,0.507
3,0.0,0.498,0.507
4,0.0,0.498,0.507
5,0.0,0.498,0.507
6,0.0,0.498,0.507
7,0.0,0.498,0.507
8,0.0,0.498,0.507
9,0.0,0.498,0.507
10,0.0,0.498,0.507
11,0.0,0.498,0.507
12,0.0,0.498,0.507
13,0.0,0.498,0.507
14,0.0,0.498,0.508
15,0.0,0.498,0.508
16,0.0,0.498,0.508
17,0.0,0.498,0.508
18,0.0,0.498,0.508
19,0.0,0.498,0.508
20,0.0,0.498,0.507
21,0.0,0.498,0.507
22,0.0,0.498,0.507
23,0.0,0.498,0.507
24,0.0,0.498,0.507
25,0.0,0.498,0.507
26,0.0,0.498,0.507
27,0.0,0.498,0.507
28,0.0,0.498,0.507
29,0.0,0.498,0.507
30,0.0,0.498,0.506
31,0.0,0.498,0.506
32,0.0,0.498,0.506
33,0.0,0.498,0.506
34,0.0,0.499,0.505
35,0.0,0.499,0.505
36,0.0,0.499,0.505
37,0.0,0.499,0.505
38,0.0,0.499,0.505
39,0.0,0.499,0.505
40,0.0,0.499,0.505
41,0.0,0.499,0.505
42,0.0,0.499,0.505
43,0.0,0.499,0.505
44,0.0,0.499,0.505
45,0.0,0.499,0.505
46,0.0,0.499,0.505
47,0.0,0.499,0.505
48,0.0,0.499,0.505
49,0.0,0.499,0.505
50,0.0,0.499,0.505
51,0.0,0.499,0.505
52,0.0,0.499,0.505
53,0.0,0.499,0.505
54,0.0,0.499,0.505
55,0.0,0.499,0.505
56,0.0,0.499,0.505
57,0.0,0.499,0.505
58,0.0,0.499,0.505
59,0.0,0.499,0.505
60,0.0,0.499,0.505
61,0.0,0.499,0.505
62,0.0,0.499,0.504
63,0.0,0.499,0.504
64,0.0,0.499,0.504
65,0.0,0.499,0.504
66,0.019,0.499,0.504
67,0.019,0.499,0.504
68,0.019,0.499,0.504
69,0.019,0.499,0.504
70,0.06,0.499,0.504
71,0.06,0.499,0.504
72,0.06,0.499,0.504
73,0.06,0.499,0.504
74,0.06,0.499,0.504
75,0.06,0.499,0.504
76,0.1,0.499,0.504
77,0.1,0.499,0.504
78,0.1,0.499,0.504
79,0.1,0.499,0.504
80,0.141,0.499,0.503
81,0.141,0.499,0.503
82,0.141,0.499,0.503
83,0.141,0.499,0.503
84,0.181,0.499,0.503
85,0.181,0.499,0.503
86,0.181,0.499,0.502
87,0.181,0.499,0.502
88,0.181,0.499,0.502
89,0.181,0.499,0.502
90,0.222,0.499,0.502
91,0.222,0.499,0.502
92,0.222,0.499,0.502
93,0.222,0.499,0.502
94,0.263,0.499,0.502
95,0.263,0.499,0.502
