,time,2dmu,2dmv
0,0.0,0.639,0.514
1,0.0,0.639,0.514
2,0.0,0.636,0.515
3,0.0,0.636,0.515
4,0.0,0.636,0.515
5,0.0,0.636,0.515
6,0.0,0.627,0.513
7,0.0,0.627,0.513
8,0.0,0.627,0.513
9,0.0,0.627,0.513
10,0.0,0.627,0.513
11,0.0,0.627,0.513
12,0.0,0.603,0.506
13,0.0,0.603,0.506
14,0.0,0.603,0.506
15,0.0,0.603,0.506
16,0.0,0.59,0.504
17,0.0,0.59,0.504
18,0.0,0.59,0.504
19,0.0,0.59,0.504
20,0.0,0.584,0.505
21,0.0,0.584,0.505
22,0.0,0.578,0.505
23,0.0,0.578,0.505
24,0.0,0.578,0.505
25,0.0,0.578,0.505
26,0.0,0.574,0.504
27,0.0,0.574,0.504
28,0.0,0.574,0.504
29,0.0,0.574,0.504
30,0.0,0.569,0.503
31,0.0,0.569,0.503
32,0.0,0.569,0.503
33,0.0,0.569,0.503
34,0.016,0.569,0.503
35,0.016,0.569,0.503
36,0.016,0.555,0.503
37,0.016,0.555,0.503
38,0.056,0.555,0.503
39,0.056,0.555,0.503
40,0.096,0.5479999999999999,0.506
41,0.096,0.5479999999999999,0.506
42,0.13699999999999998,0.5479999999999999,0.506
43,0.13699999999999998,0.5479999999999999,0.506
44,0.17600000000000002,0.546,0.507
45,0.17600000000000002,0.546,0.507
46,0.17600000000000002,0.546,0.507
47,0.17600000000000002,0.546,0.507
48,0.217,0.542,0.508
49,0.217,0.542,0.508
50,0.217,0.542,0.508
51,0.217,0.542,0.508
52,0.258,0.54,0.509
53,0.258,0.54,0.509
54,0.258,0.539,0.509
55,0.258,0.539,0.509
56,0.258,0.537,0.511
57,0.258,0.537,0.511
58,0.298,0.5379999999999999,0.51
59,0.298,0.5379999999999999,0.51
60,0.298,0.536,0.511
61,0.298,0.536,0.511
62,0.339,0.536,0.511
63,0.339,0.536,0.511
64,0.339,0.535,0.512
65,0.339,0.535,0.512
66,0.339,0.534,0.513
67,0.339,0.534,0.513
68,0.38,0.5329999999999999,0.514
69,0.38,0.5329999999999999,0.514
70,0.38,0.532,0.515
71,0.38,0.532,0.515
72,0.42,0.532,0.515
73,0.42,0.532,0.515
74,0.42,0.532,0.515
75,0.42,0.532,0.515
76,0.459,0.532,0.516
77,0.459,0.532,0.516
78,0.459,0.5329999999999999,0.516
79,0.459,0.5329999999999999,0.516
80,0.459,0.5329999999999999,0.515
81,0.459,0.5329999999999999,0.515
82,0.5,0.5329999999999999,0.515
83,0.5,0.5329999999999999,0.515
84,0.5,0.5329999999999999,0.515
85,0.5,0.5329999999999999,0.515
86,0.54,0.534,0.516
87,0.54,0.534,0.516
88,0.54,0.534,0.516
89,0.54,0.534,0.516
90,0.54,0.535,0.517
91,0.54,0.535,0.517
92,0.581,0.535,0.517
93,0.581,0.535,0.517
94,0.581,0.535,0.517
95,0.581,0.535,0.517
96,0.621,0.536,0.518
97,0.621,0.536,0.518
98,0.621,0.536,0.518
99,0.621,0.536,0.518
100,0.621,0.537,0.519
101,0.621,0.537,0.519
102,0.662,0.537,0.52
103,0.662,0.537,0.52
104,0.662,0.5379999999999999,0.52
105,0.662,0.5379999999999999,0.52
106,0.703,0.5379999999999999,0.521
107,0.703,0.5379999999999999,0.521
108,0.703,0.539,0.521
109,0.703,0.539,0.521
110,0.743,0.539,0.521
111,0.743,0.539,0.521
112,0.743,0.539,0.522
113,0.743,0.539,0.522
114,0.743,0.539,0.522
115,0.743,0.539,0.522
116,0.7829999999999999,0.54,0.523
