,time,2dmu,2dmv
0,0.0,0.501,0.456
1,0.0,0.501,0.456
2,0.0,0.501,0.456
3,0.0,0.501,0.456
4,0.0,0.501,0.455
5,0.0,0.501,0.455
6,0.0,0.501,0.455
7,0.0,0.501,0.455
8,0.0,0.501,0.455
9,0.0,0.501,0.455
10,0.0,0.501,0.455
11,0.0,0.501,0.455
12,0.0,0.501,0.455
13,0.0,0.501,0.455
14,0.0,0.501,0.455
15,0.0,0.501,0.455
16,0.0,0.501,0.455
17,0.0,0.501,0.455
18,0.0,0.501,0.455
19,0.0,0.501,0.455
20,0.0,0.501,0.455
21,0.0,0.501,0.455
22,0.0,0.501,0.455
23,0.0,0.501,0.455
24,0.0,0.501,0.455
25,0.0,0.501,0.455
26,0.0,0.501,0.455
27,0.0,0.501,0.455
28,0.0,0.501,0.455
29,0.0,0.501,0.455
30,0.0,0.501,0.455
31,0.0,0.501,0.455
32,0.0,0.501,0.455
33,0.0,0.501,0.455
34,0.0,0.501,0.455
35,0.0,0.501,0.455
36,0.0,0.501,0.455
37,0.0,0.501,0.455
38,0.0,0.501,0.455
39,0.0,0.501,0.455
40,0.0,0.501,0.456
41,0.0,0.501,0.456
42,0.0,0.502,0.456
43,0.0,0.502,0.456
44,0.0,0.502,0.456
45,0.0,0.502,0.456
46,0.0,0.502,0.456
47,0.0,0.502,0.456
48,0.0,0.502,0.456
49,0.0,0.502,0.456
50,0.0,0.503,0.457
51,0.0,0.503,0.457
52,0.0,0.503,0.457
53,0.0,0.503,0.457
54,0.0,0.503,0.457
55,0.0,0.503,0.457
56,0.04,0.505,0.461
57,0.04,0.505,0.461
58,0.04,0.508,0.469
59,0.04,0.508,0.469
60,0.04,0.512,0.479
61,0.04,0.512,0.479
62,0.081,0.512,0.479
63,0.081,0.512,0.479
64,0.081,0.514,0.484
65,0.081,0.514,0.484
66,0.121,0.52,0.498
67,0.121,0.52,0.498
68,0.121,0.527,0.512
69,0.121,0.527,0.512
70,0.161,0.5329999999999999,0.521
71,0.161,0.5329999999999999,0.521
72,0.161,0.5329999999999999,0.521
73,0.161,0.5329999999999999,0.521
74,0.161,0.539,0.527
75,0.161,0.539,0.527
76,0.201,0.544,0.53
77,0.201,0.544,0.53
78,0.201,0.5489999999999999,0.5329999999999999
79,0.201,0.5489999999999999,0.5329999999999999
