,time,2dmu,2dmv
0,0.0,0.494,0.573
1,0.0,0.494,0.573
2,0.0,0.494,0.5720000000000001
3,0.0,0.494,0.5720000000000001
4,0.0,0.494,0.5720000000000001
5,0.0,0.494,0.5720000000000001
6,0.0,0.494,0.5710000000000001
7,0.0,0.494,0.5710000000000001
8,0.0,0.494,0.5710000000000001
9,0.0,0.494,0.5710000000000001
10,0.0,0.494,0.57
11,0.0,0.494,0.57
12,0.0,0.494,0.57
13,0.0,0.494,0.57
14,0.0,0.494,0.569
15,0.0,0.494,0.569
16,0.0,0.494,0.569
17,0.0,0.494,0.569
18,0.0,0.494,0.569
19,0.0,0.494,0.569
20,0.0,0.494,0.569
21,0.0,0.494,0.569
22,0.0,0.494,0.569
23,0.0,0.494,0.569
24,0.0,0.494,0.5710000000000001
25,0.0,0.494,0.5710000000000001
26,0.0,0.494,0.5710000000000001
27,0.0,0.494,0.5710000000000001
28,0.0,0.494,0.5710000000000001
29,0.0,0.494,0.5710000000000001
30,0.0,0.494,0.5710000000000001
31,0.0,0.494,0.5710000000000001
32,0.0,0.494,0.5720000000000001
33,0.0,0.494,0.5720000000000001
34,0.0,0.494,0.5720000000000001
35,0.0,0.494,0.5720000000000001
36,0.0,0.494,0.5720000000000001
37,0.0,0.494,0.5720000000000001
38,0.0,0.494,0.5720000000000001
39,0.0,0.494,0.5720000000000001
40,0.0,0.494,0.5720000000000001
41,0.0,0.494,0.5720000000000001
42,0.041,0.494,0.5720000000000001
43,0.041,0.494,0.5720000000000001
44,0.041,0.494,0.5720000000000001
45,0.041,0.494,0.5720000000000001
46,0.08199999999999999,0.494,0.5720000000000001
47,0.08199999999999999,0.494,0.5720000000000001
48,0.08199999999999999,0.494,0.5720000000000001
49,0.08199999999999999,0.494,0.5720000000000001
50,0.08199999999999999,0.494,0.5720000000000001
51,0.08199999999999999,0.494,0.5720000000000001
52,0.122,0.494,0.5720000000000001
53,0.122,0.494,0.5720000000000001
54,0.122,0.494,0.5720000000000001
55,0.122,0.494,0.5720000000000001
56,0.162,0.494,0.5720000000000001
57,0.162,0.494,0.5720000000000001
58,0.162,0.494,0.5720000000000001
59,0.162,0.494,0.5720000000000001
60,0.202,0.494,0.573
61,0.202,0.494,0.573
62,0.202,0.494,0.573
63,0.202,0.494,0.573
64,0.202,0.494,0.573
65,0.202,0.494,0.573
66,0.243,0.495,0.573
67,0.243,0.495,0.573
68,0.243,0.495,0.574
69,0.243,0.495,0.574
70,0.28300000000000003,0.495,0.574
71,0.28300000000000003,0.495,0.574
72,0.28300000000000003,0.495,0.574
73,0.28300000000000003,0.495,0.574
74,0.28300000000000003,0.495,0.574
75,0.28300000000000003,0.495,0.574
76,0.32299999999999995,0.495,0.574
77,0.32299999999999995,0.495,0.574
78,0.32299999999999995,0.495,0.574
79,0.32299999999999995,0.495,0.574
80,0.363,0.495,0.574
81,0.363,0.495,0.574
82,0.363,0.495,0.574
83,0.363,0.495,0.574
84,0.363,0.495,0.574
85,0.363,0.495,0.574
86,0.404,0.495,0.574
87,0.404,0.495,0.574
88,0.404,0.495,0.574
89,0.404,0.495,0.574
90,0.445,0.495,0.574
91,0.445,0.495,0.574
92,0.445,0.495,0.574
93,0.445,0.495,0.574
94,0.486,0.495,0.574
95,0.486,0.495,0.574
96,0.486,0.495,0.574
97,0.486,0.495,0.574
98,0.486,0.495,0.574
99,0.486,0.495,0.574
100,0.526,0.495,0.574
101,0.526,0.495,0.574
102,0.526,0.495,0.574
103,0.526,0.495,0.574
104,0.5660000000000001,0.495,0.574
105,0.5660000000000001,0.495,0.574
106,0.5660000000000001,0.495,0.574
107,0.5660000000000001,0.495,0.574
108,0.5660000000000001,0.495,0.574
109,0.5660000000000001,0.495,0.574
110,0.608,0.495,0.574
111,0.608,0.495,0.574
112,0.608,0.495,0.574
