,time,2dmu,2dmv
0,18.515,0.214,0.499
1,18.515,0.214,0.499
2,18.515,0.214,0.499
3,18.515,0.214,0.499
4,18.515,0.214,0.499
5,18.555,0.214,0.499
6,18.555,0.214,0.499
7,18.555,0.214,0.499
8,18.555,0.214,0.499
9,18.596,0.214,0.499
10,18.596,0.214,0.499
11,18.596,0.214,0.499
12,18.596,0.214,0.499
13,18.596,0.214,0.499
14,18.596,0.214,0.499
15,18.636,0.214,0.499
16,18.636,0.214,0.499
17,18.636,0.214,0.499
18,18.636,0.214,0.499
19,18.677,0.214,0.499
20,18.677,0.214,0.499
21,18.677,0.214,0.499
22,18.677,0.214,0.499
23,18.717,0.214,0.499
24,18.717,0.214,0.499
25,18.717,0.214,0.499
26,18.717,0.214,0.499
27,18.717,0.214,0.499
28,18.717,0.214,0.499
29,18.757,0.214,0.499
30,18.757,0.214,0.499
31,18.757,0.214,0.499
32,18.757,0.214,0.499
33,18.797,0.214,0.499
34,18.797,0.214,0.499
35,18.797,0.214,0.499
36,18.797,0.214,0.499
37,18.797,0.214,0.499
38,18.797,0.214,0.499
39,18.837,0.214,0.499
40,18.837,0.214,0.499
41,18.837,0.214,0.499
42,18.837,0.214,0.499
43,18.878,0.214,0.499
44,18.878,0.214,0.499
45,18.878,0.214,0.499
46,18.878,0.214,0.499
47,18.918,0.214,0.499
48,18.918,0.214,0.499
49,18.918,0.214,0.499
50,18.918,0.214,0.499
51,18.918,0.214,0.499
52,18.918,0.214,0.499
53,18.959,0.214,0.499
54,18.959,0.214,0.499
55,18.959,0.214,0.499
56,18.959,0.214,0.499
57,18.999,0.214,0.499
58,18.999,0.214,0.499
59,18.999,0.214,0.499
60,18.999,0.214,0.499
61,18.999,0.214,0.499
62,18.999,0.214,0.499
63,19.039,0.214,0.499
64,19.039,0.214,0.499
65,19.039,0.214,0.499
66,19.039,0.214,0.499
67,19.079,0.214,0.499
68,19.079,0.214,0.499
69,19.079,0.214,0.499
70,19.079,0.214,0.499
71,19.079,0.214,0.499
72,19.079,0.214,0.499
73,19.119,0.214,0.499
74,19.119,0.214,0.499
75,19.119,0.214,0.499
76,19.119,0.214,0.499
77,19.161,0.214,0.499
78,19.161,0.214,0.499
79,19.161,0.214,0.499
80,19.161,0.214,0.499
81,19.161,0.214,0.499
82,19.161,0.214,0.499
83,19.203,0.214,0.499
84,19.203,0.214,0.499
85,19.203,0.214,0.499
86,19.203,0.214,0.499
87,19.243,0.214,0.499
88,19.243,0.214,0.499
89,19.243,0.214,0.499
90,19.243,0.214,0.499
91,19.283,0.214,0.499
92,19.283,0.214,0.499
93,19.283,0.214,0.499
94,19.283,0.214,0.499
95,19.283,0.214,0.499
96,19.283,0.214,0.499
97,19.323,0.214,0.499
98,19.323,0.214,0.499
99,19.323,0.214,0.499
100,19.323,0.214,0.499
101,19.363,0.214,0.499
102,19.363,0.214,0.499
103,19.363,0.214,0.499
104,19.363,0.214,0.499
105,19.363,0.214,0.499
106,19.363,0.214,0.499
107,19.404,0.214,0.499
108,19.404,0.214,0.499
109,19.404,0.214,0.499
110,19.404,0.214,0.499
111,19.445,0.214,0.499
112,19.445,0.214,0.499
113,19.445,0.214,0.499
114,19.445,0.214,0.499
115,19.445,0.214,0.499
116,19.445,0.214,0.499
117,19.486,0.214,0.499
118,19.486,0.214,0.499
119,19.486,0.214,0.499
120,19.486,0.214,0.499
121,19.527,0.214,0.499
122,19.527,0.214,0.499
123,19.527,0.214,0.499
124,19.527,0.214,0.499
125,19.567,0.214,0.499
126,19.567,0.214,0.499
127,19.567,0.214,0.499
128,19.567,0.214,0.499
129,19.567,0.214,0.499
130,19.567,0.214,0.499
131,19.608,0.214,0.499
132,19.608,0.214,0.499
133,19.608,0.214,0.499
134,19.608,0.214,0.499
135,19.648,0.214,0.499
136,19.648,0.214,0.499
137,19.648,0.214,0.499
138,19.648,0.214,0.499
139,19.648,0.214,0.499
140,19.648,0.214,0.499
141,19.688,0.214,0.499
142,19.688,0.214,0.499
143,19.688,0.214,0.499
144,19.688,0.214,0.499
145,19.729,0.214,0.499
146,19.729,0.214,0.499
147,19.729,0.214,0.499
148,19.729,0.214,0.499
149,19.729,0.214,0.499
150,19.729,0.214,0.499
151,19.77,0.214,0.499
152,19.77,0.214,0.499
153,19.77,0.214,0.499
154,19.77,0.214,0.499
155,19.811,0.214,0.499
156,19.811,0.214,0.499
157,19.811,0.214,0.499
158,19.811,0.214,0.499
159,19.851,0.214,0.499
160,19.851,0.214,0.499
161,19.851,0.214,0.499
162,19.851,0.214,0.499
163,19.851,0.214,0.499
164,19.851,0.214,0.499
165,19.891,0.214,0.499
166,19.891,0.214,0.499
167,19.891,0.214,0.499
168,19.891,0.214,0.499
169,19.932,0.214,0.499
170,19.932,0.214,0.499
171,19.932,0.214,0.499
172,19.932,0.214,0.499
173,19.932,0.214,0.499
174,19.932,0.214,0.499
175,19.973,0.214,0.499
176,19.973,0.214,0.499
177,19.973,0.214,0.499
178,19.973,0.214,0.499
179,20.013,0.214,0.499
180,20.013,0.214,0.499
181,20.013,0.214,0.499
182,20.013,0.214,0.499
183,20.013,0.214,0.499
184,20.013,0.214,0.499
185,20.053,0.214,0.499
186,20.053,0.214,0.499
187,20.053,0.214,0.499
188,20.053,0.214,0.499
189,20.094,0.214,0.499
190,20.094,0.214,0.499
191,20.094,0.214,0.499
192,20.094,0.214,0.499
193,20.135,0.214,0.499
194,20.135,0.214,0.499
195,20.135,0.214,0.499
196,20.135,0.214,0.499
197,20.135,0.214,0.499
198,20.135,0.214,0.499
199,20.175,0.214,0.499
200,20.175,0.214,0.499
201,20.175,0.214,0.499
202,20.175,0.214,0.499
203,20.215,0.214,0.499
204,20.215,0.214,0.499
205,20.215,0.214,0.499
206,20.215,0.214,0.499
207,20.215,0.214,0.499
208,20.215,0.214,0.499
209,20.257,0.214,0.499
210,20.257,0.214,0.499
211,20.257,0.214,0.499
212,20.257,0.214,0.499
213,20.297,0.214,0.499
214,20.297,0.214,0.499
215,20.297,0.214,0.499
216,20.297,0.214,0.499
217,20.297,0.214,0.499
218,20.297,0.214,0.499
219,20.336,0.214,0.499
220,20.336,0.214,0.499
221,20.336,0.214,0.499
222,20.336,0.214,0.499
223,20.377,0.214,0.499
224,20.377,0.214,0.499
225,20.377,0.214,0.499
226,20.377,0.214,0.499
227,20.417,0.214,0.499
228,20.417,0.214,0.499
229,20.417,0.214,0.499
230,20.417,0.214,0.499
231,20.417,0.214,0.499
232,20.417,0.214,0.499
233,20.457,0.214,0.499
234,20.457,0.214,0.499
235,20.457,0.214,0.499
236,20.457,0.214,0.499
237,20.498,0.214,0.499
238,20.498,0.214,0.499
239,20.498,0.214,0.499
240,20.498,0.214,0.499
241,20.498,0.214,0.499
242,20.498,0.214,0.499
243,20.54,0.214,0.499
244,20.54,0.214,0.499
245,20.54,0.214,0.499
246,20.54,0.214,0.499
247,20.58,0.214,0.499
248,20.58,0.214,0.499
249,20.58,0.214,0.499
250,20.58,0.214,0.499
251,20.58,0.214,0.499
252,20.58,0.214,0.499
253,20.621,0.214,0.499
254,20.621,0.214,0.499
255,20.621,0.214,0.499
256,20.621,0.214,0.499
257,20.662,0.214,0.499
258,20.662,0.214,0.499
259,20.662,0.214,0.499
260,20.662,0.214,0.499
261,20.702,0.214,0.499
262,20.702,0.214,0.499
263,20.702,0.214,0.499
264,20.702,0.214,0.499
265,20.702,0.214,0.499
266,20.702,0.214,0.499
267,20.742,0.214,0.499
268,20.742,0.214,0.499
269,20.742,0.214,0.499
270,20.742,0.214,0.499
271,20.781,0.214,0.499
272,20.781,0.214,0.499
273,20.781,0.214,0.499
274,20.781,0.214,0.499
275,20.781,0.214,0.499
276,20.781,0.214,0.499
277,20.822,0.214,0.499
278,20.822,0.214,0.499
279,20.822,0.214,0.499
280,20.822,0.214,0.499
281,20.863000000000003,0.214,0.499
282,20.863000000000003,0.214,0.499
283,20.863000000000003,0.214,0.499
284,20.863000000000003,0.214,0.499
285,20.863000000000003,0.214,0.499
286,20.863000000000003,0.214,0.499
287,20.904,0.214,0.499
288,20.904,0.214,0.499
289,20.904,0.214,0.499
290,20.904,0.214,0.499
291,20.944000000000006,0.214,0.499
292,20.944000000000006,0.214,0.499
293,20.944000000000006,0.214,0.499
294,20.944000000000006,0.214,0.499
295,20.985,0.214,0.499
296,20.985,0.214,0.499
297,20.985,0.214,0.499
298,20.985,0.214,0.499
299,20.985,0.214,0.499
300,20.985,0.214,0.499
301,21.025,0.214,0.499
302,21.025,0.214,0.499
303,21.025,0.214,0.499
304,21.025,0.214,0.499
305,21.066,0.214,0.499
306,21.066,0.214,0.499
307,21.066,0.214,0.499
308,21.066,0.214,0.499
309,21.066,0.214,0.499
310,21.066,0.214,0.499
311,21.107,0.214,0.499
312,21.107,0.214,0.499
313,21.107,0.214,0.499
314,21.107,0.214,0.499
315,21.146,0.214,0.499
316,21.146,0.214,0.499
317,21.146,0.214,0.499
318,21.146,0.214,0.499
319,21.146,0.214,0.499
320,21.146,0.214,0.499
321,21.186,0.214,0.499
322,21.186,0.214,0.499
323,21.186,0.214,0.499
324,21.186,0.214,0.499
325,21.227,0.214,0.499
326,21.227,0.214,0.499
327,21.227,0.214,0.499
328,21.227,0.214,0.499
329,21.269,0.214,0.499
330,21.269,0.214,0.499
331,21.269,0.214,0.499
332,21.269,0.214,0.499
333,21.269,0.214,0.499
334,21.269,0.214,0.499
335,21.309,0.214,0.499
336,21.309,0.214,0.499
337,21.309,0.214,0.499
338,21.309,0.214,0.499
339,21.35,0.214,0.499
340,21.35,0.214,0.499
341,21.35,0.214,0.499
342,21.35,0.214,0.499
343,21.35,0.214,0.499
344,21.35,0.214,0.499
345,21.39,0.214,0.499
346,21.39,0.214,0.499
347,21.39,0.214,0.499
348,21.39,0.214,0.499
349,21.43,0.214,0.499
350,21.43,0.214,0.499
351,21.43,0.214,0.499
352,21.43,0.214,0.499
353,21.43,0.214,0.499
354,21.43,0.214,0.499
355,21.471,0.214,0.499
356,21.471,0.214,0.499
357,21.471,0.214,0.499
358,21.471,0.214,0.499
359,21.511,0.214,0.499
360,21.511,0.214,0.499
361,21.511,0.214,0.499
362,21.511,0.214,0.499
363,21.551,0.214,0.499
364,21.551,0.214,0.499
365,21.551,0.214,0.499
366,21.551,0.214,0.499
367,21.551,0.214,0.499
368,21.551,0.214,0.499
369,21.592,0.214,0.499
370,21.592,0.214,0.499
371,21.592,0.214,0.499
372,21.592,0.214,0.499
373,21.631,0.214,0.499
374,21.631,0.214,0.499
375,21.631,0.214,0.499
376,21.631,0.214,0.499
377,21.631,0.214,0.499
378,21.631,0.214,0.499
379,21.671,0.214,0.499
380,21.671,0.214,0.499
381,21.671,0.214,0.499
382,21.671,0.214,0.499
383,21.711,0.214,0.499
384,21.711,0.214,0.499
385,21.711,0.214,0.499
386,21.711,0.214,0.499
387,21.711,0.214,0.499
388,21.711,0.214,0.499
389,21.753,0.214,0.499
390,21.753,0.214,0.499
391,21.753,0.214,0.499
392,21.753,0.214,0.499
393,21.793000000000006,0.214,0.499
394,21.793000000000006,0.214,0.499
395,21.793000000000006,0.214,0.499
396,21.793000000000006,0.214,0.499
397,21.833,0.214,0.499
398,21.833,0.214,0.499
399,21.833,0.214,0.499
400,21.833,0.214,0.499
401,21.833,0.214,0.499
402,21.833,0.214,0.499
403,21.874,0.214,0.499
404,21.874,0.214,0.499
405,21.874,0.214,0.499
406,21.874,0.214,0.499
407,21.915,0.214,0.499
408,21.915,0.214,0.499
