,time,2dmu,2dmv
0,0.0,0.4970000000000001,0.442
1,0.0,0.4970000000000001,0.442
2,0.0,0.496,0.442
3,0.0,0.496,0.442
4,0.0,0.496,0.442
5,0.0,0.496,0.442
6,0.0,0.496,0.442
7,0.0,0.496,0.442
8,0.0,0.496,0.442
9,0.0,0.496,0.442
10,0.0,0.496,0.442
11,0.0,0.496,0.442
12,0.0,0.496,0.442
13,0.0,0.496,0.442
14,0.0,0.496,0.442
15,0.0,0.496,0.442
16,0.0,0.496,0.442
17,0.0,0.496,0.442
18,0.0,0.496,0.442
19,0.0,0.496,0.442
20,0.0,0.496,0.442
21,0.0,0.496,0.442
22,0.0,0.496,0.443
23,0.0,0.496,0.443
24,0.0,0.496,0.443
25,0.0,0.496,0.443
26,0.0,0.496,0.444
27,0.0,0.496,0.444
28,0.0,0.496,0.444
29,0.0,0.496,0.444
30,0.0,0.496,0.444
31,0.0,0.496,0.444
32,0.0,0.496,0.444
33,0.0,0.496,0.444
34,0.0,0.4970000000000001,0.445
35,0.0,0.4970000000000001,0.445
36,0.0,0.4970000000000001,0.445
37,0.0,0.4970000000000001,0.445
38,0.012,0.4970000000000001,0.445
39,0.012,0.4970000000000001,0.445
40,0.012,0.4970000000000001,0.445
41,0.012,0.4970000000000001,0.445
42,0.012,0.4970000000000001,0.445
43,0.012,0.4970000000000001,0.445
44,0.053,0.4970000000000001,0.444
45,0.053,0.4970000000000001,0.444
46,0.053,0.4970000000000001,0.444
47,0.053,0.4970000000000001,0.444
48,0.093,0.4970000000000001,0.444
49,0.093,0.4970000000000001,0.444
50,0.093,0.4970000000000001,0.444
51,0.093,0.4970000000000001,0.444
52,0.093,0.4970000000000001,0.444
53,0.093,0.4970000000000001,0.444
54,0.133,0.4970000000000001,0.444
55,0.133,0.4970000000000001,0.444
56,0.133,0.4970000000000001,0.444
57,0.133,0.4970000000000001,0.444
58,0.173,0.4970000000000001,0.444
59,0.173,0.4970000000000001,0.444
60,0.215,0.4970000000000001,0.445
61,0.215,0.4970000000000001,0.445
62,0.215,0.498,0.445
63,0.215,0.498,0.445
64,0.215,0.498,0.445
65,0.215,0.498,0.445
66,0.256,0.498,0.445
67,0.256,0.498,0.445
68,0.256,0.498,0.445
69,0.256,0.498,0.445
70,0.297,0.498,0.445
71,0.297,0.498,0.445
72,0.297,0.498,0.445
73,0.297,0.498,0.445
74,0.297,0.498,0.445
75,0.297,0.498,0.445
76,0.338,0.499,0.445
77,0.338,0.499,0.445
78,0.378,0.499,0.445
79,0.378,0.499,0.445
80,0.378,0.499,0.445
81,0.378,0.499,0.445
82,0.42,0.499,0.445
83,0.42,0.499,0.445
84,0.46,0.499,0.445
85,0.46,0.499,0.445
86,0.46,0.499,0.445
87,0.46,0.499,0.445
88,0.46,0.5,0.445
89,0.46,0.5,0.445
90,0.501,0.5,0.445
91,0.501,0.5,0.445
92,0.541,0.5,0.445
93,0.541,0.5,0.445
94,0.541,0.5,0.445
95,0.541,0.5,0.445
96,0.5820000000000001,0.5,0.445
97,0.5820000000000001,0.5,0.445
98,0.5820000000000001,0.5,0.445
99,0.5820000000000001,0.5,0.445
100,0.5820000000000001,0.501,0.445
101,0.5820000000000001,0.501,0.445
102,0.622,0.501,0.445
103,0.622,0.501,0.445
104,0.622,0.501,0.445
