,time,2dmu,2dmv
0,0.0,0.496,0.49
1,0.0,0.496,0.49
2,0.0,0.496,0.49
3,0.0,0.496,0.49
4,0.0,0.496,0.49
5,0.0,0.496,0.49
6,0.0,0.496,0.49
7,0.0,0.496,0.49
8,0.0,0.496,0.49
9,0.0,0.496,0.49
10,0.0,0.496,0.49
11,0.0,0.496,0.49
12,0.0,0.496,0.49
13,0.0,0.496,0.49
14,0.0,0.496,0.49
15,0.0,0.496,0.49
16,0.0,0.496,0.49
17,0.0,0.496,0.49
18,0.0,0.496,0.49
19,0.0,0.496,0.49
20,0.0,0.496,0.49
21,0.0,0.496,0.49
22,0.0,0.496,0.489
23,0.0,0.496,0.489
24,0.0,0.496,0.489
25,0.0,0.496,0.489
26,0.0,0.496,0.489
27,0.0,0.496,0.489
28,0.0,0.496,0.489
29,0.0,0.496,0.489
30,0.0,0.496,0.489
31,0.0,0.496,0.489
32,0.0,0.496,0.489
33,0.0,0.496,0.489
34,0.0,0.496,0.489
35,0.0,0.496,0.489
36,0.0,0.496,0.489
37,0.0,0.496,0.489
38,0.0,0.496,0.489
39,0.0,0.496,0.489
40,0.0,0.496,0.489
41,0.0,0.496,0.489
42,0.0,0.496,0.489
43,0.0,0.496,0.489
44,0.0,0.496,0.49
45,0.0,0.496,0.49
46,0.0,0.496,0.49
47,0.0,0.496,0.49
48,0.0,0.496,0.49
49,0.0,0.496,0.49
50,0.0,0.496,0.49
51,0.0,0.496,0.49
52,0.0,0.496,0.49
53,0.0,0.496,0.49
54,0.0,0.496,0.49
55,0.0,0.496,0.49
56,0.04,0.496,0.49
57,0.04,0.496,0.49
58,0.04,0.496,0.489
59,0.04,0.496,0.489
60,0.04,0.496,0.489
61,0.04,0.496,0.489
62,0.08,0.496,0.489
63,0.08,0.496,0.489
64,0.08,0.495,0.489
65,0.08,0.495,0.489
66,0.122,0.495,0.489
67,0.122,0.495,0.489
68,0.122,0.495,0.489
69,0.122,0.495,0.489
70,0.122,0.495,0.489
71,0.122,0.495,0.489
72,0.162,0.494,0.488
73,0.162,0.494,0.488
74,0.162,0.493,0.488
75,0.162,0.493,0.488
76,0.202,0.493,0.488
77,0.202,0.493,0.488
78,0.202,0.4920000000000001,0.488
79,0.202,0.4920000000000001,0.488
80,0.242,0.491,0.488
