,time,2dmu,2dmv
0,0.0,0.517,0.509
1,0.0,0.517,0.509
2,0.0,0.517,0.509
3,0.0,0.517,0.509
4,0.0,0.517,0.509
5,0.0,0.517,0.509
6,0.0,0.518,0.509
7,0.0,0.518,0.509
8,0.0,0.518,0.509
9,0.0,0.518,0.509
10,0.0,0.518,0.508
11,0.0,0.518,0.508
12,0.0,0.519,0.508
13,0.0,0.519,0.508
14,0.0,0.519,0.508
15,0.0,0.519,0.508
16,0.0,0.519,0.509
17,0.0,0.519,0.509
18,0.0,0.518,0.509
19,0.0,0.518,0.509
20,0.0,0.518,0.509
21,0.0,0.518,0.509
22,0.0,0.518,0.509
23,0.0,0.518,0.509
24,0.0,0.518,0.509
25,0.0,0.518,0.509
26,0.0,0.518,0.509
27,0.0,0.518,0.509
28,0.0,0.519,0.507
29,0.0,0.519,0.507
30,0.0,0.519,0.507
31,0.0,0.519,0.507
32,0.0,0.519,0.508
33,0.0,0.519,0.508
34,0.0,0.519,0.508
35,0.0,0.519,0.508
36,0.0,0.52,0.51
37,0.0,0.52,0.51
38,0.0,0.52,0.51
39,0.0,0.52,0.51
40,0.0,0.52,0.511
41,0.0,0.52,0.511
42,0.0,0.519,0.512
43,0.0,0.519,0.512
44,0.0,0.519,0.512
45,0.0,0.519,0.512
46,0.041,0.518,0.513
47,0.041,0.518,0.513
48,0.041,0.518,0.513
49,0.041,0.518,0.513
50,0.041,0.517,0.514
51,0.041,0.517,0.514
52,0.08199999999999999,0.516,0.514
53,0.08199999999999999,0.516,0.514
54,0.08199999999999999,0.517,0.514
55,0.08199999999999999,0.517,0.514
56,0.123,0.516,0.514
57,0.123,0.516,0.514
58,0.123,0.516,0.514
59,0.123,0.516,0.514
60,0.16399999999999998,0.516,0.514
61,0.16399999999999998,0.516,0.514
62,0.16399999999999998,0.517,0.513
63,0.16399999999999998,0.517,0.513
64,0.16399999999999998,0.518,0.512
65,0.16399999999999998,0.518,0.512
66,0.204,0.519,0.511
67,0.204,0.519,0.511
68,0.204,0.522,0.509
69,0.204,0.522,0.509
70,0.244,0.523,0.509
71,0.244,0.523,0.509
72,0.244,0.526,0.508
73,0.244,0.526,0.508
74,0.244,0.53,0.506
75,0.244,0.53,0.506
76,0.284,0.534,0.506
77,0.284,0.534,0.506
78,0.284,0.534,0.506
79,0.284,0.534,0.506
80,0.325,0.539,0.505
81,0.325,0.539,0.505
82,0.325,0.5429999999999999,0.503
83,0.325,0.5429999999999999,0.503
84,0.325,0.547,0.503
85,0.325,0.547,0.503
86,0.365,0.551,0.502
87,0.365,0.551,0.502
88,0.365,0.551,0.502
89,0.365,0.551,0.502
90,0.406,0.5529999999999999,0.502
91,0.406,0.5529999999999999,0.502
92,0.406,0.555,0.502
93,0.406,0.555,0.502
94,0.447,0.556,0.502
95,0.447,0.556,0.502
96,0.447,0.556,0.502
97,0.447,0.556,0.502
98,0.447,0.556,0.504
99,0.447,0.556,0.504
100,0.488,0.556,0.506
101,0.488,0.556,0.506
102,0.527,0.556,0.506
103,0.527,0.556,0.506
104,0.527,0.556,0.506
105,0.527,0.556,0.506
106,0.527,0.556,0.506
107,0.527,0.556,0.506
108,0.5670000000000001,0.556,0.506
109,0.5670000000000001,0.556,0.506
110,0.5670000000000001,0.557,0.506
111,0.5670000000000001,0.557,0.506
112,0.608,0.557,0.506
113,0.608,0.557,0.506
114,0.608,0.5579999999999999,0.505
