,time,2dmu,2dmv
0,0.0,0.498,0.479
1,0.0,0.498,0.479
2,0.0,0.498,0.479
3,0.0,0.498,0.479
4,0.0,0.498,0.479
5,0.0,0.498,0.479
6,0.0,0.498,0.479
7,0.0,0.498,0.479
8,0.0,0.498,0.48
9,0.0,0.498,0.48
10,0.0,0.498,0.48
11,0.0,0.498,0.48
12,0.0,0.498,0.48
13,0.0,0.498,0.48
14,0.0,0.498,0.48
15,0.0,0.498,0.48
16,0.0,0.498,0.48
17,0.0,0.498,0.48
18,0.0,0.498,0.48
19,0.0,0.498,0.48
20,0.0,0.498,0.48
21,0.0,0.498,0.48
22,0.0,0.498,0.48
23,0.0,0.498,0.48
24,0.0,0.498,0.48
25,0.0,0.498,0.48
26,0.0,0.498,0.48
27,0.0,0.498,0.48
28,0.0,0.498,0.48
29,0.0,0.498,0.48
30,0.0,0.498,0.48
31,0.0,0.498,0.48
32,0.0,0.498,0.48
33,0.0,0.498,0.48
34,0.0,0.498,0.481
35,0.0,0.498,0.481
36,0.0,0.498,0.481
37,0.0,0.498,0.481
38,0.04,0.498,0.48
39,0.04,0.498,0.48
40,0.08,0.498,0.48
41,0.08,0.498,0.48
42,0.08,0.498,0.48
43,0.08,0.498,0.48
44,0.122,0.498,0.48
45,0.122,0.498,0.48
46,0.122,0.498,0.48
47,0.122,0.498,0.48
48,0.122,0.498,0.48
49,0.122,0.498,0.48
50,0.162,0.498,0.48
51,0.162,0.498,0.48
52,0.162,0.498,0.48
53,0.162,0.498,0.48
54,0.202,0.498,0.48
55,0.202,0.498,0.48
56,0.202,0.498,0.48
57,0.202,0.498,0.48
58,0.202,0.498,0.48
59,0.202,0.498,0.48
60,0.242,0.498,0.48
61,0.242,0.498,0.48
62,0.242,0.498,0.48
63,0.242,0.498,0.48
64,0.282,0.498,0.48
65,0.282,0.498,0.48
66,0.282,0.498,0.48
67,0.282,0.498,0.48
68,0.282,0.498,0.479
69,0.282,0.498,0.479
70,0.32299999999999995,0.498,0.479
71,0.32299999999999995,0.498,0.479
72,0.32299999999999995,0.498,0.479
73,0.32299999999999995,0.498,0.479
74,0.363,0.498,0.479
75,0.363,0.498,0.479
76,0.363,0.498,0.479
77,0.363,0.498,0.479
78,0.403,0.498,0.479
79,0.403,0.498,0.479
80,0.403,0.498,0.478
81,0.403,0.498,0.478
82,0.403,0.498,0.478
83,0.403,0.498,0.478
84,0.444,0.4970000000000001,0.477
85,0.444,0.4970000000000001,0.477
86,0.444,0.4970000000000001,0.477
87,0.444,0.4970000000000001,0.477
88,0.486,0.4970000000000001,0.476
89,0.486,0.4970000000000001,0.476
90,0.486,0.4970000000000001,0.474
91,0.486,0.4970000000000001,0.474
92,0.486,0.4970000000000001,0.471
93,0.486,0.4970000000000001,0.471
94,0.526,0.498,0.468
95,0.526,0.498,0.468
96,0.526,0.498,0.468
97,0.526,0.498,0.468
98,0.5660000000000001,0.4970000000000001,0.466
99,0.5660000000000001,0.4970000000000001,0.466
100,0.5660000000000001,0.4970000000000001,0.462
101,0.5660000000000001,0.4970000000000001,0.462
102,0.5660000000000001,0.4970000000000001,0.458
103,0.5660000000000001,0.4970000000000001,0.458
104,0.607,0.4970000000000001,0.454
105,0.607,0.4970000000000001,0.454
106,0.607,0.4970000000000001,0.454
107,0.607,0.4970000000000001,0.454
108,0.647,0.4970000000000001,0.449
109,0.647,0.4970000000000001,0.449
