,time,2dmu,2dmv
0,0.0,0.495,0.487
1,0.0,0.495,0.487
2,0.0,0.495,0.485
3,0.0,0.495,0.485
4,0.0,0.495,0.485
5,0.0,0.495,0.485
6,0.0,0.494,0.48
7,0.0,0.494,0.48
8,0.0,0.493,0.48
9,0.0,0.493,0.48
10,0.0,0.493,0.481
11,0.0,0.493,0.481
12,0.0,0.493,0.482
13,0.0,0.493,0.482
14,0.0,0.493,0.482
15,0.0,0.493,0.482
16,0.0,0.493,0.483
17,0.0,0.493,0.483
18,0.0,0.493,0.485
19,0.0,0.493,0.485
20,0.0,0.493,0.485
21,0.0,0.493,0.485
22,0.0,0.494,0.489
23,0.0,0.494,0.489
24,0.0,0.494,0.491
25,0.0,0.494,0.491
26,0.0,0.494,0.491
27,0.0,0.494,0.491
28,0.0,0.494,0.4920000000000001
29,0.0,0.494,0.4920000000000001
30,0.0,0.495,0.493
31,0.0,0.495,0.493
32,0.0,0.495,0.493
33,0.0,0.495,0.493
34,0.0,0.495,0.494
35,0.0,0.495,0.494
36,0.0,0.495,0.494
37,0.0,0.495,0.494
38,0.0,0.496,0.495
39,0.0,0.496,0.495
40,0.0,0.496,0.494
41,0.0,0.496,0.494
42,0.0,0.496,0.494
43,0.0,0.496,0.494
44,0.0,0.4970000000000001,0.494
45,0.0,0.4970000000000001,0.494
46,0.01,0.4970000000000001,0.494
47,0.01,0.4970000000000001,0.494
48,0.01,0.4970000000000001,0.493
49,0.01,0.4970000000000001,0.493
50,0.01,0.4970000000000001,0.493
51,0.01,0.4970000000000001,0.493
52,0.051,0.4970000000000001,0.493
53,0.051,0.4970000000000001,0.493
54,0.051,0.4970000000000001,0.493
55,0.051,0.4970000000000001,0.493
56,0.092,0.496,0.4920000000000001
57,0.092,0.496,0.4920000000000001
58,0.092,0.496,0.4920000000000001
59,0.092,0.496,0.4920000000000001
60,0.131,0.495,0.491
61,0.131,0.495,0.491
62,0.131,0.495,0.491
63,0.131,0.495,0.491
64,0.131,0.495,0.491
65,0.131,0.495,0.491
66,0.172,0.494,0.491
67,0.172,0.494,0.491
68,0.172,0.494,0.491
69,0.172,0.494,0.491
70,0.213,0.494,0.491
71,0.213,0.494,0.491
72,0.213,0.494,0.491
73,0.213,0.494,0.491
74,0.213,0.494,0.491
75,0.213,0.494,0.491
76,0.253,0.493,0.491
77,0.253,0.493,0.491
78,0.253,0.493,0.49
79,0.253,0.493,0.49
80,0.293,0.493,0.49
81,0.293,0.493,0.49
82,0.293,0.493,0.49
83,0.293,0.493,0.49
84,0.333,0.493,0.49
85,0.333,0.493,0.49
86,0.333,0.493,0.49
87,0.333,0.493,0.49
88,0.333,0.491,0.49
89,0.333,0.491,0.49
90,0.374,0.489,0.489
91,0.374,0.489,0.489
92,0.374,0.489,0.489
93,0.374,0.489,0.489
94,0.414,0.487,0.488
95,0.414,0.487,0.488
96,0.414,0.484,0.486
97,0.414,0.484,0.486
98,0.414,0.482,0.485
99,0.414,0.482,0.485
100,0.454,0.482,0.485
101,0.454,0.482,0.485
102,0.454,0.479,0.484
103,0.454,0.479,0.484
104,0.494,0.477,0.483
105,0.494,0.477,0.483
106,0.494,0.475,0.482
107,0.494,0.475,0.482
108,0.494,0.474,0.48
109,0.494,0.474,0.48
110,0.534,0.474,0.48
111,0.534,0.474,0.48
112,0.534,0.472,0.477
113,0.534,0.472,0.477
114,0.575,0.471,0.475
115,0.575,0.471,0.475
116,0.575,0.469,0.472
117,0.575,0.469,0.472
118,0.615,0.469,0.472
119,0.615,0.469,0.472
120,0.615,0.468,0.467
121,0.615,0.468,0.467
122,0.615,0.468,0.467
123,0.615,0.468,0.467
124,0.655,0.468,0.464
125,0.655,0.468,0.464
126,0.655,0.467,0.46
127,0.655,0.467,0.46
128,0.696,0.466,0.456
129,0.696,0.466,0.456
130,0.696,0.466,0.456
131,0.696,0.466,0.456
132,0.696,0.465,0.453
133,0.696,0.465,0.453
134,0.736,0.465,0.45
135,0.736,0.465,0.45
136,0.736,0.464,0.448
137,0.736,0.464,0.448
138,0.7759999999999999,0.464,0.446
139,0.7759999999999999,0.464,0.446
140,0.7759999999999999,0.464,0.446
141,0.7759999999999999,0.464,0.446
142,0.816,0.464,0.444
143,0.816,0.464,0.444
144,0.816,0.464,0.442
145,0.816,0.464,0.442
146,0.816,0.464,0.441
147,0.816,0.464,0.441
148,0.856,0.464,0.441
149,0.856,0.464,0.441
150,0.856,0.465,0.44
151,0.856,0.465,0.44
152,0.8959999999999999,0.465,0.44
153,0.8959999999999999,0.465,0.44
154,0.8959999999999999,0.465,0.441
155,0.8959999999999999,0.465,0.441
156,0.8959999999999999,0.465,0.441
157,0.8959999999999999,0.465,0.441
158,0.938,0.465,0.441
159,0.938,0.465,0.441
160,0.938,0.466,0.441
161,0.938,0.466,0.441
162,0.978,0.466,0.441
163,0.978,0.466,0.441
164,0.978,0.466,0.441
165,0.978,0.466,0.441
166,0.978,0.466,0.441
167,0.978,0.466,0.441
168,1.018,0.466,0.441
169,1.018,0.466,0.441
170,1.018,0.466,0.441
171,1.018,0.466,0.441
172,1.058,0.465,0.441
173,1.058,0.465,0.441
174,1.058,0.465,0.442
175,1.058,0.465,0.442
176,1.097,0.464,0.443
177,1.097,0.464,0.443
178,1.097,0.464,0.444
179,1.097,0.464,0.444
180,1.097,0.464,0.444
181,1.097,0.464,0.444
182,1.138,0.463,0.445
183,1.138,0.463,0.445
184,1.138,0.462,0.445
185,1.138,0.462,0.445
186,1.178,0.462,0.446
187,1.178,0.462,0.446
188,1.178,0.462,0.446
189,1.178,0.462,0.446
190,1.178,0.461,0.447
191,1.178,0.461,0.447
192,1.22,0.46,0.447
193,1.22,0.46,0.447
194,1.22,0.46,0.447
195,1.22,0.46,0.447
196,1.26,0.46,0.447
197,1.26,0.46,0.447
198,1.26,0.46,0.447
199,1.26,0.46,0.447
200,1.3,0.459,0.447
201,1.3,0.459,0.447
202,1.3,0.459,0.447
203,1.3,0.459,0.447
204,1.3,0.458,0.447
205,1.3,0.458,0.447
206,1.341,0.458,0.447
207,1.341,0.458,0.447
208,1.341,0.458,0.447
209,1.341,0.458,0.447
210,1.382,0.458,0.447
211,1.382,0.458,0.447
212,1.382,0.458,0.446
213,1.382,0.458,0.446
214,1.382,0.458,0.446
215,1.382,0.458,0.446
216,1.422,0.458,0.446
217,1.422,0.458,0.446
218,1.422,0.458,0.446
219,1.422,0.458,0.446
220,1.462,0.458,0.446
221,1.462,0.458,0.446
222,1.462,0.458,0.446
223,1.462,0.458,0.446
224,1.462,0.458,0.445
225,1.462,0.458,0.445
226,1.503,0.458,0.445
227,1.503,0.458,0.445
228,1.503,0.458,0.445
229,1.503,0.458,0.445
230,1.544,0.458,0.445
231,1.544,0.458,0.445
232,1.544,0.458,0.444
233,1.544,0.458,0.444
234,1.584,0.459,0.444
235,1.584,0.459,0.444
236,1.584,0.459,0.444
237,1.584,0.459,0.444
238,1.584,0.46,0.443
239,1.584,0.46,0.443
240,1.624,0.462,0.443
241,1.624,0.462,0.443
242,1.624,0.464,0.443
243,1.624,0.464,0.443
244,1.664,0.466,0.443
245,1.664,0.466,0.443
246,1.664,0.466,0.443
247,1.664,0.466,0.443
248,1.664,0.466,0.443
249,1.664,0.466,0.443
250,1.704,0.467,0.442
251,1.704,0.467,0.442
252,1.704,0.469,0.443
253,1.704,0.469,0.443
254,1.745,0.471,0.442
255,1.745,0.471,0.442
256,1.745,0.471,0.442
257,1.745,0.471,0.442
258,1.745,0.472,0.442
259,1.745,0.472,0.442
260,1.785,0.474,0.442
261,1.785,0.474,0.442
262,1.785,0.475,0.442
263,1.785,0.475,0.442
264,1.825,0.476,0.442
265,1.825,0.476,0.442
266,1.825,0.476,0.442
267,1.825,0.476,0.442
268,1.865,0.477,0.442
269,1.865,0.477,0.442
270,1.865,0.477,0.442
271,1.865,0.477,0.442
272,1.865,0.478,0.442
273,1.865,0.478,0.442
274,1.906,0.478,0.442
275,1.906,0.478,0.442
276,1.906,0.478,0.442
277,1.906,0.478,0.442
278,1.946,0.478,0.442
279,1.946,0.478,0.442
280,1.946,0.478,0.442
281,1.946,0.478,0.442
282,1.946,0.478,0.442
283,1.946,0.478,0.442
284,1.987,0.478,0.442
285,1.987,0.478,0.442
286,1.987,0.478,0.442
287,1.987,0.478,0.442
288,2.027,0.478,0.442
289,2.027,0.478,0.442
290,2.027,0.478,0.443
291,2.027,0.478,0.443
292,2.067,0.478,0.443
293,2.067,0.478,0.443
294,2.067,0.477,0.443
295,2.067,0.477,0.443
296,2.067,0.477,0.443
297,2.067,0.477,0.443
298,2.108,0.477,0.443
299,2.108,0.477,0.443
300,2.108,0.476,0.443
301,2.108,0.476,0.443
302,2.149,0.476,0.443
303,2.149,0.476,0.443
304,2.149,0.475,0.443
305,2.149,0.475,0.443
306,2.149,0.475,0.443
307,2.149,0.475,0.443
308,2.189,0.475,0.443
309,2.189,0.475,0.443
310,2.189,0.474,0.443
311,2.189,0.474,0.443
312,2.229,0.474,0.443
313,2.229,0.474,0.443
314,2.229,0.473,0.443
315,2.229,0.473,0.443
316,2.229,0.473,0.443
317,2.229,0.473,0.443
318,2.269,0.473,0.443
319,2.269,0.473,0.443
320,2.269,0.472,0.443
321,2.269,0.472,0.443
322,2.31,0.472,0.443
323,2.31,0.472,0.443
324,2.31,0.472,0.443
325,2.31,0.472,0.443
326,2.35,0.472,0.443
327,2.35,0.472,0.443
328,2.35,0.472,0.443
329,2.35,0.472,0.443
330,2.35,0.472,0.443
331,2.35,0.472,0.443
332,2.389,0.472,0.443
333,2.389,0.472,0.443
334,2.389,0.472,0.443
335,2.389,0.472,0.443
336,2.43,0.471,0.443
337,2.43,0.471,0.443
338,2.43,0.471,0.443
339,2.43,0.471,0.443
340,2.43,0.471,0.443
341,2.43,0.471,0.443
342,2.471,0.471,0.443
343,2.471,0.471,0.443
344,2.471,0.471,0.443
345,2.471,0.471,0.443
346,2.511,0.471,0.444
347,2.511,0.471,0.444
348,2.511,0.471,0.444
349,2.511,0.471,0.444
350,2.511,0.471,0.444
351,2.511,0.471,0.444
352,2.551,0.471,0.444
353,2.551,0.471,0.444
354,2.551,0.471,0.444
355,2.551,0.471,0.444
356,2.591,0.47,0.445
357,2.591,0.47,0.445
358,2.591,0.469,0.446
359,2.591,0.469,0.446
360,2.632,0.469,0.446
361,2.632,0.469,0.446
362,2.632,0.469,0.447
363,2.632,0.469,0.447
364,2.632,0.469,0.448
365,2.632,0.469,0.448
366,2.673,0.468,0.448
367,2.673,0.468,0.448
368,2.673,0.468,0.448
369,2.673,0.468,0.448
370,2.713,0.468,0.448
371,2.713,0.468,0.448
372,2.713,0.468,0.448
373,2.713,0.468,0.448
374,2.713,0.468,0.448
375,2.713,0.468,0.448
376,2.754,0.467,0.448
377,2.754,0.467,0.448
378,2.754,0.467,0.448
379,2.754,0.467,0.448
380,2.795,0.467,0.448
381,2.795,0.467,0.448
382,2.795,0.467,0.448
383,2.795,0.467,0.448
384,2.795,0.467,0.448
385,2.795,0.467,0.448
386,2.8360000000000003,0.467,0.448
387,2.8360000000000003,0.467,0.448
388,2.8360000000000003,0.467,0.448
389,2.8360000000000003,0.467,0.448
390,2.877,0.467,0.448
391,2.877,0.467,0.448
392,2.877,0.467,0.448
393,2.877,0.467,0.448
394,2.877,0.467,0.448
395,2.877,0.467,0.448
396,2.918,0.467,0.448
397,2.918,0.467,0.448
398,2.918,0.468,0.448
399,2.918,0.468,0.448
400,2.958,0.468,0.448
401,2.958,0.468,0.448
402,2.958,0.468,0.448
403,2.958,0.468,0.448
404,2.998,0.468,0.447
405,2.998,0.468,0.447
406,2.998,0.468,0.447
407,2.998,0.468,0.447
408,2.998,0.468,0.447
409,2.998,0.468,0.447
410,3.0380000000000003,0.467,0.447
411,3.0380000000000003,0.467,0.447
412,3.0380000000000003,0.467,0.447
413,3.0380000000000003,0.467,0.447
414,3.0780000000000003,0.467,0.447
415,3.0780000000000003,0.467,0.447
416,3.0780000000000003,0.467,0.447
417,3.0780000000000003,0.467,0.447
418,3.0780000000000003,0.467,0.448
419,3.0780000000000003,0.467,0.448
420,3.119,0.467,0.448
421,3.119,0.467,0.448
422,3.119,0.467,0.448
423,3.119,0.467,0.448
424,3.159,0.467,0.448
425,3.159,0.467,0.448
426,3.159,0.467,0.448
427,3.159,0.467,0.448
428,3.198,0.467,0.448
429,3.198,0.467,0.448
430,3.198,0.467,0.448
431,3.198,0.467,0.448
432,3.198,0.466,0.448
433,3.198,0.466,0.448
434,3.24,0.466,0.448
435,3.24,0.466,0.448
436,3.24,0.466,0.448
437,3.24,0.466,0.448
438,3.281,0.466,0.448
439,3.281,0.466,0.448
440,3.281,0.466,0.448
441,3.281,0.466,0.448
442,3.281,0.466,0.447
443,3.281,0.466,0.447
