,time,2dmu,2dmv
0,0.0,0.499,0.504
1,0.0,0.499,0.504
2,0.0,0.499,0.504
3,0.0,0.499,0.504
4,0.0,0.499,0.504
5,0.0,0.499,0.504
6,0.0,0.499,0.503
7,0.0,0.499,0.503
8,0.0,0.499,0.503
9,0.0,0.499,0.503
10,0.0,0.499,0.502
11,0.0,0.499,0.502
12,0.0,0.499,0.502
13,0.0,0.499,0.502
14,0.0,0.499,0.501
15,0.0,0.499,0.501
16,0.0,0.498,0.501
17,0.0,0.498,0.501
18,0.0,0.498,0.501
19,0.0,0.498,0.501
20,0.0,0.498,0.5
21,0.0,0.498,0.5
22,0.0,0.498,0.5
23,0.0,0.498,0.5
24,0.0,0.498,0.5
25,0.0,0.498,0.5
26,0.0,0.498,0.5
27,0.0,0.498,0.5
28,0.0,0.498,0.5
29,0.0,0.498,0.5
30,0.0,0.498,0.5
31,0.0,0.498,0.5
32,0.0,0.498,0.5
33,0.0,0.498,0.5
34,0.0,0.498,0.499
35,0.0,0.498,0.499
36,0.0,0.498,0.499
37,0.0,0.498,0.499
38,0.0,0.498,0.499
39,0.0,0.498,0.499
40,0.0,0.498,0.499
41,0.0,0.498,0.499
42,0.0,0.498,0.499
43,0.0,0.498,0.499
44,0.0,0.498,0.499
45,0.0,0.498,0.499
46,0.012,0.498,0.498
47,0.012,0.498,0.498
48,0.012,0.498,0.498
49,0.012,0.498,0.498
50,0.012,0.498,0.498
51,0.012,0.498,0.498
52,0.053,0.498,0.498
53,0.053,0.498,0.498
54,0.053,0.498,0.498
55,0.053,0.498,0.498
56,0.093,0.498,0.498
57,0.093,0.498,0.498
58,0.093,0.498,0.498
59,0.093,0.498,0.498
60,0.093,0.498,0.498
61,0.093,0.498,0.498
62,0.135,0.498,0.498
63,0.135,0.498,0.498
64,0.135,0.498,0.498
65,0.135,0.498,0.498
66,0.175,0.498,0.498
67,0.175,0.498,0.498
68,0.175,0.498,0.498
69,0.175,0.498,0.498
70,0.21600000000000005,0.498,0.498
71,0.21600000000000005,0.498,0.498
72,0.21600000000000005,0.498,0.498
73,0.21600000000000005,0.498,0.498
74,0.21600000000000005,0.498,0.498
75,0.21600000000000005,0.498,0.498
76,0.256,0.498,0.498
77,0.256,0.498,0.498
78,0.256,0.498,0.498
79,0.256,0.498,0.498
80,0.29600000000000004,0.498,0.4970000000000001
81,0.29600000000000004,0.498,0.4970000000000001
82,0.29600000000000004,0.498,0.4970000000000001
83,0.29600000000000004,0.498,0.4970000000000001
84,0.29600000000000004,0.498,0.4970000000000001
85,0.29600000000000004,0.498,0.4970000000000001
86,0.336,0.498,0.4970000000000001
87,0.336,0.498,0.4970000000000001
88,0.336,0.498,0.4970000000000001
89,0.336,0.498,0.4970000000000001
90,0.377,0.498,0.4970000000000001
91,0.377,0.498,0.4970000000000001
92,0.377,0.498,0.4970000000000001
93,0.377,0.498,0.4970000000000001
94,0.416,0.498,0.4970000000000001
95,0.416,0.498,0.4970000000000001
96,0.416,0.498,0.4970000000000001
97,0.416,0.498,0.4970000000000001
98,0.416,0.498,0.4970000000000001
99,0.416,0.498,0.4970000000000001
100,0.456,0.498,0.4970000000000001
101,0.456,0.498,0.4970000000000001
102,0.456,0.498,0.4970000000000001
103,0.456,0.498,0.4970000000000001
104,0.496,0.498,0.4970000000000001
105,0.496,0.498,0.4970000000000001
106,0.496,0.498,0.496
107,0.496,0.498,0.496
108,0.496,0.498,0.496
109,0.496,0.498,0.496
110,0.536,0.498,0.496
111,0.536,0.498,0.496
112,0.536,0.498,0.496
113,0.536,0.498,0.496
114,0.5760000000000001,0.498,0.496
115,0.5760000000000001,0.498,0.496
116,0.5760000000000001,0.498,0.496
117,0.5760000000000001,0.498,0.496
118,0.616,0.498,0.496
119,0.616,0.498,0.496
120,0.616,0.498,0.496
121,0.616,0.498,0.496
122,0.616,0.498,0.496
123,0.616,0.498,0.496
124,0.6559999999999999,0.498,0.496
125,0.6559999999999999,0.498,0.496
126,0.6559999999999999,0.498,0.496
127,0.6559999999999999,0.498,0.496
128,0.6970000000000001,0.498,0.496
129,0.6970000000000001,0.498,0.496
130,0.6970000000000001,0.498,0.496
131,0.6970000000000001,0.498,0.496
132,0.6970000000000001,0.498,0.496
133,0.6970000000000001,0.498,0.496
134,0.738,0.498,0.496
135,0.738,0.498,0.496
136,0.738,0.498,0.496
137,0.738,0.498,0.496
138,0.778,0.498,0.496
139,0.778,0.498,0.496
140,0.778,0.498,0.496
141,0.778,0.498,0.496
142,0.778,0.498,0.496
143,0.778,0.498,0.496
144,0.818,0.498,0.496
145,0.818,0.498,0.496
146,0.818,0.498,0.496
147,0.818,0.498,0.496
148,0.858,0.498,0.496
149,0.858,0.498,0.496
150,0.858,0.498,0.496
151,0.858,0.498,0.496
152,0.9,0.498,0.496
153,0.9,0.498,0.496
154,0.9,0.498,0.496
155,0.9,0.498,0.496
156,0.9,0.498,0.496
157,0.9,0.498,0.496
158,0.941,0.498,0.496
159,0.941,0.498,0.496
160,0.941,0.498,0.496
161,0.941,0.498,0.496
162,0.982,0.498,0.496
163,0.982,0.498,0.496
164,0.982,0.498,0.496
165,0.982,0.498,0.496
166,0.982,0.498,0.496
167,0.982,0.498,0.496
168,1.022,0.498,0.495
169,1.022,0.498,0.495
170,1.022,0.498,0.495
171,1.022,0.498,0.495
172,1.063,0.498,0.495
173,1.063,0.498,0.495
174,1.063,0.498,0.495
175,1.063,0.498,0.495
176,1.063,0.498,0.495
177,1.063,0.498,0.495
178,1.104,0.498,0.495
179,1.104,0.498,0.495
180,1.104,0.498,0.495
181,1.104,0.498,0.495
182,1.145,0.498,0.495
183,1.145,0.498,0.495
184,1.145,0.498,0.495
185,1.145,0.498,0.495
186,1.1840000000000002,0.498,0.495
187,1.1840000000000002,0.498,0.495
188,1.1840000000000002,0.498,0.495
189,1.1840000000000002,0.498,0.495
190,1.224,0.498,0.495
191,1.224,0.498,0.495
192,1.224,0.498,0.495
193,1.224,0.498,0.495
194,1.265,0.498,0.495
195,1.265,0.498,0.495
196,1.265,0.498,0.495
197,1.265,0.498,0.495
198,1.265,0.498,0.495
199,1.265,0.498,0.495
200,1.306,0.498,0.494
201,1.306,0.498,0.494
202,1.306,0.498,0.494
203,1.306,0.498,0.494
204,1.347,0.498,0.494
205,1.347,0.498,0.494
206,1.347,0.498,0.494
207,1.347,0.498,0.494
208,1.347,0.498,0.494
209,1.347,0.498,0.494
210,1.3869999999999998,0.498,0.494
211,1.3869999999999998,0.498,0.494
212,1.3869999999999998,0.498,0.494
213,1.3869999999999998,0.498,0.494
214,1.4269999999999998,0.498,0.494
215,1.4269999999999998,0.498,0.494
216,1.467,0.498,0.494
217,1.467,0.498,0.494
218,1.467,0.498,0.494
219,1.467,0.498,0.494
220,1.467,0.498,0.494
221,1.467,0.498,0.494
222,1.508,0.498,0.494
223,1.508,0.498,0.494
224,1.508,0.498,0.494
225,1.508,0.498,0.494
226,1.548,0.498,0.494
227,1.548,0.498,0.494
228,1.548,0.498,0.494
229,1.548,0.498,0.494
230,1.548,0.498,0.494
231,1.548,0.498,0.494
232,1.588,0.498,0.494
233,1.588,0.498,0.494
234,1.588,0.498,0.494
235,1.588,0.498,0.494
236,1.628,0.498,0.494
237,1.628,0.498,0.494
238,1.628,0.499,0.494
239,1.628,0.499,0.494
240,1.628,0.499,0.494
241,1.628,0.499,0.494
242,1.668,0.499,0.494
243,1.668,0.499,0.494
244,1.709,0.499,0.494
245,1.709,0.499,0.494
246,1.709,0.499,0.494
247,1.709,0.499,0.494
248,1.749,0.499,0.494
249,1.749,0.499,0.494
250,1.749,0.499,0.494
251,1.749,0.499,0.494
252,1.749,0.499,0.494
253,1.749,0.499,0.494
254,1.789,0.499,0.494
255,1.789,0.499,0.494
256,1.83,0.499,0.494
257,1.83,0.499,0.494
258,1.83,0.499,0.494
259,1.83,0.499,0.494
260,1.869,0.499,0.494
261,1.869,0.499,0.494
262,1.869,0.499,0.494
263,1.869,0.499,0.494
264,1.909,0.499,0.494
265,1.909,0.499,0.494
266,1.909,0.499,0.494
267,1.909,0.499,0.494
268,1.95,0.499,0.495
269,1.95,0.499,0.495
270,1.95,0.499,0.495
271,1.95,0.499,0.495
272,1.991,0.499,0.494
273,1.991,0.499,0.494
274,1.991,0.499,0.494
275,1.991,0.499,0.494
276,2.032,0.499,0.494
277,2.032,0.499,0.494
