,time,2dmu,2dmv
0,0.0,0.511,0.525
1,0.0,0.511,0.525
2,0.0,0.511,0.525
3,0.0,0.511,0.525
4,0.0,0.511,0.525
5,0.0,0.511,0.525
6,0.0,0.511,0.525
7,0.0,0.511,0.525
8,0.0,0.511,0.525
9,0.0,0.511,0.525
10,0.0,0.511,0.525
11,0.0,0.511,0.525
12,0.0,0.512,0.525
13,0.0,0.512,0.525
14,0.0,0.512,0.525
15,0.0,0.512,0.525
16,0.0,0.512,0.525
17,0.0,0.512,0.525
18,0.0,0.512,0.525
19,0.0,0.512,0.525
20,0.0,0.512,0.525
21,0.0,0.512,0.525
22,0.0,0.512,0.525
23,0.0,0.512,0.525
24,0.0,0.512,0.525
25,0.0,0.512,0.525
26,0.0,0.512,0.525
27,0.0,0.512,0.525
28,0.0,0.512,0.525
29,0.0,0.512,0.525
30,0.0,0.512,0.526
31,0.0,0.512,0.526
32,0.0,0.512,0.526
33,0.0,0.512,0.526
34,0.0,0.512,0.526
35,0.0,0.512,0.526
36,0.0,0.512,0.526
37,0.0,0.512,0.526
38,0.0,0.512,0.526
39,0.0,0.512,0.526
40,0.0,0.512,0.526
41,0.0,0.512,0.526
42,0.0,0.512,0.526
43,0.0,0.512,0.526
44,0.0,0.512,0.527
45,0.0,0.512,0.527
46,0.0,0.512,0.527
47,0.0,0.512,0.527
48,0.0,0.512,0.527
49,0.0,0.512,0.527
50,0.0,0.512,0.527
51,0.0,0.512,0.527
52,0.0,0.512,0.527
53,0.0,0.512,0.527
54,0.0,0.512,0.527
55,0.0,0.512,0.527
56,0.0,0.512,0.527
57,0.0,0.512,0.527
58,0.041,0.512,0.527
59,0.041,0.512,0.527
60,0.041,0.512,0.527
61,0.041,0.512,0.527
62,0.041,0.512,0.527
63,0.041,0.512,0.527
64,0.081,0.512,0.527
65,0.081,0.512,0.527
66,0.081,0.512,0.527
67,0.081,0.512,0.527
68,0.121,0.513,0.527
69,0.121,0.513,0.527
70,0.121,0.513,0.527
71,0.121,0.513,0.527
72,0.162,0.513,0.527
73,0.162,0.513,0.527
74,0.162,0.513,0.527
75,0.162,0.513,0.527
76,0.162,0.513,0.527
77,0.162,0.513,0.527
78,0.204,0.513,0.527
79,0.204,0.513,0.527
80,0.204,0.513,0.527
81,0.204,0.513,0.527
82,0.244,0.513,0.527
83,0.244,0.513,0.527
84,0.244,0.513,0.527
85,0.244,0.513,0.527
86,0.244,0.513,0.528
87,0.244,0.513,0.528
88,0.284,0.513,0.528
89,0.284,0.513,0.528
90,0.284,0.513,0.528
91,0.284,0.513,0.528
92,0.325,0.513,0.528
93,0.325,0.513,0.528
94,0.325,0.513,0.528
95,0.325,0.513,0.528
96,0.325,0.513,0.528
97,0.325,0.513,0.528
98,0.364,0.513,0.528
99,0.364,0.513,0.528
100,0.364,0.513,0.529
101,0.364,0.513,0.529
102,0.405,0.513,0.529
103,0.405,0.513,0.529
104,0.405,0.513,0.529
105,0.405,0.513,0.529
106,0.446,0.513,0.529
107,0.446,0.513,0.529
108,0.446,0.513,0.529
109,0.446,0.513,0.529
110,0.446,0.513,0.529
111,0.446,0.513,0.529
112,0.486,0.513,0.529
113,0.486,0.513,0.529
114,0.486,0.513,0.529
115,0.486,0.513,0.529
116,0.526,0.513,0.529
117,0.526,0.513,0.529
118,0.526,0.513,0.529
119,0.526,0.513,0.529
120,0.526,0.513,0.529
121,0.526,0.513,0.529
122,0.5670000000000001,0.513,0.529
123,0.5670000000000001,0.513,0.529
124,0.5670000000000001,0.513,0.529
125,0.5670000000000001,0.513,0.529
126,0.608,0.513,0.53
127,0.608,0.513,0.53
128,0.608,0.513,0.53
129,0.608,0.513,0.53
130,0.608,0.513,0.53
131,0.608,0.513,0.53
132,0.648,0.513,0.53
133,0.648,0.513,0.53
134,0.648,0.513,0.53
135,0.648,0.513,0.53
136,0.6890000000000001,0.514,0.53
137,0.6890000000000001,0.514,0.53
138,0.6890000000000001,0.514,0.53
139,0.6890000000000001,0.514,0.53
140,0.7290000000000001,0.514,0.53
141,0.7290000000000001,0.514,0.53
142,0.7290000000000001,0.514,0.53
143,0.7290000000000001,0.514,0.53
144,0.7290000000000001,0.514,0.53
145,0.7290000000000001,0.514,0.53
146,0.77,0.514,0.531
147,0.77,0.514,0.531
148,0.77,0.514,0.531
149,0.77,0.514,0.531
150,0.81,0.514,0.531
151,0.81,0.514,0.531
152,0.81,0.514,0.531
153,0.81,0.514,0.531
154,0.81,0.514,0.531
155,0.81,0.514,0.531
156,0.85,0.514,0.531
157,0.85,0.514,0.531
158,0.85,0.514,0.531
159,0.85,0.514,0.531
160,0.8909999999999999,0.514,0.531
161,0.8909999999999999,0.514,0.531
162,0.8909999999999999,0.514,0.531
163,0.8909999999999999,0.514,0.531
164,0.93,0.514,0.531
165,0.93,0.514,0.531
166,0.93,0.514,0.531
167,0.93,0.514,0.531
168,0.93,0.514,0.531
169,0.93,0.514,0.531
170,0.971,0.514,0.531
171,0.971,0.514,0.531
172,0.971,0.514,0.531
173,0.971,0.514,0.531
174,1.011,0.514,0.531
175,1.011,0.514,0.531
176,1.011,0.514,0.531
177,1.011,0.514,0.531
178,1.011,0.514,0.532
179,1.011,0.514,0.532
180,1.052,0.514,0.532
181,1.052,0.514,0.532
182,1.052,0.514,0.532
183,1.052,0.514,0.532
184,1.092,0.514,0.532
185,1.092,0.514,0.532
186,1.092,0.514,0.532
187,1.092,0.514,0.532
188,1.092,0.514,0.532
189,1.092,0.514,0.532
190,1.133,0.514,0.5329999999999999
191,1.133,0.514,0.5329999999999999
192,1.133,0.514,0.5329999999999999
193,1.133,0.514,0.5329999999999999
194,1.173,0.514,0.5329999999999999
195,1.173,0.514,0.5329999999999999
196,1.173,0.514,0.5329999999999999
197,1.173,0.514,0.5329999999999999
198,1.213,0.514,0.5329999999999999
199,1.213,0.514,0.5329999999999999
200,1.213,0.514,0.5329999999999999
