,time,2dmu,2dmv
0,0.0,0.312,0.537
1,0.0,0.312,0.537
2,0.0,0.322,0.534
3,0.0,0.322,0.534
4,0.0,0.322,0.534
5,0.0,0.322,0.534
6,0.0,0.332,0.529
7,0.0,0.332,0.529
8,0.0,0.35100000000000003,0.523
9,0.0,0.35100000000000003,0.523
10,0.0,0.35100000000000003,0.523
11,0.0,0.368,0.519
12,0.0,0.368,0.519
13,0.0,0.35100000000000003,0.523
14,0.0,0.376,0.518
15,0.0,0.376,0.518
16,0.0,0.376,0.518
17,0.0,0.376,0.518
18,0.0,0.392,0.516
19,0.0,0.392,0.516
20,0.0,0.392,0.516
21,0.0,0.392,0.516
22,0.0,0.399,0.515
23,0.0,0.399,0.515
24,0.0,0.399,0.515
25,0.0,0.399,0.515
26,0.0,0.419,0.51
27,0.0,0.419,0.51
28,0.0,0.419,0.51
29,0.0,0.419,0.51
30,0.0,0.445,0.499
31,0.0,0.445,0.499
32,0.0,0.445,0.499
33,0.0,0.445,0.499
34,0.0,0.453,0.4920000000000001
35,0.0,0.453,0.4920000000000001
36,0.0,0.453,0.4920000000000001
37,0.0,0.453,0.4920000000000001
38,0.0,0.457,0.4920000000000001
39,0.0,0.457,0.4920000000000001
40,0.0,0.457,0.4920000000000001
41,0.0,0.457,0.4920000000000001
42,0.0,0.465,0.491
43,0.0,0.465,0.491
44,0.022,0.469,0.49
45,0.022,0.469,0.49
46,0.022,0.469,0.491
47,0.022,0.469,0.491
48,0.062,0.469,0.491
49,0.062,0.469,0.491
50,0.062,0.473,0.491
51,0.062,0.473,0.491
52,0.062,0.477,0.4920000000000001
53,0.062,0.477,0.4920000000000001
54,0.103,0.482,0.493
55,0.103,0.482,0.493
56,0.103,0.486,0.494
57,0.103,0.486,0.494
58,0.14400000000000002,0.486,0.494
59,0.14400000000000002,0.486,0.494
60,0.14400000000000002,0.489,0.495
61,0.14400000000000002,0.489,0.495
62,0.184,0.4920000000000001,0.496
63,0.184,0.4920000000000001,0.496
64,0.184,0.495,0.495
65,0.184,0.495,0.495
66,0.184,0.496,0.495
67,0.184,0.496,0.495
68,0.224,0.496,0.495
69,0.224,0.496,0.495
70,0.224,0.496,0.496
71,0.224,0.496,0.496
72,0.264,0.496,0.495
73,0.264,0.496,0.495
74,0.264,0.495,0.495
75,0.264,0.495,0.495
76,0.264,0.494,0.495
77,0.264,0.494,0.495
78,0.304,0.494,0.495
79,0.304,0.494,0.495
80,0.304,0.494,0.495
81,0.304,0.494,0.495
82,0.344,0.493,0.495
83,0.344,0.493,0.495
84,0.344,0.493,0.494
85,0.344,0.493,0.494
86,0.384,0.493,0.494
87,0.384,0.493,0.494
88,0.384,0.493,0.494
89,0.384,0.493,0.494
90,0.384,0.493,0.494
91,0.384,0.493,0.494
92,0.424,0.4920000000000001,0.493
93,0.424,0.4920000000000001,0.493
94,0.424,0.491,0.4920000000000001
95,0.424,0.491,0.4920000000000001
96,0.465,0.491,0.4920000000000001
97,0.465,0.491,0.4920000000000001
98,0.465,0.49,0.491
99,0.465,0.49,0.491
100,0.465,0.489,0.49
101,0.465,0.489,0.49
102,0.504,0.487,0.49
103,0.504,0.487,0.49
104,0.504,0.485,0.489
105,0.504,0.485,0.489
106,0.544,0.485,0.489
107,0.544,0.485,0.489
108,0.544,0.483,0.487
109,0.544,0.483,0.487
110,0.584,0.481,0.486
111,0.584,0.481,0.486
112,0.584,0.478,0.485
113,0.584,0.478,0.485
114,0.584,0.475,0.484
115,0.584,0.475,0.484
116,0.625,0.475,0.484
117,0.625,0.475,0.484
118,0.625,0.47,0.483
119,0.625,0.47,0.483
120,0.665,0.466,0.482
121,0.665,0.466,0.482
122,0.665,0.462,0.482
123,0.665,0.462,0.482
124,0.665,0.462,0.482
125,0.665,0.462,0.482
126,0.705,0.457,0.483
127,0.705,0.457,0.483
128,0.705,0.453,0.483
129,0.705,0.453,0.483
130,0.745,0.452,0.484
131,0.745,0.452,0.484
132,0.745,0.447,0.485
133,0.745,0.447,0.485
134,0.745,0.447,0.485
135,0.745,0.447,0.485
136,0.7859999999999999,0.442,0.486
137,0.7859999999999999,0.442,0.486
138,0.7859999999999999,0.435,0.487
139,0.7859999999999999,0.435,0.487
140,0.826,0.428,0.489
141,0.826,0.428,0.489
142,0.826,0.421,0.491
143,0.826,0.421,0.491
144,0.866,0.421,0.491
145,0.866,0.421,0.491
146,0.866,0.414,0.493
147,0.866,0.414,0.493
148,0.866,0.408,0.494
149,0.866,0.408,0.494
150,0.906,0.402,0.495
151,0.906,0.402,0.495
152,0.906,0.397,0.496
153,0.906,0.397,0.496
154,0.946,0.397,0.496
155,0.946,0.397,0.496
156,0.946,0.391,0.496
157,0.946,0.391,0.496
158,0.946,0.386,0.496
159,0.946,0.386,0.496
160,0.986,0.381,0.496
161,0.986,0.381,0.496
162,0.986,0.375,0.495
163,0.986,0.375,0.495
164,1.027,0.375,0.495
165,1.027,0.375,0.495
166,1.027,0.37,0.495
167,1.027,0.37,0.495
168,1.067,0.364,0.494
169,1.067,0.364,0.494
170,1.067,0.359,0.494
171,1.067,0.359,0.494
172,1.067,0.359,0.494
173,1.067,0.359,0.494
174,1.107,0.353,0.494
175,1.107,0.353,0.494
176,1.107,0.34600000000000003,0.494
177,1.107,0.34600000000000003,0.494
178,1.148,0.34600000000000003,0.494
179,1.148,0.34600000000000003,0.494
180,1.148,0.341,0.495
181,1.148,0.341,0.495
182,1.148,0.341,0.495
183,1.148,0.341,0.495
184,1.188,0.336,0.496
185,1.188,0.336,0.496
186,1.188,0.33,0.498
187,1.188,0.33,0.498
188,1.229,0.324,0.499
189,1.229,0.324,0.499
190,1.229,0.319,0.501
191,1.229,0.319,0.501
192,1.229,0.319,0.501
193,1.229,0.319,0.501
194,1.27,0.314,0.501
195,1.27,0.314,0.501
196,1.27,0.309,0.503
197,1.27,0.309,0.503
198,1.31,0.304,0.505
199,1.31,0.304,0.505
200,1.31,0.3,0.506
201,1.31,0.3,0.506
202,1.351,0.3,0.506
203,1.351,0.3,0.506
204,1.351,0.297,0.507
205,1.351,0.297,0.507
206,1.351,0.294,0.508
207,1.351,0.294,0.508
208,1.391,0.29100000000000004,0.51
209,1.391,0.29100000000000004,0.51
210,1.391,0.28800000000000003,0.513
211,1.391,0.28800000000000003,0.513
212,1.432,0.28800000000000003,0.513
213,1.432,0.28800000000000003,0.513
214,1.432,0.28600000000000003,0.515
215,1.432,0.28600000000000003,0.515
216,1.432,0.284,0.516
217,1.432,0.284,0.516
218,1.473,0.282,0.517
219,1.473,0.282,0.517
220,1.473,0.282,0.517
221,1.473,0.282,0.517
222,1.513,0.28,0.518
223,1.513,0.28,0.518
224,1.513,0.279,0.518
225,1.513,0.279,0.518
226,1.513,0.279,0.517
227,1.513,0.279,0.517
228,1.555,0.278,0.518
229,1.555,0.278,0.518
230,1.555,0.278,0.518
231,1.555,0.278,0.518
232,1.596,0.277,0.518
233,1.596,0.277,0.518
234,1.596,0.276,0.519
235,1.596,0.276,0.519
236,1.596,0.277,0.519
237,1.596,0.277,0.519
238,1.636,0.277,0.519
239,1.636,0.277,0.519
240,1.636,0.277,0.519
241,1.636,0.277,0.519
242,1.676,0.277,0.519
243,1.676,0.277,0.519
244,1.676,0.279,0.519
245,1.676,0.279,0.519
246,1.716,0.28,0.519
247,1.716,0.28,0.519
248,1.716,0.281,0.519
249,1.716,0.281,0.519
250,1.716,0.281,0.519
251,1.716,0.281,0.519
252,1.756,0.28300000000000003,0.519
253,1.756,0.28300000000000003,0.519
254,1.756,0.285,0.519
255,1.756,0.285,0.519
256,1.798,0.28600000000000003,0.52
257,1.798,0.28600000000000003,0.52
258,1.798,0.28600000000000003,0.52
259,1.798,0.28600000000000003,0.52
260,1.798,0.28600000000000003,0.52
261,1.798,0.28600000000000003,0.52
262,1.838,0.28600000000000003,0.521
263,1.838,0.28600000000000003,0.521
264,1.838,0.28600000000000003,0.521
265,1.838,0.28600000000000003,0.521
266,1.879,0.28600000000000003,0.521
267,1.879,0.28600000000000003,0.521
268,1.879,0.285,0.522
269,1.879,0.285,0.522
270,1.879,0.285,0.522
271,1.879,0.285,0.522
272,1.92,0.284,0.523
273,1.92,0.284,0.523
274,1.92,0.28300000000000003,0.524
275,1.92,0.28300000000000003,0.524
276,1.96,0.28300000000000003,0.525
277,1.96,0.28300000000000003,0.525
278,1.96,0.282,0.526
279,1.96,0.282,0.526
280,2.0,0.281,0.526
281,2.0,0.281,0.526
282,2.0,0.281,0.526
283,2.0,0.281,0.526
284,2.0,0.281,0.526
285,2.0,0.281,0.526
286,2.041,0.281,0.526
287,2.041,0.281,0.526
288,2.041,0.281,0.526
289,2.041,0.281,0.526
290,2.081,0.281,0.526
291,2.081,0.281,0.526
292,2.081,0.281,0.526
293,2.081,0.281,0.526
294,2.081,0.281,0.526
295,2.081,0.281,0.526
296,2.121,0.281,0.526
297,2.121,0.281,0.526
298,2.121,0.281,0.526
299,2.121,0.281,0.526
300,2.161,0.281,0.526
301,2.161,0.281,0.526
302,2.161,0.282,0.526
303,2.161,0.282,0.526
304,2.161,0.282,0.526
305,2.161,0.282,0.526
306,2.2030000000000003,0.282,0.526
307,2.2030000000000003,0.282,0.526
308,2.2030000000000003,0.28300000000000003,0.527
309,2.2030000000000003,0.28300000000000003,0.527
310,2.2430000000000003,0.28300000000000003,0.527
311,2.2430000000000003,0.28300000000000003,0.527
312,2.2430000000000003,0.284,0.527
313,2.2430000000000003,0.284,0.527
314,2.2840000000000003,0.284,0.527
315,2.2840000000000003,0.284,0.527
316,2.2840000000000003,0.284,0.527
317,2.2840000000000003,0.284,0.527
318,2.2840000000000003,0.284,0.527
319,2.2840000000000003,0.284,0.527
320,2.325,0.284,0.528
321,2.325,0.284,0.528
322,2.325,0.285,0.528
323,2.325,0.285,0.528
324,2.366,0.285,0.528
325,2.366,0.285,0.528
326,2.366,0.285,0.528
327,2.366,0.285,0.528
328,2.366,0.285,0.528
329,2.366,0.285,0.528
330,2.407,0.285,0.528
331,2.407,0.285,0.528
332,2.407,0.285,0.528
333,2.407,0.285,0.528
334,2.447,0.28600000000000003,0.528
335,2.447,0.28600000000000003,0.528
336,2.447,0.28600000000000003,0.528
337,2.447,0.28600000000000003,0.528
338,2.447,0.28600000000000003,0.528
339,2.447,0.28600000000000003,0.528
340,2.488,0.28600000000000003,0.528
341,2.488,0.28600000000000003,0.528
342,2.488,0.28600000000000003,0.528
343,2.488,0.28600000000000003,0.528
344,2.528,0.28600000000000003,0.528
345,2.528,0.28600000000000003,0.528
346,2.528,0.287,0.528
347,2.528,0.287,0.528
348,2.528,0.287,0.528
349,2.528,0.287,0.528
350,2.569,0.28800000000000003,0.528
351,2.569,0.28800000000000003,0.528
352,2.569,0.28800000000000003,0.528
353,2.569,0.28800000000000003,0.528
354,2.61,0.289,0.528
355,2.61,0.289,0.528
356,2.61,0.29,0.528
357,2.61,0.29,0.528
358,2.651,0.29100000000000004,0.528
359,2.651,0.29100000000000004,0.528
360,2.651,0.293,0.528
361,2.651,0.293,0.528
362,2.651,0.293,0.528
363,2.651,0.293,0.528
364,2.692,0.294,0.528
365,2.692,0.294,0.528
366,2.692,0.29600000000000004,0.528
367,2.692,0.29600000000000004,0.528
368,2.733,0.297,0.528
369,2.733,0.297,0.528
370,2.733,0.299,0.528
371,2.733,0.299,0.528
372,2.733,0.299,0.528
373,2.733,0.299,0.528
374,2.774,0.3,0.528
375,2.774,0.3,0.528
376,2.774,0.302,0.528
377,2.774,0.302,0.528
378,2.813,0.304,0.528
379,2.813,0.304,0.528
380,2.813,0.304,0.528
381,2.813,0.304,0.528
382,2.813,0.306,0.528
383,2.813,0.306,0.528
384,2.853,0.308,0.528
385,2.853,0.308,0.528
386,2.853,0.31,0.527
387,2.853,0.31,0.527
388,2.893,0.311,0.527
389,2.893,0.311,0.527
390,2.893,0.311,0.527
391,2.893,0.311,0.527
392,2.934,0.314,0.527
393,2.934,0.314,0.527
394,2.934,0.317,0.527
395,2.934,0.317,0.527
396,2.934,0.32,0.526
397,2.934,0.32,0.526
398,2.975,0.324,0.526
399,2.975,0.324,0.526
400,2.975,0.324,0.526
401,2.975,0.324,0.526
402,3.015,0.327,0.525
403,3.015,0.327,0.525
404,3.015,0.331,0.525
405,3.015,0.331,0.525
406,3.015,0.334,0.524
407,3.015,0.334,0.524
408,3.055,0.338,0.524
409,3.055,0.338,0.524
410,3.055,0.338,0.524
411,3.055,0.338,0.524
412,3.095,0.342,0.523
413,3.095,0.342,0.523
414,3.095,0.34700000000000003,0.522
415,3.095,0.34700000000000003,0.522
416,3.095,0.35100000000000003,0.522
417,3.095,0.35100000000000003,0.522
418,3.135,0.35100000000000003,0.522
419,3.135,0.35100000000000003,0.522
420,3.135,0.35600000000000004,0.521
421,3.135,0.35600000000000004,0.521
422,3.175,0.362,0.522
423,3.175,0.362,0.522
424,3.175,0.368,0.522
425,3.175,0.368,0.522
426,3.216,0.375,0.522
427,3.216,0.375,0.522
428,3.216,0.375,0.522
429,3.216,0.375,0.522
430,3.216,0.381,0.521
431,3.216,0.381,0.521
432,3.256,0.387,0.52
433,3.256,0.387,0.52
434,3.256,0.393,0.52
435,3.256,0.393,0.52
436,3.297,0.393,0.52
437,3.297,0.393,0.52
438,3.297,0.398,0.52
439,3.297,0.398,0.52
440,3.297,0.404,0.519
