,time,2dmu,2dmv
0,0.0,0.504,0.49
1,0.0,0.504,0.49
2,0.0,0.504,0.489
3,0.0,0.504,0.489
4,0.0,0.504,0.489
5,0.0,0.504,0.489
6,0.0,0.504,0.489
7,0.0,0.504,0.489
8,0.0,0.504,0.488
9,0.0,0.504,0.488
10,0.0,0.504,0.488
11,0.0,0.504,0.488
12,0.0,0.504,0.488
13,0.0,0.504,0.488
14,0.0,0.504,0.487
15,0.0,0.504,0.487
16,0.0,0.504,0.487
17,0.0,0.504,0.487
18,0.0,0.505,0.487
19,0.0,0.505,0.487
20,0.0,0.505,0.487
21,0.0,0.505,0.487
22,0.0,0.504,0.485
23,0.0,0.504,0.485
24,0.0,0.504,0.485
25,0.0,0.504,0.485
26,0.0,0.504,0.484
27,0.0,0.504,0.484
28,0.0,0.504,0.484
29,0.0,0.504,0.484
30,0.0,0.503,0.484
31,0.0,0.503,0.484
32,0.0,0.503,0.483
33,0.0,0.503,0.483
34,0.0,0.503,0.483
35,0.0,0.503,0.483
36,0.0,0.503,0.483
37,0.0,0.503,0.483
38,0.0,0.503,0.483
39,0.0,0.503,0.483
40,0.0,0.502,0.483
41,0.0,0.502,0.483
42,0.0,0.502,0.483
43,0.0,0.502,0.483
44,0.04,0.502,0.483
45,0.04,0.502,0.483
46,0.04,0.502,0.483
47,0.04,0.502,0.483
48,0.08,0.502,0.483
49,0.08,0.502,0.483
50,0.08,0.502,0.483
51,0.08,0.502,0.483
52,0.08,0.502,0.483
53,0.08,0.502,0.483
54,0.12,0.502,0.482
55,0.12,0.502,0.482
56,0.12,0.502,0.482
57,0.12,0.502,0.482
58,0.16,0.502,0.481
59,0.16,0.502,0.481
60,0.16,0.502,0.481
61,0.16,0.502,0.481
62,0.16,0.502,0.479
63,0.16,0.502,0.479
64,0.2,0.502,0.478
65,0.2,0.502,0.478
66,0.2,0.502,0.478
67,0.2,0.502,0.478
68,0.242,0.501,0.477
69,0.242,0.501,0.477
70,0.242,0.501,0.477
71,0.242,0.501,0.477
72,0.242,0.501,0.476
73,0.242,0.501,0.476
74,0.282,0.5,0.476
75,0.282,0.5,0.476
76,0.282,0.5,0.476
77,0.282,0.5,0.476
78,0.322,0.5,0.476
79,0.322,0.5,0.476
80,0.322,0.5,0.476
81,0.322,0.5,0.476
82,0.363,0.5,0.476
83,0.363,0.5,0.476
84,0.363,0.499,0.476
85,0.363,0.499,0.476
86,0.363,0.499,0.476
87,0.363,0.499,0.476
88,0.404,0.499,0.476
89,0.404,0.499,0.476
90,0.404,0.499,0.476
91,0.404,0.499,0.476
92,0.444,0.498,0.476
93,0.444,0.498,0.476
94,0.444,0.498,0.476
95,0.444,0.498,0.476
96,0.444,0.498,0.476
97,0.444,0.498,0.476
98,0.485,0.498,0.477
99,0.485,0.498,0.477
100,0.485,0.4970000000000001,0.477
101,0.485,0.4970000000000001,0.477
102,0.526,0.4970000000000001,0.477
103,0.526,0.4970000000000001,0.477
104,0.526,0.4970000000000001,0.477
105,0.526,0.496,0.476
106,0.526,0.4970000000000001,0.477
107,0.526,0.496,0.476
108,0.5670000000000001,0.496,0.477
109,0.5670000000000001,0.496,0.477
110,0.5670000000000001,0.496,0.477
111,0.5670000000000001,0.496,0.477
112,0.607,0.495,0.477
113,0.607,0.495,0.477
114,0.607,0.495,0.477
115,0.607,0.495,0.477
116,0.647,0.495,0.477
117,0.647,0.495,0.477
118,0.647,0.494,0.476
119,0.647,0.494,0.476
120,0.647,0.494,0.476
121,0.647,0.494,0.476
122,0.688,0.493,0.476
123,0.688,0.493,0.476
124,0.688,0.493,0.476
125,0.688,0.493,0.476
126,0.7290000000000001,0.493,0.476
127,0.7290000000000001,0.493,0.476
128,0.7290000000000001,0.4920000000000001,0.475
129,0.7290000000000001,0.4920000000000001,0.475
130,0.7290000000000001,0.491,0.474
131,0.7290000000000001,0.491,0.474
132,0.77,0.489,0.474
133,0.77,0.489,0.474
134,0.77,0.489,0.474
135,0.77,0.489,0.474
136,0.8109999999999999,0.487,0.474
137,0.8109999999999999,0.487,0.474
138,0.8109999999999999,0.483,0.473
139,0.8109999999999999,0.483,0.473
140,0.8109999999999999,0.478,0.472
141,0.8109999999999999,0.478,0.472
142,0.851,0.478,0.472
143,0.851,0.478,0.472
144,0.851,0.472,0.472
145,0.851,0.472,0.472
146,0.892,0.465,0.471
147,0.892,0.465,0.471
148,0.892,0.464,0.471
149,0.892,0.464,0.471
150,0.892,0.457,0.47
151,0.892,0.457,0.47
152,0.932,0.457,0.47
153,0.932,0.457,0.47
154,0.932,0.451,0.469
155,0.932,0.451,0.469
156,0.973,0.444,0.468
157,0.973,0.444,0.468
158,0.973,0.436,0.468
159,0.973,0.436,0.468
160,1.014,0.429,0.467
161,1.014,0.429,0.467
162,1.014,0.429,0.467
163,1.014,0.429,0.467
164,1.014,0.422,0.467
165,1.014,0.422,0.467
166,1.054,0.414,0.468
167,1.054,0.407,0.469
168,1.054,0.414,0.468
169,1.054,0.407,0.469
170,1.095,0.399,0.469
171,1.095,0.399,0.469
172,1.095,0.392,0.47
173,1.095,0.392,0.47
174,1.095,0.392,0.47
175,1.095,0.392,0.47
176,1.135,0.386,0.472
177,1.135,0.386,0.472
178,1.135,0.379,0.473
179,1.135,0.379,0.473
180,1.176,0.374,0.474
181,1.176,0.374,0.474
182,1.176,0.374,0.474
183,1.176,0.374,0.474
184,1.176,0.369,0.475
185,1.176,0.369,0.475
186,1.216,0.363,0.475
187,1.216,0.363,0.475
188,1.216,0.359,0.475
189,1.216,0.359,0.475
190,1.256,0.359,0.475
191,1.256,0.359,0.475
192,1.256,0.359,0.475
193,1.256,0.359,0.475
194,1.296,0.355,0.475
195,1.296,0.355,0.475
196,1.296,0.35,0.475
197,1.296,0.35,0.475
198,1.296,0.34700000000000003,0.474
199,1.296,0.34700000000000003,0.474
200,1.337,0.343,0.475
201,1.337,0.343,0.475
202,1.337,0.343,0.475
203,1.337,0.343,0.475
204,1.378,0.34,0.475
205,1.378,0.34,0.475
206,1.378,0.337,0.475
207,1.378,0.337,0.475
208,1.378,0.335,0.475
209,1.378,0.335,0.475
210,1.4169999999999998,0.332,0.475
211,1.4169999999999998,0.332,0.475
212,1.4169999999999998,0.332,0.475
213,1.4169999999999998,0.332,0.475
214,1.457,0.328,0.476
215,1.457,0.328,0.476
216,1.457,0.325,0.477
217,1.457,0.325,0.477
218,1.497,0.321,0.477
219,1.497,0.321,0.477
220,1.497,0.317,0.477
221,1.497,0.317,0.477
222,1.497,0.317,0.477
223,1.497,0.317,0.477
224,1.538,0.314,0.477
225,1.538,0.314,0.477
226,1.538,0.311,0.478
227,1.538,0.311,0.478
228,1.579,0.309,0.479
229,1.579,0.309,0.479
230,1.579,0.309,0.479
231,1.579,0.309,0.479
232,1.579,0.306,0.48
