,time,2dmu,2dmv
0,0.0,0.477,0.456
1,0.0,0.477,0.456
2,0.0,0.477,0.456
3,0.0,0.477,0.456
4,0.0,0.477,0.456
5,0.0,0.477,0.456
6,0.0,0.477,0.456
7,0.0,0.477,0.456
8,0.0,0.476,0.455
9,0.0,0.476,0.455
10,0.0,0.476,0.456
11,0.0,0.476,0.456
12,0.0,0.476,0.456
13,0.0,0.476,0.456
14,0.0,0.476,0.456
15,0.0,0.476,0.456
16,0.0,0.476,0.456
17,0.0,0.476,0.456
18,0.0,0.476,0.456
19,0.0,0.476,0.456
20,0.0,0.476,0.456
21,0.0,0.476,0.456
22,0.0,0.476,0.456
23,0.0,0.476,0.456
24,0.0,0.477,0.455
25,0.0,0.477,0.455
26,0.0,0.477,0.455
27,0.0,0.477,0.455
28,0.0,0.477,0.454
29,0.0,0.477,0.454
30,0.0,0.477,0.454
31,0.0,0.477,0.454
32,0.0,0.478,0.454
33,0.0,0.478,0.454
34,0.0,0.478,0.454
35,0.0,0.478,0.454
36,0.0,0.478,0.453
37,0.0,0.478,0.453
38,0.0,0.478,0.453
39,0.0,0.478,0.453
40,0.0,0.478,0.453
41,0.0,0.478,0.453
42,0.012,0.478,0.453
43,0.012,0.478,0.453
44,0.012,0.478,0.452
45,0.012,0.478,0.452
46,0.012,0.477,0.451
47,0.012,0.477,0.451
48,0.052000000000000005,0.477,0.451
49,0.052000000000000005,0.477,0.451
50,0.052000000000000005,0.477,0.45
51,0.052000000000000005,0.477,0.45
52,0.092,0.477,0.45
53,0.092,0.477,0.45
54,0.092,0.477,0.45
55,0.092,0.477,0.45
56,0.132,0.477,0.45
57,0.132,0.477,0.45
58,0.132,0.477,0.45
59,0.132,0.477,0.45
60,0.132,0.477,0.45
61,0.132,0.477,0.45
62,0.173,0.477,0.45
63,0.173,0.477,0.45
64,0.173,0.477,0.45
65,0.173,0.477,0.45
66,0.213,0.477,0.451
67,0.213,0.477,0.451
68,0.213,0.477,0.451
69,0.213,0.477,0.451
70,0.213,0.477,0.451
71,0.213,0.477,0.451
72,0.254,0.477,0.451
73,0.254,0.477,0.451
74,0.254,0.477,0.451
75,0.254,0.477,0.451
76,0.295,0.477,0.452
77,0.295,0.477,0.452
78,0.295,0.477,0.452
79,0.295,0.477,0.452
80,0.295,0.477,0.452
81,0.295,0.477,0.452
82,0.336,0.477,0.452
83,0.336,0.477,0.452
84,0.336,0.477,0.452
85,0.336,0.477,0.452
86,0.376,0.477,0.452
87,0.376,0.477,0.452
88,0.376,0.477,0.453
89,0.376,0.477,0.453
90,0.376,0.478,0.453
91,0.376,0.478,0.453
92,0.416,0.478,0.453
93,0.416,0.478,0.453
94,0.416,0.478,0.453
95,0.416,0.478,0.453
96,0.456,0.478,0.453
97,0.456,0.478,0.453
98,0.456,0.478,0.454
99,0.456,0.478,0.454
100,0.4970000000000001,0.478,0.454
101,0.4970000000000001,0.478,0.454
102,0.4970000000000001,0.478,0.454
103,0.4970000000000001,0.478,0.454
104,0.4970000000000001,0.478,0.455
105,0.4970000000000001,0.478,0.455
106,0.5379999999999999,0.478,0.455
107,0.5379999999999999,0.478,0.455
108,0.5379999999999999,0.479,0.456
109,0.5379999999999999,0.479,0.456
110,0.578,0.479,0.456
111,0.578,0.479,0.456
112,0.578,0.479,0.456
113,0.578,0.479,0.456
114,0.578,0.479,0.456
115,0.578,0.479,0.456
116,0.618,0.48,0.457
117,0.618,0.48,0.457
118,0.618,0.48,0.457
119,0.618,0.48,0.457
120,0.6579999999999999,0.48,0.457
121,0.6579999999999999,0.48,0.457
122,0.6579999999999999,0.481,0.457
123,0.6579999999999999,0.481,0.457
124,0.6990000000000001,0.482,0.457
125,0.6990000000000001,0.482,0.457
126,0.6990000000000001,0.482,0.456
127,0.6990000000000001,0.482,0.456
128,0.6990000000000001,0.483,0.456
129,0.6990000000000001,0.483,0.456
