,time,2dmu,2dmv
0,0.0,0.495,0.449
1,0.0,0.495,0.449
2,0.0,0.495,0.449
3,0.0,0.495,0.449
4,0.0,0.495,0.449
5,0.0,0.495,0.449
6,0.0,0.495,0.449
7,0.0,0.495,0.449
8,0.0,0.495,0.449
9,0.0,0.495,0.449
10,0.0,0.495,0.449
11,0.0,0.495,0.449
12,0.0,0.495,0.449
13,0.0,0.495,0.449
14,0.0,0.495,0.449
15,0.0,0.495,0.449
16,0.0,0.495,0.449
17,0.0,0.495,0.449
18,0.0,0.495,0.449
19,0.0,0.495,0.449
20,0.0,0.495,0.449
21,0.0,0.495,0.449
22,0.0,0.495,0.449
23,0.0,0.495,0.449
24,0.0,0.495,0.449
25,0.0,0.495,0.449
26,0.0,0.495,0.449
27,0.0,0.495,0.449
28,0.0,0.495,0.449
29,0.0,0.495,0.449
30,0.0,0.495,0.449
31,0.0,0.495,0.449
32,0.0,0.495,0.448
33,0.0,0.495,0.448
34,0.0,0.495,0.448
35,0.0,0.495,0.448
36,0.0,0.495,0.448
37,0.0,0.495,0.448
38,0.0,0.495,0.448
39,0.0,0.495,0.448
40,0.0,0.495,0.448
41,0.0,0.495,0.448
42,0.0,0.495,0.448
43,0.0,0.495,0.448
44,0.0,0.495,0.448
45,0.0,0.495,0.448
46,0.0,0.495,0.448
47,0.0,0.495,0.448
48,0.04,0.495,0.448
49,0.04,0.495,0.448
50,0.04,0.495,0.448
51,0.04,0.495,0.448
52,0.04,0.494,0.448
53,0.04,0.494,0.448
54,0.08,0.494,0.448
55,0.08,0.494,0.448
56,0.08,0.494,0.448
57,0.08,0.494,0.448
58,0.12,0.494,0.448
59,0.12,0.494,0.448
60,0.12,0.494,0.448
61,0.12,0.494,0.448
62,0.16,0.494,0.448
63,0.16,0.494,0.448
64,0.16,0.494,0.448
65,0.16,0.494,0.448
66,0.16,0.494,0.448
67,0.16,0.494,0.448
68,0.2,0.494,0.448
69,0.2,0.494,0.448
70,0.2,0.494,0.448
71,0.2,0.494,0.448
72,0.242,0.494,0.448
73,0.242,0.494,0.448
74,0.242,0.494,0.448
75,0.242,0.494,0.448
76,0.242,0.494,0.448
77,0.242,0.494,0.448
78,0.284,0.494,0.448
79,0.284,0.494,0.448
80,0.284,0.494,0.448
81,0.284,0.494,0.448
82,0.324,0.494,0.448
83,0.324,0.494,0.448
84,0.324,0.494,0.448
85,0.324,0.494,0.448
86,0.324,0.494,0.448
87,0.324,0.494,0.448
88,0.364,0.494,0.448
89,0.364,0.494,0.448
90,0.364,0.494,0.448
91,0.364,0.494,0.448
92,0.405,0.494,0.447
93,0.405,0.494,0.447
94,0.405,0.495,0.447
95,0.405,0.495,0.447
96,0.405,0.495,0.447
97,0.405,0.495,0.447
98,0.445,0.495,0.446
99,0.445,0.495,0.446
100,0.445,0.495,0.446
101,0.445,0.495,0.446
102,0.485,0.495,0.446
103,0.485,0.495,0.446
104,0.485,0.495,0.445
105,0.525,0.495,0.445
106,0.525,0.495,0.445
107,0.485,0.495,0.445
108,0.525,0.495,0.445
109,0.525,0.495,0.445
110,0.525,0.495,0.444
111,0.525,0.495,0.444
112,0.5670000000000001,0.495,0.444
113,0.5670000000000001,0.495,0.444
114,0.5670000000000001,0.495,0.444
115,0.5670000000000001,0.495,0.444
116,0.607,0.495,0.443
117,0.607,0.495,0.443
118,0.607,0.495,0.443
119,0.607,0.495,0.443
120,0.607,0.495,0.443
121,0.607,0.495,0.443
122,0.647,0.495,0.441
123,0.647,0.495,0.441
124,0.647,0.495,0.441
125,0.647,0.495,0.441
126,0.687,0.495,0.44
127,0.687,0.495,0.44
128,0.687,0.496,0.439
129,0.687,0.496,0.439
130,0.726,0.496,0.439
131,0.726,0.496,0.439
132,0.726,0.496,0.438
133,0.726,0.496,0.438
134,0.726,0.496,0.4370000000000001
135,0.726,0.496,0.4370000000000001
136,0.7659999999999999,0.4970000000000001,0.436
137,0.7659999999999999,0.4970000000000001,0.436
138,0.7659999999999999,0.4970000000000001,0.435
139,0.7659999999999999,0.4970000000000001,0.435
140,0.8059999999999999,0.4970000000000001,0.435
141,0.8059999999999999,0.4970000000000001,0.435
142,0.8059999999999999,0.4970000000000001,0.435
143,0.8059999999999999,0.4970000000000001,0.435
144,0.8059999999999999,0.498,0.434
145,0.8059999999999999,0.498,0.434
146,0.847,0.499,0.4320000000000001
147,0.847,0.499,0.4320000000000001
148,0.847,0.499,0.431
149,0.847,0.499,0.431
150,0.888,0.5,0.431
151,0.888,0.5,0.431
152,0.888,0.5,0.43
153,0.888,0.5,0.43
154,0.888,0.501,0.428
155,0.888,0.501,0.428
