,time,2dmu,2dmv
0,0.0,0.496,0.485
1,0.0,0.496,0.485
2,0.0,0.496,0.485
3,0.0,0.496,0.485
4,0.0,0.496,0.485
5,0.0,0.496,0.485
6,0.0,0.496,0.485
7,0.0,0.496,0.485
8,0.0,0.496,0.485
9,0.0,0.496,0.485
10,0.0,0.496,0.485
11,0.0,0.496,0.485
12,0.0,0.496,0.485
13,0.0,0.496,0.485
14,0.0,0.496,0.485
15,0.0,0.496,0.485
16,0.0,0.496,0.485
17,0.0,0.496,0.485
18,0.0,0.496,0.485
19,0.0,0.496,0.485
20,0.0,0.496,0.485
21,0.0,0.496,0.485
22,0.0,0.496,0.485
23,0.0,0.496,0.485
24,0.0,0.496,0.485
25,0.0,0.496,0.485
26,0.0,0.496,0.485
27,0.0,0.496,0.485
28,0.0,0.496,0.485
29,0.0,0.496,0.485
30,0.0,0.496,0.485
31,0.0,0.496,0.485
32,0.0,0.496,0.485
33,0.0,0.496,0.485
34,0.0,0.496,0.485
35,0.0,0.496,0.485
36,0.0,0.496,0.485
37,0.0,0.496,0.485
38,0.0,0.496,0.485
39,0.0,0.496,0.485
40,0.0,0.496,0.485
41,0.0,0.496,0.485
42,0.0,0.496,0.485
43,0.0,0.496,0.485
44,0.04,0.496,0.485
45,0.04,0.496,0.485
46,0.04,0.496,0.485
47,0.04,0.496,0.485
48,0.081,0.496,0.485
49,0.081,0.496,0.485
50,0.081,0.496,0.485
51,0.081,0.496,0.485
52,0.121,0.496,0.485
53,0.121,0.496,0.485
54,0.121,0.496,0.485
55,0.121,0.496,0.485
56,0.162,0.496,0.485
57,0.162,0.496,0.485
58,0.162,0.496,0.485
59,0.162,0.496,0.485
60,0.203,0.496,0.485
61,0.203,0.496,0.485
62,0.203,0.496,0.485
63,0.203,0.496,0.485
64,0.203,0.496,0.485
65,0.203,0.496,0.485
66,0.245,0.496,0.484
67,0.245,0.496,0.484
68,0.245,0.496,0.484
69,0.245,0.496,0.484
70,0.28600000000000003,0.496,0.484
71,0.28600000000000003,0.496,0.484
72,0.28600000000000003,0.496,0.484
73,0.28600000000000003,0.496,0.484
