,time,2dmu,2dmv
0,0.0,0.479,0.485
1,0.0,0.479,0.485
2,0.0,0.478,0.485
3,0.0,0.478,0.485
4,0.0,0.478,0.485
5,0.0,0.478,0.485
6,0.0,0.476,0.485
7,0.0,0.476,0.485
8,0.0,0.475,0.485
9,0.0,0.475,0.485
10,0.0,0.475,0.485
11,0.0,0.475,0.485
12,0.0,0.475,0.486
13,0.0,0.475,0.486
14,0.0,0.475,0.486
15,0.0,0.475,0.486
16,0.0,0.475,0.486
17,0.0,0.475,0.486
18,0.0,0.475,0.486
19,0.0,0.475,0.486
20,0.0,0.475,0.486
21,0.0,0.475,0.486
22,0.0,0.475,0.486
23,0.0,0.475,0.486
24,0.0,0.475,0.486
25,0.0,0.475,0.486
26,0.0,0.475,0.486
27,0.0,0.475,0.486
28,0.0,0.476,0.485
29,0.0,0.476,0.485
30,0.0,0.477,0.485
31,0.0,0.477,0.485
32,0.0,0.477,0.484
33,0.0,0.477,0.484
34,0.0,0.477,0.484
35,0.0,0.477,0.484
36,0.0,0.478,0.484
37,0.0,0.478,0.484
38,0.0,0.479,0.483
39,0.0,0.479,0.483
40,0.0,0.48,0.483
41,0.0,0.48,0.483
42,0.0,0.48,0.483
43,0.0,0.48,0.483
44,0.04,0.481,0.483
45,0.04,0.481,0.483
46,0.04,0.482,0.482
47,0.04,0.482,0.482
48,0.08,0.484,0.482
49,0.08,0.484,0.482
50,0.08,0.484,0.482
51,0.08,0.484,0.482
52,0.08,0.485,0.482
53,0.08,0.485,0.482
54,0.12,0.487,0.482
55,0.12,0.487,0.482
56,0.12,0.488,0.482
57,0.12,0.488,0.482
58,0.16,0.49,0.482
59,0.16,0.49,0.482
60,0.16,0.49,0.482
61,0.16,0.49,0.482
62,0.2,0.49,0.482
63,0.2,0.49,0.482
64,0.2,0.4920000000000001,0.482
65,0.2,0.4920000000000001,0.482
66,0.2,0.494,0.482
67,0.2,0.494,0.482
68,0.24,0.496,0.482
69,0.24,0.496,0.482
70,0.24,0.4970000000000001,0.482
