,time,2dmu,2dmv
0,0.0,0.506,0.428
1,0.0,0.506,0.428
2,0.0,0.506,0.428
3,0.0,0.506,0.428
4,0.0,0.506,0.428
5,0.0,0.506,0.428
6,0.0,0.506,0.43
7,0.0,0.506,0.43
8,0.0,0.505,0.431
9,0.0,0.505,0.431
10,0.0,0.505,0.4320000000000001
11,0.0,0.505,0.4320000000000001
12,0.0,0.505,0.434
13,0.0,0.505,0.434
14,0.0,0.505,0.434
15,0.0,0.505,0.434
16,0.0,0.505,0.436
17,0.0,0.505,0.436
18,0.0,0.505,0.436
19,0.0,0.505,0.436
20,0.0,0.505,0.442
21,0.0,0.505,0.442
22,0.0,0.504,0.446
23,0.0,0.504,0.446
24,0.0,0.505,0.451
25,0.0,0.505,0.457
26,0.0,0.505,0.451
27,0.0,0.505,0.457
28,0.0,0.503,0.478
29,0.0,0.503,0.478
30,0.0,0.502,0.486
31,0.0,0.502,0.486
32,0.0,0.502,0.486
33,0.0,0.502,0.486
34,0.0,0.502,0.487
35,0.0,0.502,0.487
36,0.0,0.501,0.495
37,0.0,0.501,0.495
38,0.0,0.499,0.503
39,0.0,0.499,0.503
40,0.0,0.499,0.509
41,0.0,0.499,0.509
42,0.0,0.499,0.509
43,0.0,0.499,0.509
44,0.0,0.498,0.515
45,0.0,0.498,0.515
46,0.0,0.4970000000000001,0.52
47,0.0,0.4970000000000001,0.52
48,0.0,0.496,0.524
49,0.0,0.496,0.524
50,0.0,0.4970000000000001,0.522
51,0.0,0.4970000000000001,0.522
52,0.0,0.4970000000000001,0.524
53,0.0,0.4970000000000001,0.524
54,0.0,0.4970000000000001,0.524
55,0.0,0.4970000000000001,0.524
56,0.0,0.4970000000000001,0.525
57,0.0,0.4970000000000001,0.525
58,0.041,0.4970000000000001,0.524
59,0.041,0.4970000000000001,0.524
60,0.041,0.4970000000000001,0.523
61,0.041,0.4970000000000001,0.523
62,0.081,0.4970000000000001,0.523
63,0.081,0.4970000000000001,0.523
64,0.081,0.4970000000000001,0.523
65,0.081,0.4970000000000001,0.523
66,0.081,0.498,0.522
67,0.081,0.498,0.522
68,0.121,0.498,0.521
69,0.121,0.498,0.521
70,0.121,0.499,0.521
71,0.121,0.499,0.521
72,0.161,0.498,0.521
73,0.161,0.498,0.521
74,0.161,0.498,0.521
75,0.161,0.498,0.521
76,0.161,0.498,0.521
77,0.161,0.498,0.521
78,0.202,0.498,0.52
79,0.202,0.498,0.52
80,0.202,0.498,0.52
81,0.202,0.498,0.52
82,0.242,0.4970000000000001,0.519
83,0.242,0.4970000000000001,0.519
84,0.242,0.4970000000000001,0.519
85,0.242,0.4970000000000001,0.519
86,0.282,0.496,0.518
87,0.282,0.496,0.518
88,0.282,0.495,0.517
89,0.282,0.495,0.517
90,0.282,0.493,0.516
91,0.282,0.493,0.516
92,0.32299999999999995,0.4920000000000001,0.516
93,0.32299999999999995,0.4920000000000001,0.516
94,0.32299999999999995,0.4920000000000001,0.516
95,0.32299999999999995,0.4920000000000001,0.516
96,0.362,0.491,0.515
97,0.362,0.491,0.515
98,0.362,0.489,0.513
99,0.362,0.489,0.513
100,0.362,0.488,0.512
101,0.362,0.488,0.512
102,0.403,0.487,0.511
103,0.403,0.487,0.511
104,0.403,0.487,0.511
105,0.403,0.487,0.511
106,0.443,0.486,0.51
107,0.443,0.486,0.51
108,0.443,0.485,0.51
109,0.443,0.485,0.51
110,0.443,0.485,0.51
111,0.443,0.485,0.51
112,0.485,0.485,0.509
113,0.485,0.485,0.509
114,0.485,0.485,0.509
115,0.485,0.485,0.509
116,0.525,0.484,0.509
117,0.525,0.484,0.509
118,0.525,0.484,0.509
119,0.525,0.484,0.509
120,0.5660000000000001,0.484,0.51
121,0.5660000000000001,0.484,0.51
122,0.5660000000000001,0.483,0.511
123,0.5660000000000001,0.483,0.511
124,0.5660000000000001,0.483,0.511
125,0.5660000000000001,0.483,0.511
126,0.607,0.483,0.511
127,0.607,0.483,0.511
128,0.607,0.483,0.512
129,0.607,0.483,0.512
130,0.6459999999999999,0.482,0.513
131,0.6459999999999999,0.482,0.513
132,0.6459999999999999,0.482,0.513
133,0.6459999999999999,0.482,0.513
134,0.6459999999999999,0.482,0.513
135,0.6459999999999999,0.482,0.513
136,0.687,0.482,0.513
137,0.687,0.482,0.513
138,0.687,0.482,0.514
139,0.687,0.482,0.514
140,0.728,0.482,0.515
141,0.728,0.482,0.515
142,0.728,0.482,0.515
143,0.728,0.482,0.515
144,0.728,0.482,0.515
145,0.728,0.482,0.515
146,0.768,0.482,0.516
147,0.768,0.482,0.516
148,0.768,0.482,0.516
149,0.768,0.482,0.516
150,0.809,0.482,0.517
151,0.809,0.482,0.517
152,0.809,0.482,0.517
153,0.809,0.482,0.517
154,0.8490000000000001,0.482,0.517
155,0.8490000000000001,0.482,0.517
156,0.8490000000000001,0.482,0.518
157,0.8490000000000001,0.482,0.518
158,0.8490000000000001,0.482,0.518
159,0.8490000000000001,0.482,0.518
160,0.889,0.482,0.519
161,0.889,0.482,0.519
162,0.889,0.482,0.519
163,0.889,0.482,0.519
164,0.93,0.482,0.519
165,0.93,0.482,0.519
166,0.93,0.483,0.52
167,0.93,0.483,0.52
168,0.93,0.483,0.522
169,0.93,0.483,0.522
170,0.971,0.483,0.523
171,0.971,0.483,0.523
172,0.971,0.483,0.526
173,0.971,0.483,0.526
174,1.012,0.483,0.526
175,1.012,0.483,0.526
176,1.012,0.483,0.529
177,1.012,0.483,0.529
178,1.012,0.483,0.532
179,1.012,0.483,0.532
180,1.052,0.484,0.535
181,1.052,0.484,0.535
182,1.052,0.484,0.539
183,1.052,0.484,0.539
184,1.092,0.484,0.539
185,1.092,0.484,0.539
186,1.092,0.484,0.5429999999999999
187,1.092,0.484,0.5429999999999999
188,1.133,0.484,0.546
189,1.133,0.484,0.546
190,1.133,0.484,0.5489999999999999
191,1.133,0.484,0.5489999999999999
192,1.133,0.485,0.551
193,1.133,0.485,0.551
194,1.1740000000000002,0.485,0.551
195,1.1740000000000002,0.485,0.551
196,1.1740000000000002,0.485,0.55
197,1.1740000000000002,0.485,0.55
198,1.216,0.485,0.552
199,1.216,0.485,0.552
200,1.216,0.485,0.5529999999999999
201,1.216,0.485,0.5529999999999999
202,1.216,0.485,0.5539999999999999
203,1.216,0.485,0.5539999999999999
204,1.256,0.485,0.5539999999999999
205,1.256,0.485,0.5539999999999999
206,1.256,0.485,0.5539999999999999
207,1.256,0.485,0.5539999999999999
208,1.297,0.485,0.5539999999999999
209,1.297,0.485,0.5539999999999999
210,1.297,0.485,0.5539999999999999
211,1.297,0.485,0.5539999999999999
212,1.297,0.485,0.555
213,1.297,0.485,0.555
214,1.337,0.485,0.555
215,1.337,0.485,0.555
216,1.337,0.485,0.555
217,1.337,0.485,0.555
218,1.3769999999999998,0.485,0.555
219,1.3769999999999998,0.485,0.555
220,1.3769999999999998,0.485,0.555
221,1.3769999999999998,0.485,0.555
222,1.4169999999999998,0.486,0.555
223,1.4169999999999998,0.486,0.555
224,1.4169999999999998,0.486,0.555
225,1.4169999999999998,0.486,0.555
226,1.4169999999999998,0.486,0.555
227,1.4169999999999998,0.486,0.555
228,1.4580000000000002,0.486,0.555
229,1.4580000000000002,0.486,0.555
230,1.4580000000000002,0.486,0.555
231,1.4580000000000002,0.486,0.555
232,1.4980000000000002,0.486,0.555
233,1.4980000000000002,0.486,0.555
234,1.4980000000000002,0.486,0.555
235,1.4980000000000002,0.486,0.555
236,1.4980000000000002,0.486,0.555
237,1.4980000000000002,0.486,0.555
238,1.538,0.486,0.555
239,1.538,0.486,0.555
240,1.538,0.486,0.5539999999999999
241,1.538,0.486,0.5539999999999999
242,1.578,0.486,0.5529999999999999
243,1.578,0.486,0.5529999999999999
244,1.578,0.486,0.552
245,1.578,0.486,0.552
246,1.578,0.487,0.55
247,1.578,0.487,0.55
248,1.618,0.487,0.5489999999999999
249,1.618,0.487,0.5489999999999999
250,1.618,0.487,0.5479999999999999
251,1.618,0.487,0.5479999999999999
252,1.658,0.487,0.546
253,1.658,0.487,0.546
254,1.658,0.488,0.545
255,1.658,0.488,0.545
256,1.6980000000000002,0.488,0.5429999999999999
257,1.6980000000000002,0.488,0.5429999999999999
258,1.6980000000000002,0.489,0.541
259,1.6980000000000002,0.489,0.541
260,1.6980000000000002,0.489,0.54
261,1.6980000000000002,0.489,0.54
262,1.739,0.489,0.54
263,1.739,0.489,0.54
264,1.739,0.49,0.54
265,1.739,0.49,0.54
266,1.78,0.49,0.54
267,1.78,0.49,0.54
268,1.78,0.49,0.539
269,1.78,0.49,0.539
270,1.78,0.491,0.539
271,1.78,0.491,0.539
272,1.82,0.491,0.5379999999999999
273,1.82,0.491,0.5379999999999999
274,1.82,0.491,0.537
275,1.82,0.491,0.537
276,1.86,0.491,0.537
277,1.86,0.491,0.537
278,1.86,0.491,0.537
279,1.86,0.491,0.537
280,1.86,0.491,0.537
281,1.86,0.491,0.537
282,1.901,0.4920000000000001,0.537
283,1.901,0.4920000000000001,0.537
284,1.901,0.4920000000000001,0.537
285,1.901,0.4920000000000001,0.537
286,1.942,0.4920000000000001,0.537
287,1.942,0.4920000000000001,0.537
288,1.942,0.4920000000000001,0.537
289,1.942,0.4920000000000001,0.537
290,1.982,0.4920000000000001,0.537
291,1.982,0.4920000000000001,0.537
292,1.982,0.4920000000000001,0.537
293,1.982,0.4920000000000001,0.537
294,1.982,0.4920000000000001,0.537
295,1.982,0.4920000000000001,0.537
296,2.022,0.491,0.536
297,2.022,0.491,0.536
298,2.022,0.491,0.536
299,2.022,0.491,0.536
300,2.063,0.491,0.536
301,2.063,0.491,0.536
302,2.063,0.49,0.535
303,2.063,0.49,0.535
304,2.063,0.489,0.535
305,2.063,0.489,0.535
306,2.103,0.488,0.534
307,2.103,0.488,0.534
308,2.103,0.488,0.534
309,2.103,0.488,0.534
310,2.143,0.487,0.5329999999999999
311,2.143,0.487,0.5329999999999999
312,2.143,0.486,0.5329999999999999
313,2.143,0.486,0.5329999999999999
314,2.1830000000000003,0.486,0.5329999999999999
