,time,2dmu,2dmv
0,0.0,0.51,0.474
1,0.0,0.51,0.474
2,0.0,0.51,0.474
3,0.0,0.51,0.474
4,0.0,0.51,0.474
5,0.0,0.51,0.474
6,0.0,0.509,0.474
7,0.0,0.509,0.474
8,0.0,0.509,0.474
9,0.0,0.509,0.474
10,0.0,0.509,0.474
11,0.0,0.509,0.474
12,0.0,0.509,0.474
13,0.0,0.509,0.474
14,0.0,0.509,0.474
15,0.0,0.509,0.474
16,0.0,0.509,0.474
17,0.0,0.509,0.474
18,0.0,0.509,0.475
19,0.0,0.509,0.475
20,0.0,0.509,0.475
21,0.0,0.509,0.475
22,0.0,0.509,0.475
23,0.0,0.509,0.475
24,0.0,0.509,0.475
25,0.0,0.509,0.475
26,0.0,0.509,0.475
27,0.0,0.509,0.475
28,0.0,0.509,0.475
29,0.0,0.509,0.475
30,0.0,0.509,0.475
31,0.0,0.509,0.475
32,0.0,0.509,0.474
33,0.0,0.509,0.474
34,0.0,0.509,0.474
35,0.0,0.509,0.474
36,0.0,0.509,0.474
37,0.0,0.509,0.474
38,0.0,0.509,0.473
39,0.0,0.509,0.473
40,0.0,0.509,0.473
41,0.0,0.509,0.473
42,0.0,0.508,0.475
43,0.0,0.508,0.475
44,0.0,0.508,0.475
45,0.0,0.508,0.475
46,0.0,0.507,0.476
47,0.0,0.507,0.476
48,0.0,0.507,0.476
49,0.0,0.507,0.476
50,0.0,0.507,0.476
51,0.0,0.507,0.476
52,0.0,0.507,0.476
53,0.0,0.507,0.476
54,0.0,0.507,0.474
55,0.0,0.507,0.474
56,0.0,0.507,0.474
57,0.0,0.507,0.474
58,0.0,0.507,0.472
59,0.0,0.507,0.472
60,0.0,0.507,0.472
61,0.0,0.507,0.472
62,0.0,0.507,0.469
63,0.0,0.507,0.469
64,0.0,0.507,0.468
65,0.0,0.507,0.468
66,0.0,0.507,0.468
67,0.0,0.507,0.468
68,0.0,0.507,0.466
69,0.0,0.507,0.466
70,0.0,0.507,0.466
71,0.0,0.507,0.466
72,0.013,0.507,0.464
73,0.013,0.507,0.464
74,0.013,0.507,0.464
75,0.013,0.507,0.464
76,0.053,0.507,0.464
77,0.053,0.507,0.464
78,0.053,0.507,0.464
79,0.053,0.507,0.464
80,0.094,0.507,0.464
81,0.094,0.507,0.464
82,0.094,0.507,0.464
83,0.094,0.507,0.464
84,0.094,0.507,0.465
85,0.094,0.507,0.465
86,0.135,0.507,0.465
87,0.135,0.507,0.465
88,0.135,0.507,0.465
89,0.135,0.507,0.465
90,0.175,0.507,0.465
91,0.175,0.507,0.465
92,0.175,0.507,0.466
93,0.175,0.507,0.466
94,0.175,0.508,0.466
95,0.175,0.508,0.466
96,0.21600000000000005,0.508,0.467
97,0.21600000000000005,0.508,0.467
98,0.21600000000000005,0.509,0.468
99,0.21600000000000005,0.509,0.468
100,0.256,0.509,0.468
101,0.256,0.509,0.468
102,0.256,0.509,0.469
103,0.256,0.509,0.469
104,0.256,0.51,0.469
105,0.256,0.51,0.469
106,0.298,0.51,0.47
107,0.298,0.51,0.47
108,0.298,0.511,0.47
109,0.298,0.511,0.47
110,0.338,0.512,0.47
111,0.338,0.512,0.47
112,0.338,0.512,0.47
113,0.338,0.512,0.47
114,0.338,0.513,0.47
115,0.338,0.513,0.47
116,0.379,0.513,0.47
117,0.379,0.513,0.47
118,0.379,0.513,0.47
119,0.419,0.513,0.47
120,0.379,0.513,0.47
121,0.419,0.513,0.47
122,0.419,0.513,0.47
123,0.419,0.513,0.47
124,0.46,0.513,0.47
125,0.46,0.513,0.47
126,0.46,0.513,0.47
127,0.46,0.513,0.47
128,0.46,0.514,0.47
129,0.46,0.514,0.47
130,0.501,0.513,0.47
131,0.501,0.513,0.47
132,0.501,0.513,0.47
133,0.501,0.513,0.47
134,0.541,0.513,0.469
135,0.541,0.513,0.469
136,0.541,0.513,0.469
137,0.541,0.513,0.469
138,0.541,0.513,0.469
139,0.541,0.513,0.469
140,0.5820000000000001,0.513,0.469
141,0.5820000000000001,0.513,0.469
142,0.5820000000000001,0.513,0.469
143,0.5820000000000001,0.513,0.469
144,0.622,0.513,0.469
145,0.622,0.513,0.469
146,0.622,0.513,0.469
147,0.622,0.513,0.469
148,0.622,0.513,0.469
149,0.622,0.513,0.469
150,0.662,0.514,0.469
151,0.662,0.514,0.469
152,0.662,0.513,0.469
153,0.662,0.513,0.469
154,0.703,0.513,0.469
155,0.703,0.513,0.469
156,0.703,0.513,0.469
157,0.703,0.513,0.469
158,0.703,0.513,0.469
159,0.703,0.513,0.469
160,0.745,0.513,0.47
161,0.745,0.513,0.47
162,0.745,0.512,0.47
163,0.745,0.512,0.47
164,0.7859999999999999,0.512,0.47
165,0.7859999999999999,0.512,0.47
166,0.7859999999999999,0.511,0.47
167,0.7859999999999999,0.511,0.47
168,0.826,0.511,0.47
169,0.826,0.511,0.47
170,0.826,0.511,0.47
171,0.826,0.511,0.47
172,0.826,0.511,0.47
173,0.826,0.511,0.47
174,0.867,0.51,0.47
175,0.867,0.51,0.47
176,0.867,0.51,0.47
177,0.867,0.51,0.47
178,0.907,0.51,0.47
179,0.907,0.51,0.47
180,0.907,0.509,0.471
181,0.907,0.509,0.471
182,0.907,0.508,0.471
183,0.907,0.508,0.471
184,0.947,0.508,0.47
185,0.947,0.508,0.47
186,0.947,0.506,0.471
187,0.947,0.506,0.471
188,0.987,0.506,0.471
189,0.987,0.506,0.471
190,0.987,0.505,0.47
191,0.987,0.505,0.47
192,1.027,0.504,0.47
193,1.027,0.504,0.47
194,1.027,0.502,0.47
195,1.027,0.502,0.47
196,1.027,0.499,0.47
197,1.027,0.499,0.47
198,1.068,0.499,0.47
199,1.068,0.499,0.47
200,1.068,0.498,0.47
201,1.068,0.498,0.47
202,1.109,0.495,0.47
203,1.109,0.495,0.47
204,1.109,0.493,0.47
205,1.109,0.493,0.47
206,1.109,0.489,0.47
207,1.109,0.489,0.47
208,1.15,0.489,0.47
209,1.15,0.486,0.469
210,1.15,0.489,0.47
211,1.15,0.486,0.469
212,1.1909999999999998,0.484,0.469
213,1.1909999999999998,0.484,0.469
214,1.1909999999999998,0.481,0.468
215,1.1909999999999998,0.481,0.468
216,1.1909999999999998,0.479,0.468
217,1.1909999999999998,0.479,0.468
218,1.231,0.477,0.467
219,1.231,0.477,0.467
220,1.231,0.477,0.467
221,1.231,0.477,0.467
222,1.271,0.475,0.467
223,1.271,0.475,0.467
224,1.271,0.473,0.466
225,1.271,0.473,0.466
226,1.31,0.472,0.465
227,1.31,0.472,0.465
