,time,2dmu,2dmv
0,0.0,0.196,0.564
1,0.0,0.196,0.564
2,0.0,0.199,0.564
3,0.0,0.199,0.564
4,0.0,0.199,0.564
5,0.0,0.199,0.564
6,0.0,0.201,0.563
7,0.0,0.201,0.563
8,0.0,0.201,0.563
9,0.0,0.201,0.563
10,0.0,0.209,0.562
11,0.0,0.209,0.562
12,0.0,0.209,0.562
13,0.0,0.209,0.562
14,0.0,0.211,0.562
15,0.0,0.211,0.562
16,0.0,0.213,0.562
17,0.0,0.213,0.562
18,0.0,0.213,0.562
19,0.0,0.213,0.562
20,0.0,0.214,0.563
21,0.0,0.214,0.563
22,0.0,0.214,0.563
23,0.0,0.214,0.563
24,0.0,0.21600000000000005,0.563
25,0.0,0.21600000000000005,0.563
26,0.0,0.21600000000000005,0.563
27,0.0,0.21600000000000005,0.563
28,0.0,0.215,0.564
29,0.0,0.215,0.564
30,0.0,0.215,0.564
31,0.0,0.215,0.564
32,0.0,0.213,0.5660000000000001
33,0.0,0.213,0.5660000000000001
34,0.0,0.213,0.5660000000000001
35,0.0,0.213,0.5660000000000001
36,0.0,0.211,0.568
37,0.0,0.211,0.568
38,0.0,0.211,0.568
39,0.0,0.211,0.568
40,0.0,0.21,0.569
41,0.0,0.21,0.569
42,0.0,0.209,0.569
43,0.0,0.209,0.569
44,0.0,0.209,0.569
45,0.0,0.209,0.569
46,0.0,0.208,0.568
47,0.0,0.208,0.568
48,0.0,0.208,0.568
49,0.0,0.208,0.568
50,0.0,0.207,0.5670000000000001
51,0.0,0.207,0.5670000000000001
52,0.0,0.206,0.565
53,0.0,0.206,0.565
54,0.0,0.205,0.563
55,0.0,0.205,0.563
56,0.0,0.205,0.562
57,0.0,0.205,0.562
58,0.021,0.205,0.562
59,0.021,0.205,0.562
60,0.021,0.204,0.56
61,0.021,0.204,0.56
62,0.061,0.201,0.5579999999999999
63,0.061,0.201,0.5579999999999999
64,0.061,0.198,0.555
65,0.061,0.198,0.555
66,0.061,0.194,0.551
67,0.061,0.194,0.551
68,0.102,0.194,0.551
69,0.102,0.194,0.551
70,0.102,0.188,0.546
71,0.102,0.188,0.546
72,0.142,0.182,0.541
73,0.142,0.182,0.541
74,0.142,0.175,0.535
75,0.142,0.175,0.535
76,0.142,0.175,0.535
77,0.142,0.175,0.535
78,0.183,0.168,0.529
79,0.183,0.168,0.529
80,0.183,0.161,0.523
81,0.183,0.161,0.523
82,0.223,0.154,0.516
83,0.223,0.154,0.516
84,0.223,0.154,0.516
85,0.223,0.154,0.516
86,0.263,0.14800000000000002,0.512
87,0.263,0.14800000000000002,0.512
88,0.263,0.14800000000000002,0.512
89,0.263,0.14800000000000002,0.512
90,0.263,0.142,0.508
91,0.263,0.142,0.508
92,0.304,0.138,0.503
93,0.304,0.138,0.503
94,0.304,0.133,0.5
95,0.304,0.133,0.5
96,0.345,0.129,0.498
97,0.345,0.129,0.498
98,0.345,0.129,0.498
99,0.345,0.129,0.498
100,0.345,0.125,0.496
101,0.345,0.125,0.496
102,0.385,0.122,0.4920000000000001
103,0.385,0.122,0.4920000000000001
104,0.385,0.118,0.49
105,0.385,0.118,0.49
106,0.425,0.115,0.489
107,0.425,0.115,0.489
108,0.425,0.115,0.489
109,0.425,0.115,0.489
110,0.465,0.112,0.487
111,0.465,0.112,0.487
112,0.465,0.109,0.485
113,0.465,0.109,0.485
114,0.465,0.104,0.483
115,0.465,0.104,0.483
116,0.506,0.1,0.482
117,0.506,0.1,0.482
118,0.506,0.1,0.482
119,0.506,0.1,0.482
120,0.546,0.099,0.483
121,0.546,0.099,0.483
122,0.546,0.093,0.482
123,0.546,0.093,0.482
124,0.546,0.085,0.482
125,0.546,0.085,0.482
126,0.585,0.077,0.481
127,0.585,0.077,0.481
128,0.585,0.077,0.481
129,0.585,0.077,0.481
130,0.625,0.067,0.481
131,0.625,0.067,0.481
132,0.625,0.059,0.481
133,0.625,0.059,0.481
134,0.625,0.05,0.481
135,0.625,0.05,0.481
136,0.6659999999999999,0.04,0.481
137,0.6659999999999999,0.04,0.481
138,0.6659999999999999,0.032,0.48
139,0.6659999999999999,0.032,0.48
140,0.706,0.032,0.48
141,0.706,0.032,0.48
142,0.706,0.024,0.48
143,0.706,0.024,0.48
144,0.746,0.017,0.48
145,0.746,0.017,0.48
146,0.746,0.011,0.479
147,0.746,0.011,0.479
148,0.746,0.011,0.479
149,0.746,0.011,0.479
150,0.7859999999999999,0.004,0.479
151,0.7859999999999999,0.004,0.479
152,0.7859999999999999,0.999,0.479
153,0.7859999999999999,0.999,0.479
154,0.826,0.994,0.481
155,0.826,0.994,0.481
156,0.826,0.995,0.481
157,0.826,0.995,0.481
158,0.826,0.995,0.481
159,0.826,0.995,0.481
160,0.866,0.991,0.481
161,0.866,0.991,0.481
162,0.866,0.987,0.482
163,0.866,0.987,0.482
164,0.907,0.985,0.483
165,0.907,0.985,0.483
166,0.907,0.983,0.483
167,0.907,0.983,0.483
168,0.948,0.983,0.483
169,0.948,0.983,0.483
170,0.948,0.982,0.484
171,0.948,0.982,0.484
172,0.948,0.981,0.484
173,0.948,0.981,0.484
174,0.988,0.98,0.485
175,0.988,0.98,0.485
176,0.988,0.98,0.484
177,0.988,0.98,0.484
178,1.028,0.979,0.486
179,1.028,0.979,0.486
180,1.028,0.979,0.486
181,1.028,0.979,0.486
182,1.028,0.978,0.487
183,1.028,0.978,0.487
184,1.068,0.976,0.488
185,1.068,0.976,0.488
186,1.068,0.974,0.489
187,1.068,0.974,0.489
188,1.108,0.974,0.489
189,1.108,0.974,0.489
190,1.108,0.972,0.49
191,1.108,0.972,0.49
192,1.148,0.969,0.49
193,1.148,0.969,0.49
194,1.148,0.967,0.49
195,1.148,0.967,0.49
196,1.148,0.964,0.49
197,1.148,0.964,0.49
198,1.188,0.964,0.49
199,1.188,0.964,0.49
200,1.188,0.964,0.49
201,1.188,0.964,0.49
202,1.228,0.961,0.49
203,1.228,0.961,0.49
204,1.228,0.958,0.489
205,1.228,0.958,0.489
206,1.228,0.956,0.489
207,1.228,0.956,0.489
208,1.268,0.954,0.489
209,1.268,0.954,0.489
210,1.268,0.954,0.489
211,1.268,0.954,0.489
212,1.3090000000000002,0.952,0.489
213,1.3090000000000002,0.952,0.489
214,1.3090000000000002,0.951,0.489
215,1.3090000000000002,0.951,0.489
216,1.3090000000000002,0.95,0.489
217,1.3090000000000002,0.95,0.489
218,1.35,0.95,0.489
219,1.35,0.95,0.489
220,1.35,0.95,0.489
221,1.35,0.95,0.489
222,1.39,0.95,0.489
223,1.39,0.95,0.489
224,1.39,0.951,0.489
225,1.39,0.951,0.489
226,1.43,0.951,0.489
227,1.43,0.951,0.489
228,1.43,0.951,0.489
229,1.43,0.951,0.489
230,1.43,0.951,0.489
231,1.43,0.951,0.489
232,1.47,0.951,0.489
233,1.47,0.951,0.489
234,1.47,0.95,0.49
235,1.47,0.95,0.49
236,1.51,0.95,0.49
237,1.51,0.95,0.49
238,1.51,0.95,0.49
239,1.51,0.95,0.49
240,1.51,0.949,0.4920000000000001
241,1.51,0.949,0.4920000000000001
242,1.5519999999999998,0.948,0.4920000000000001
243,1.5519999999999998,0.948,0.4920000000000001
244,1.5519999999999998,0.947,0.493
245,1.5519999999999998,0.947,0.493
246,1.5930000000000002,0.945,0.493
247,1.5930000000000002,0.945,0.493
248,1.5930000000000002,0.945,0.493
249,1.5930000000000002,0.945,0.493
250,1.5930000000000002,0.944,0.494
251,1.5930000000000002,0.944,0.494
252,1.633,0.943,0.494
253,1.633,0.943,0.494
254,1.633,0.942,0.495
255,1.633,0.942,0.495
256,1.673,0.941,0.495
257,1.673,0.941,0.495
258,1.673,0.941,0.495
259,1.673,0.941,0.495
260,1.715,0.94,0.496
261,1.715,0.94,0.496
262,1.715,0.94,0.496
263,1.715,0.94,0.496
264,1.715,0.939,0.4970000000000001
265,1.715,0.939,0.4970000000000001
266,1.755,0.939,0.4970000000000001
267,1.755,0.939,0.4970000000000001
268,1.755,0.939,0.4970000000000001
269,1.755,0.939,0.4970000000000001
270,1.796,0.939,0.498
271,1.796,0.939,0.498
272,1.796,0.938,0.498
273,1.796,0.938,0.498
274,1.796,0.937,0.499
275,1.796,0.937,0.499
276,1.837,0.936,0.499
277,1.837,0.936,0.499
278,1.837,0.936,0.499
279,1.837,0.936,0.499
280,1.878,0.935,0.499
281,1.878,0.935,0.499
282,1.878,0.934,0.499
283,1.878,0.934,0.499
284,1.878,0.933,0.499
285,1.878,0.933,0.499
286,1.918,0.932,0.499
287,1.918,0.932,0.499
288,1.918,0.932,0.499
289,1.918,0.932,0.499
290,1.958,0.93,0.499
291,1.958,0.93,0.499
292,1.958,0.929,0.499
293,1.958,0.929,0.499
294,1.998,0.928,0.499
295,1.998,0.928,0.499
296,1.998,0.926,0.499
297,1.998,0.926,0.499
298,1.998,0.926,0.499
299,1.998,0.926,0.499
300,2.0380000000000003,0.925,0.499
301,2.0380000000000003,0.925,0.499
302,2.0380000000000003,0.924,0.499
303,2.0380000000000003,0.924,0.499
304,2.079,0.924,0.498
305,2.079,0.924,0.498
306,2.079,0.924,0.498
307,2.079,0.924,0.498
308,2.079,0.924,0.498
309,2.079,0.924,0.498
310,2.119,0.923,0.499
311,2.119,0.923,0.499
312,2.119,0.924,0.498
313,2.119,0.924,0.498
314,2.1590000000000003,0.924,0.498
315,2.1590000000000003,0.924,0.498
316,2.1590000000000003,0.924,0.498
317,2.1590000000000003,0.924,0.498
318,2.1590000000000003,0.924,0.498
319,2.1590000000000003,0.924,0.498
