,time,2dmu,2dmv
0,0.0,0.495,0.503
1,0.0,0.495,0.503
2,0.0,0.495,0.503
3,0.0,0.495,0.503
4,0.0,0.4970000000000001,0.503
5,0.0,0.4970000000000001,0.503
6,0.0,0.4970000000000001,0.503
7,0.0,0.4970000000000001,0.503
8,0.0,0.498,0.505
9,0.0,0.498,0.505
10,0.0,0.498,0.505
11,0.0,0.498,0.505
12,0.0,0.498,0.505
13,0.0,0.498,0.505
14,0.0,0.498,0.505
15,0.0,0.498,0.505
16,0.0,0.499,0.505
17,0.0,0.499,0.505
18,0.0,0.499,0.505
19,0.0,0.499,0.505
20,0.0,0.5,0.505
21,0.0,0.5,0.505
22,0.0,0.5,0.505
23,0.0,0.5,0.505
24,0.0,0.501,0.505
25,0.0,0.501,0.505
26,0.0,0.501,0.504
27,0.0,0.501,0.504
28,0.0,0.501,0.504
29,0.0,0.501,0.504
30,0.0,0.502,0.503
31,0.0,0.502,0.503
32,0.0,0.502,0.503
33,0.0,0.502,0.503
34,0.0,0.503,0.502
35,0.0,0.503,0.502
36,0.0,0.503,0.502
37,0.0,0.503,0.502
38,0.0,0.504,0.502
39,0.0,0.504,0.502
40,0.041,0.504,0.502
41,0.041,0.504,0.502
42,0.041,0.504,0.502
43,0.041,0.504,0.502
44,0.081,0.504,0.502
45,0.081,0.504,0.502
46,0.081,0.504,0.502
47,0.081,0.504,0.502
48,0.081,0.504,0.501
49,0.081,0.504,0.501
50,0.121,0.504,0.501
51,0.121,0.504,0.501
52,0.121,0.504,0.501
53,0.121,0.504,0.501
54,0.161,0.504,0.501
55,0.161,0.504,0.501
56,0.161,0.504,0.501
57,0.161,0.504,0.501
58,0.161,0.504,0.501
59,0.161,0.504,0.501
60,0.2,0.505,0.501
61,0.2,0.505,0.501
62,0.2,0.505,0.5
63,0.2,0.505,0.5
64,0.241,0.505,0.5
65,0.241,0.505,0.5
66,0.241,0.505,0.5
67,0.241,0.505,0.5
68,0.281,0.505,0.5
69,0.281,0.505,0.5
70,0.281,0.505,0.5
71,0.281,0.505,0.5
72,0.281,0.505,0.5
73,0.281,0.505,0.5
74,0.321,0.505,0.5
75,0.321,0.505,0.5
76,0.321,0.506,0.5
77,0.321,0.506,0.5
78,0.362,0.506,0.5
79,0.362,0.506,0.5
80,0.362,0.507,0.5
81,0.362,0.507,0.5
82,0.362,0.507,0.5
83,0.362,0.507,0.5
84,0.403,0.507,0.5
85,0.403,0.507,0.5
86,0.403,0.508,0.501
87,0.403,0.508,0.501
88,0.443,0.508,0.501
89,0.443,0.508,0.501
90,0.443,0.508,0.501
91,0.443,0.508,0.501
92,0.443,0.508,0.501
93,0.443,0.508,0.501
94,0.483,0.508,0.501
95,0.483,0.508,0.501
96,0.483,0.508,0.501
97,0.483,0.508,0.501
98,0.524,0.507,0.501
99,0.524,0.507,0.501
100,0.524,0.507,0.501
101,0.524,0.507,0.501
102,0.565,0.507,0.5
103,0.565,0.507,0.5
104,0.565,0.507,0.501
105,0.565,0.507,0.501
106,0.565,0.507,0.501
107,0.565,0.507,0.501
108,0.605,0.507,0.5
109,0.605,0.507,0.5
110,0.605,0.507,0.501
111,0.605,0.507,0.501
112,0.645,0.507,0.501
113,0.645,0.507,0.501
114,0.645,0.507,0.501
115,0.645,0.507,0.501
116,0.645,0.507,0.501
117,0.645,0.507,0.501
118,0.687,0.507,0.501
119,0.687,0.507,0.501
120,0.687,0.508,0.502
121,0.687,0.508,0.502
122,0.727,0.508,0.502
123,0.727,0.508,0.502
124,0.727,0.509,0.502
125,0.727,0.509,0.502
126,0.727,0.509,0.502
127,0.727,0.509,0.502
128,0.767,0.509,0.502
129,0.767,0.509,0.502
130,0.767,0.509,0.502
131,0.767,0.509,0.502
132,0.809,0.509,0.502
133,0.809,0.509,0.502
134,0.809,0.51,0.502
135,0.809,0.51,0.502
136,0.809,0.51,0.502
137,0.809,0.51,0.502
138,0.85,0.51,0.502
139,0.85,0.51,0.502
140,0.85,0.51,0.502
141,0.85,0.51,0.502
142,0.8909999999999999,0.51,0.502
143,0.8909999999999999,0.51,0.502
144,0.8909999999999999,0.51,0.502
145,0.8909999999999999,0.51,0.502
146,0.931,0.51,0.502
147,0.931,0.51,0.502
148,0.931,0.51,0.502
149,0.931,0.51,0.502
150,0.931,0.51,0.503
151,0.931,0.51,0.503
152,0.971,0.51,0.503
153,0.971,0.51,0.503
154,0.971,0.51,0.503
155,0.971,0.51,0.503
156,1.011,0.51,0.503
157,1.011,0.51,0.503
158,1.011,0.51,0.503
159,1.011,0.51,0.503
160,1.011,0.51,0.503
161,1.011,0.51,0.503
162,1.051,0.51,0.503
163,1.051,0.51,0.503
164,1.051,0.51,0.503
165,1.051,0.51,0.503
166,1.092,0.51,0.503
167,1.092,0.51,0.503
168,1.092,0.51,0.504
169,1.092,0.51,0.504
170,1.092,0.51,0.504
171,1.092,0.51,0.504
172,1.132,0.51,0.504
173,1.132,0.51,0.504
174,1.132,0.51,0.504
175,1.132,0.51,0.504
176,1.173,0.51,0.504
177,1.173,0.51,0.504
178,1.173,0.51,0.505
179,1.173,0.51,0.505
180,1.213,0.51,0.505
181,1.213,0.51,0.505
182,1.213,0.51,0.505
183,1.213,0.51,0.505
184,1.213,0.51,0.505
185,1.213,0.51,0.505
186,1.253,0.51,0.505
187,1.253,0.51,0.505
188,1.253,0.511,0.506
189,1.253,0.511,0.506
190,1.293,0.511,0.506
191,1.293,0.511,0.506
192,1.293,0.511,0.506
193,1.293,0.511,0.506
194,1.293,0.511,0.506
195,1.293,0.511,0.506
196,1.334,0.511,0.506
197,1.334,0.511,0.506
198,1.334,0.512,0.507
199,1.334,0.512,0.507
200,1.375,0.512,0.507
201,1.375,0.512,0.507
202,1.375,0.513,0.508
203,1.375,0.513,0.508
204,1.375,0.514,0.508
205,1.375,0.514,0.508
206,1.415,0.514,0.508
207,1.415,0.514,0.508
