,time,2dmu,2dmv
0,0.0,0.506,0.474
1,0.0,0.506,0.474
2,0.0,0.506,0.474
3,0.0,0.506,0.474
4,0.0,0.506,0.474
5,0.0,0.506,0.474
6,0.0,0.507,0.473
7,0.0,0.507,0.473
8,0.0,0.508,0.471
9,0.0,0.508,0.471
10,0.0,0.508,0.471
11,0.0,0.508,0.471
12,0.0,0.508,0.471
13,0.0,0.508,0.471
14,0.0,0.509,0.471
15,0.0,0.509,0.471
16,0.0,0.509,0.471
17,0.0,0.509,0.471
18,0.0,0.509,0.471
19,0.0,0.509,0.471
20,0.0,0.51,0.471
21,0.0,0.51,0.471
22,0.0,0.51,0.471
23,0.0,0.51,0.471
24,0.0,0.511,0.474
25,0.0,0.511,0.474
26,0.0,0.511,0.474
27,0.0,0.511,0.474
28,0.0,0.513,0.476
29,0.0,0.513,0.476
30,0.0,0.513,0.476
31,0.0,0.513,0.476
32,0.0,0.514,0.48
33,0.0,0.514,0.48
34,0.0,0.515,0.481
35,0.0,0.515,0.481
36,0.0,0.515,0.481
37,0.0,0.515,0.481
38,0.0,0.515,0.481
39,0.0,0.515,0.481
40,0.0,0.515,0.481
41,0.0,0.515,0.481
42,0.0,0.516,0.481
43,0.0,0.516,0.481
44,0.0,0.516,0.481
45,0.0,0.516,0.481
46,0.0,0.516,0.481
47,0.0,0.516,0.481
48,0.0,0.516,0.481
49,0.0,0.516,0.481
50,0.0,0.516,0.48
51,0.0,0.516,0.48
52,0.0,0.516,0.48
53,0.0,0.516,0.48
54,0.0,0.516,0.48
55,0.0,0.516,0.48
56,0.0,0.516,0.479
57,0.0,0.516,0.479
58,0.0,0.516,0.479
59,0.0,0.516,0.479
60,0.04,0.516,0.479
61,0.04,0.516,0.479
62,0.04,0.516,0.478
63,0.04,0.516,0.478
64,0.04,0.516,0.478
65,0.04,0.516,0.478
66,0.08,0.516,0.478
67,0.08,0.516,0.478
68,0.08,0.516,0.478
69,0.08,0.516,0.478
70,0.121,0.517,0.478
71,0.121,0.517,0.478
72,0.121,0.517,0.478
73,0.121,0.517,0.478
74,0.121,0.518,0.479
75,0.121,0.518,0.479
76,0.161,0.519,0.479
77,0.161,0.519,0.479
78,0.161,0.52,0.479
79,0.161,0.52,0.479
80,0.201,0.521,0.48
81,0.201,0.521,0.48
82,0.201,0.521,0.479
83,0.201,0.521,0.479
84,0.241,0.521,0.479
85,0.241,0.521,0.479
86,0.241,0.523,0.48
87,0.241,0.523,0.48
88,0.241,0.524,0.48
89,0.241,0.524,0.48
90,0.281,0.525,0.479
91,0.281,0.525,0.479
92,0.281,0.526,0.479
93,0.281,0.526,0.479
94,0.322,0.526,0.479
95,0.322,0.526,0.479
96,0.322,0.528,0.479
97,0.322,0.528,0.479
98,0.322,0.529,0.479
99,0.322,0.529,0.479
100,0.362,0.53,0.478
101,0.362,0.53,0.478
102,0.362,0.531,0.477
103,0.362,0.531,0.477
104,0.402,0.531,0.477
105,0.402,0.531,0.477
106,0.402,0.532,0.476
107,0.402,0.532,0.476
108,0.402,0.532,0.475
109,0.402,0.532,0.475
110,0.443,0.532,0.473
111,0.443,0.532,0.473
112,0.443,0.5329999999999999,0.472
113,0.443,0.5329999999999999,0.472
114,0.483,0.5329999999999999,0.472
115,0.483,0.5329999999999999,0.472
116,0.483,0.532,0.471
117,0.483,0.532,0.471
118,0.523,0.532,0.47
119,0.523,0.532,0.47
120,0.523,0.532,0.469
121,0.523,0.532,0.469
122,0.523,0.532,0.466
123,0.523,0.532,0.466
124,0.564,0.532,0.466
125,0.564,0.532,0.466
126,0.564,0.532,0.465
127,0.564,0.532,0.465
128,0.604,0.531,0.464
129,0.604,0.531,0.464
130,0.604,0.531,0.463
131,0.604,0.531,0.463
132,0.604,0.53,0.462
133,0.604,0.53,0.462
134,0.644,0.53,0.462
135,0.644,0.53,0.462
136,0.644,0.53,0.461
137,0.644,0.53,0.461
138,0.684,0.529,0.46
139,0.684,0.529,0.46
140,0.684,0.528,0.458
141,0.684,0.528,0.458
142,0.7240000000000001,0.527,0.457
143,0.7240000000000001,0.527,0.457
144,0.7240000000000001,0.527,0.457
145,0.7240000000000001,0.527,0.457
146,0.7240000000000001,0.526,0.456
147,0.7240000000000001,0.526,0.456
148,0.765,0.525,0.456
149,0.765,0.525,0.456
150,0.765,0.523,0.456
151,0.765,0.523,0.456
152,0.8059999999999999,0.521,0.455
153,0.8059999999999999,0.521,0.455
154,0.8059999999999999,0.521,0.455
155,0.8059999999999999,0.521,0.455
156,0.8059999999999999,0.52,0.455
157,0.8059999999999999,0.52,0.455
158,0.847,0.517,0.454
159,0.847,0.517,0.454
160,0.847,0.513,0.452
161,0.847,0.513,0.452
162,0.887,0.51,0.451
163,0.887,0.51,0.451
164,0.887,0.51,0.451
165,0.887,0.51,0.451
166,0.887,0.506,0.45
167,0.887,0.506,0.45
168,0.929,0.502,0.449
169,0.929,0.502,0.449
170,0.929,0.498,0.448
171,0.929,0.498,0.448
172,0.971,0.494,0.448
173,0.971,0.494,0.448
174,0.971,0.491,0.447
175,0.971,0.491,0.447
176,0.971,0.491,0.447
177,0.971,0.491,0.447
178,1.011,0.488,0.447
179,1.011,0.488,0.447
180,1.011,0.485,0.446
181,1.011,0.485,0.446
182,1.051,0.483,0.445
183,1.051,0.483,0.445
184,1.051,0.483,0.445
185,1.051,0.483,0.445
186,1.051,0.481,0.445
187,1.051,0.481,0.445
188,1.092,0.48,0.444
189,1.092,0.48,0.444
190,1.092,0.479,0.443
191,1.092,0.479,0.443
192,1.132,0.48,0.443
193,1.132,0.48,0.443
194,1.132,0.48,0.443
195,1.132,0.48,0.443
196,1.173,0.479,0.443
197,1.173,0.479,0.443
198,1.173,0.478,0.443
199,1.173,0.478,0.443
200,1.173,0.479,0.443
201,1.173,0.479,0.443
202,1.213,0.479,0.443
203,1.213,0.479,0.443
204,1.213,0.479,0.443
205,1.213,0.479,0.443
206,1.253,0.48,0.442
207,1.253,0.48,0.442
208,1.253,0.482,0.442
209,1.253,0.482,0.442
210,1.253,0.485,0.442
211,1.253,0.485,0.442
212,1.293,0.488,0.443
213,1.293,0.488,0.443
214,1.293,0.491,0.444
215,1.293,0.491,0.444
216,1.334,0.491,0.444
217,1.334,0.491,0.444
218,1.334,0.495,0.446
219,1.334,0.495,0.446
220,1.334,0.499,0.448
