,time,2dmu,2dmv
0,0.0,0.503,0.468
1,0.0,0.503,0.468
2,0.0,0.503,0.468
3,0.0,0.503,0.468
4,0.0,0.503,0.468
5,0.0,0.503,0.468
6,0.0,0.503,0.468
7,0.0,0.503,0.468
8,0.0,0.503,0.468
9,0.0,0.503,0.468
10,0.0,0.503,0.468
11,0.0,0.503,0.468
12,0.0,0.503,0.468
13,0.0,0.503,0.468
14,0.0,0.503,0.468
15,0.0,0.503,0.468
16,0.0,0.503,0.468
17,0.0,0.503,0.468
18,0.0,0.503,0.468
19,0.0,0.503,0.468
20,0.0,0.503,0.467
21,0.0,0.503,0.467
22,0.0,0.503,0.467
23,0.0,0.503,0.467
24,0.0,0.503,0.467
25,0.0,0.503,0.467
26,0.0,0.503,0.467
27,0.0,0.503,0.467
28,0.0,0.503,0.467
29,0.0,0.503,0.467
30,0.0,0.503,0.467
31,0.0,0.503,0.467
32,0.0,0.503,0.467
33,0.0,0.503,0.467
34,0.0,0.503,0.467
35,0.0,0.503,0.467
36,0.0,0.503,0.467
37,0.0,0.503,0.467
38,0.0,0.503,0.467
39,0.0,0.503,0.467
40,0.0,0.503,0.467
41,0.0,0.503,0.467
42,0.0,0.503,0.466
43,0.0,0.503,0.466
44,0.0,0.503,0.466
45,0.0,0.503,0.466
46,0.0,0.503,0.466
47,0.0,0.503,0.466
48,0.0,0.503,0.466
49,0.0,0.503,0.466
50,0.0,0.503,0.466
51,0.0,0.503,0.466
52,0.0,0.503,0.466
53,0.0,0.503,0.466
54,0.0,0.503,0.466
55,0.0,0.503,0.466
56,0.0,0.503,0.465
57,0.0,0.503,0.465
58,0.014,0.503,0.465
59,0.014,0.503,0.465
60,0.014,0.503,0.465
61,0.014,0.503,0.465
62,0.014,0.503,0.465
63,0.014,0.503,0.465
64,0.055,0.503,0.465
65,0.055,0.503,0.465
66,0.055,0.503,0.465
67,0.055,0.503,0.465
68,0.095,0.503,0.464
69,0.095,0.503,0.464
70,0.095,0.503,0.464
71,0.095,0.503,0.464
72,0.095,0.503,0.464
73,0.095,0.503,0.464
74,0.136,0.503,0.464
75,0.136,0.503,0.464
76,0.136,0.503,0.464
77,0.136,0.503,0.464
78,0.17600000000000002,0.503,0.463
79,0.17600000000000002,0.503,0.463
80,0.17600000000000002,0.504,0.463
81,0.17600000000000002,0.504,0.463
82,0.17600000000000002,0.504,0.463
83,0.17600000000000002,0.504,0.463
84,0.217,0.504,0.463
85,0.217,0.504,0.463
86,0.217,0.504,0.463
87,0.217,0.504,0.463
88,0.257,0.504,0.462
89,0.257,0.504,0.462
90,0.257,0.503,0.462
91,0.257,0.503,0.462
92,0.298,0.503,0.462
93,0.298,0.503,0.462
94,0.298,0.503,0.462
95,0.298,0.503,0.462
96,0.298,0.504,0.462
97,0.298,0.504,0.462
98,0.338,0.504,0.462
99,0.338,0.504,0.462
100,0.338,0.504,0.462
101,0.338,0.504,0.462
102,0.379,0.504,0.462
103,0.379,0.504,0.462
104,0.379,0.504,0.462
105,0.379,0.504,0.462
106,0.379,0.504,0.462
107,0.379,0.504,0.462
108,0.42,0.504,0.461
109,0.42,0.504,0.461
110,0.42,0.504,0.46
111,0.42,0.504,0.46
112,0.46,0.504,0.46
113,0.46,0.504,0.46
114,0.46,0.504,0.453
115,0.46,0.504,0.453
116,0.46,0.503,0.445
117,0.46,0.503,0.445
118,0.5,0.503,0.442
119,0.5,0.503,0.442
120,0.5,0.501,0.442
121,0.5,0.501,0.442
122,0.539,0.501,0.442
123,0.539,0.501,0.442
124,0.539,0.5,0.448
125,0.539,0.5,0.448
126,0.579,0.5,0.457
127,0.579,0.5,0.457
128,0.579,0.5,0.462
129,0.579,0.5,0.462
130,0.579,0.5,0.466
131,0.579,0.5,0.466
132,0.619,0.5,0.466
133,0.619,0.5,0.466
134,0.619,0.5,0.468
135,0.619,0.5,0.468
136,0.66,0.501,0.472
137,0.66,0.501,0.472
138,0.66,0.501,0.476
139,0.66,0.501,0.476
140,0.66,0.502,0.479
141,0.66,0.502,0.479
142,0.701,0.502,0.479
143,0.701,0.502,0.479
144,0.701,0.502,0.478
145,0.701,0.502,0.478
146,0.741,0.502,0.48
147,0.741,0.502,0.48
148,0.741,0.501,0.48
149,0.741,0.501,0.48
150,0.782,0.501,0.48
151,0.782,0.501,0.48
152,0.782,0.501,0.48
153,0.782,0.501,0.48
154,0.782,0.501,0.48
155,0.782,0.501,0.48
156,0.8220000000000001,0.499,0.481
157,0.8220000000000001,0.499,0.481
158,0.8220000000000001,0.498,0.48
159,0.8220000000000001,0.498,0.48
160,0.863,0.494,0.48
161,0.863,0.494,0.48
162,0.863,0.494,0.48
163,0.863,0.494,0.48
164,0.863,0.489,0.479
165,0.863,0.489,0.479
166,0.903,0.482,0.478
167,0.903,0.482,0.478
168,0.903,0.473,0.476
169,0.903,0.473,0.476
